ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensity_DNA,Intensity_LowerQuartileIntensity_DNA,Intensity_MADIntensity_DNA,Intensity_MassDisplacement_DNA,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensity_DNA,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensity_DNA,Intensity_MedianIntensity_DNA,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensity_DNA,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensity_DNA,Intensity_UpperQuartileIntensity_DNA,Texture_AngularSecondMoment_DNA_3_00_256,Texture_AngularSecondMoment_DNA_3_01_256,Texture_AngularSecondMoment_DNA_3_02_256,Texture_AngularSecondMoment_DNA_3_03_256,Texture_Contrast_DNA_3_00_256,Texture_Contrast_DNA_3_01_256,Texture_Contrast_DNA_3_02_256,Texture_Contrast_DNA_3_03_256,Texture_Correlation_DNA_3_00_256,Texture_Correlation_DNA_3_01_256,Texture_Correlation_DNA_3_02_256,Texture_Correlation_DNA_3_03_256,Texture_DifferenceEntropy_DNA_3_00_256,Texture_DifferenceEntropy_DNA_3_01_256,Texture_DifferenceEntropy_DNA_3_02_256,Texture_DifferenceEntropy_DNA_3_03_256,Texture_DifferenceVariance_DNA_3_00_256,Texture_DifferenceVariance_DNA_3_01_256,Texture_DifferenceVariance_DNA_3_02_256,Texture_DifferenceVariance_DNA_3_03_256,Texture_Entropy_DNA_3_00_256,Texture_Entropy_DNA_3_01_256,Texture_Entropy_DNA_3_02_256,Texture_Entropy_DNA_3_03_256,Texture_InfoMeas1_DNA_3_00_256,Texture_InfoMeas1_DNA_3_01_256,Texture_InfoMeas1_DNA_3_02_256,Texture_InfoMeas1_DNA_3_03_256,Texture_InfoMeas2_DNA_3_00_256,Texture_InfoMeas2_DNA_3_01_256,Texture_InfoMeas2_DNA_3_02_256,Texture_InfoMeas2_DNA_3_03_256,Texture_InverseDifferenceMoment_DNA_3_00_256,Texture_InverseDifferenceMoment_DNA_3_01_256,Texture_InverseDifferenceMoment_DNA_3_02_256,Texture_InverseDifferenceMoment_DNA_3_03_256,Texture_SumAverage_DNA_3_00_256,Texture_SumAverage_DNA_3_01_256,Texture_SumAverage_DNA_3_02_256,Texture_SumAverage_DNA_3_03_256,Texture_SumEntropy_DNA_3_00_256,Texture_SumEntropy_DNA_3_01_256,Texture_SumEntropy_DNA_3_02_256,Texture_SumEntropy_DNA_3_03_256,Texture_SumVariance_DNA_3_00_256,Texture_SumVariance_DNA_3_01_256,Texture_SumVariance_DNA_3_02_256,Texture_SumVariance_DNA_3_03_256,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
2,17,Hoechst.tif,D:\data\20240708\control1\1,25204,32832,1.2024575056438735,25573,0.5315210231570859,179.13885532040513,1,0.7676656920077972,0.8316302200338758,194.80709840077742,197.9747458642137,82.00609733428362,29.03558138976834,25.632011235952593,167.72561626937363,165.01039820401635,-25.984648664346828,617.1269837220809,0.9855707191178196,0.8187663796883462,0.012963398385899036,0.13756610542855197,0.0559855345657488,0.00434105870982861,0.005194308358372735,0.0731926873733946,0.02060324003417507,0.016227223749990933,0.003569695318429727,0.0029408916679126845,0.00481075606024105,0.018209850885431856,0.0066661351851271,0.010078155476116409,0.004251269039669714,0.0049340499316166036,0.004406149342902951,0.0030677273953998102,0.0036473300920568407,0.009166364717331092,0.015697178172598504,0.0017460767576691805,0.005139742282093692,0.002285104930537027,0.0021373197860580164,0.0023251346865637984,0.003674850355990819,0.003383796035329385,0.0013810917851095248,4.863660698290914,314.77207886008546,0.01123064011335373,0.0011596856638789177,0.3945341191373998,0.011490043252706528,0.01930266246199608,0.00924650322868995,0.012488973133632973,0.012390325777232647,0.007003891281783581,0.007003891281783581,0.0008765594046315806,0.0018800962719914627,0.013565270230174065,0.4280790887504238,0.4186191050111447,0.4263136448381332,0.41909321424764134,0.18261187362949727,0.1944364665818734,0.18178869699181058,0.2037014339992646,0.6662610595164857,0.6465622522432717,0.6705875958950951,0.6203745270604815,0.685757636144684,0.7109681375127788,0.6839744515614053,0.729589090134839,0.08913396314254829,0.08670100192712138,0.0893083666762788,0.0848412791735531,1.848466213299764,1.8802092434340263,1.854800704725976,1.8772330014785628,-0.33740925553151346,-0.3145159943970317,-0.3411448527075259,-0.28904672849183727,0.7264690979946515,0.7101129622220957,0.7305338064550264,0.6853324376632195,0.9086940631852513,0.9028310015180732,0.9091056515040947,0.898198308616252,6.364777064890764,6.370040618717432,6.360171896537745,6.376843567430649,1.6658543396702665,1.6853484139988717,1.6730120077341655,1.673109193020142,0.9117277522166276,0.9058221663228849,0.9219262495401921,0.8694690907390381,0.2735849064615241,0.27506465822618864,0.2759287366330021,0.268292631184579
2,18,Hoechst.tif,D:\data\20240708\control1\1,17685,24549,1.1920497522187037,17989,0.6924793777209389,150.05746015657255,1,0.720395942808261,0.8388911604895257,177.27348990783358,174.59095051004218,61.84658438426491,23.392730578984786,21.095023109728988,129.1764705882353,127.8917734794642,-32.41318917292359,514.7005768508881,0.9831007838123298,0.7387042987818696,0.027355397814692674,0.15770011422259475,0.09223508844368444,0.00838266816969585,0.012796497506419964,0.04252320664847591,0.005262821043999749,0.01259886151275898,0.0051937047442416895,0.012609172208103482,0.005932619161108099,0.008178019108828509,0.024657675112366755,0.019880992895040334,0.004560713934748782,0.004986794484637417,0.009249158180157124,0.0018522674157052282,0.001679285270043916,0.0035540526638459503,0.00927877792263849,0.0018933049705902709,0.005398233765365355,0.000983114773015973,0.0027968421693131164,0.00238764434297656,0.008151764607627048,0.005734261426217272,0.0010365758155929782,4.445563485845923,244.91819837642834,0.013000686652958393,0.0009765774011611938,1.0805978211528446,0.012848096899688244,0.018249791115522385,0.010196246527169548,0.013848922724140704,0.014053558930754662,0.007492179982364178,0.007354848552495241,0.001426963631457331,0.0016781732709081178,0.01496910024434328,0.3337984424361669,0.33026689076776883,0.3313762855250827,0.3303847304662821,0.23917597765363127,0.26355217365658,0.23747390396659704,0.24015425967044526,0.5937741326282331,0.5369285266648182,0.6040220799269006,0.6052508052960912,0.7936672716157351,0.8361847908441497,0.7913007178624701,0.796804050085792,0.07823194576653525,0.07448922428040482,0.07855474509589536,0.07816515085310874,1.9465131953433708,1.963121521866262,1.9512104152556131,1.9576989845771648,-0.25127726308612636,-0.2023165270993628,-0.2634704471216441,-0.266596643589658,0.654557857753841,0.597634774836262,0.668451278569883,0.6725971932217472,0.8804120111731844,0.8691441042883266,0.8813326374391093,0.8802033422928597,7.170740223463688,7.193653040759749,7.16208536302482,7.1651279654084385,1.7073372176897397,1.6944266952673566,1.7131265789821288,1.7155660510174824,0.938375709052444,0.8747264240656776,0.9619561244691255,0.9765892468011756,0.29438792167652217,0.28456964943057095,0.299857507108932,0.30418587661791285
2,19,Hoechst.tif,D:\data\20240708\control1\1,11248,15600,1.5559200785030138,12120,0.8199880377302488,119.67204518675659,1,0.721025641025641,0.6427065334629031,159.8854084742512,156.6780137734711,42.42640687119285,16.291115875062196,14.866068747318506,91.42842362695202,91.51531535273149,10.504150846243995,468.9604614807105,0.928052805280528,0.5833397886974093,0.03781615182117984,0.17523809621865236,0.0997650707457574,0.02595248547377056,0.004820269475695029,0.0026096006775672936,0.03425172252407799,0.025254357063792015,0.007190230388544039,0.005390171222877881,0.008618623413175621,0.009412272731069935,0.014315701616747055,0.010432985359346909,0.010974421642248917,0.011774388035551015,0.01180841265481487,0.009448921959114023,0.0058791958587007505,0.0035750788295560937,0.007175830250468611,0.017533649347702324,0.0026329688257793822,0.005011193204074876,0.0016048263536088154,0.009474897723612095,0.005479309936345456,0.005275259384698797,0.004380377294677535,4.556908563710749,142.127505694516,0.01190203707665205,0.0007171733304858208,0.2147264169335908,0.013412680476903915,0.016723887994885445,0.011223912718499382,0.012635802426610597,0.01258869282901287,0.009582665748894215,0.009582665748894215,0.0005798843963507865,0.001034479566741185,0.013321125879883766,0.5998375292129485,0.5993765421049145,0.6091995795763627,0.5911377431677839,0.1703393770339377,0.16923796166432914,0.16049156272927367,0.17876356772062296,0.34263571477900384,0.34987924810409327,0.37403420944705557,0.3187042957869195,0.6584805411936864,0.6559585854179282,0.6354842329055472,0.6773647083394747,0.1034704505337489,0.10376141040158715,0.10610639159120434,0.10127713816943314,1.1726258073630627,1.1740615130741892,1.1517742136031832,1.1930956463699218,-0.10819973385116007,-0.11237746450780535,-0.12795600517733569,-0.09404211881511387,0.35429863366948056,0.3611947511895567,0.3816808298189762,0.33327245059849125,0.9148303114830311,0.9153810191678354,0.9197542186353633,0.9106182161396886,6.304044630404463,6.305750350631136,6.299889948642701,6.30844738084002,1.002286430329125,1.00482355140986,0.9912826508739094,1.014332078649299,0.34791018675753804,0.3513975085026786,0.35228905612052586,0.3460116998031779,0.1295623909478678,0.13015886754175376,0.12819515471245424,0.13119381688095366
2,20,Hoechst.tif,D:\data\20240708\control1\1,9792,13992,1.277928103873864,10077,0.6940227439599631,111.65823580035067,1,0.6998284734133791,0.7825166353010291,132.2450118853119,131.24404748406687,45.221676218380054,17.19234875924511,15.524174696260024,92.09040811330811,95.21020302125558,-67.33550736095022,396.5462479183374,0.9717177731467699,0.720194392080977,0.06810569516986581,0.1549961789186906,0.08113602820020983,0.009414765112606338,0.014062154767630624,0.03710026698562748,0.008919990703377715,0.015094250565024812,0.0250194699081898,0.018582035089964574,0.0074647723494072225,0.00034079542898378585,0.018751224163222578,0.006143519529466457,0.01158866236998009,0.005815023431092608,0.00966434801725854,0.008823372753687645,0.006726029535798535,0.0010322178224500835,0.004497408327886127,0.006212642511987423,0.0037609401090187293,0.006849327137222673,0.009425410326325922,0.012059355770995372,0.005485983797493992,0.00033009006718700466,0.005861579383887536,3.2742656976915896,110.61301705567166,0.01045242976397276,0.0008392464369535446,0.8270159144265674,0.011841000989079475,0.014755474403500557,0.009803190711651465,0.011296263996698495,0.011337453499436378,0.007721065077930689,0.007721065077930689,0.0006956402818451774,0.0011544728944417437,0.012130922637879848,0.6900475378876106,0.6931724312558442,0.693079193985399,0.694800921135564,0.12610899873257286,0.12470283120812622,0.12204472843450478,0.1266174740669447,0.3885745438968379,0.3894831947627558,0.40879907033533364,0.3696867125057718,0.5466697054532779,0.5427296021175307,0.5352099533273943,0.5480880759041922,0.11591779233150368,0.1163391859612785,0.11714007492165894,0.11576580426885949,1.02701261370317,1.0203818361208667,1.020171071130861,1.0144529299777567,-0.14828723635241184,-0.1489752358941797,-0.1623207341036482,-0.13700988295256453,0.3894516796567133,0.3891871886778651,0.406097299911951,0.37230816163786984,0.9369455006337134,0.9376485843959368,0.9389776357827477,0.9366912629665276,5.821292775665399,5.824940566241625,5.821512247071352,5.828467543578227,0.9009036149705973,0.8956790049127406,0.8981263426963562,0.8878354559108121,0.28639917368249,0.28381280714408774,0.290825828124774,0.2751429729333168,0.10312704310376475,0.1021289095880551,0.10321763913981918,0.10044011175006595
2,21,Hoechst.tif,D:\data\20240708\control1\1,14245,19304,1.1907636739614345,14512,0.7236828381654997,134.67478351477826,1,0.7379299627020307,0.8397972006260472,162.64747153788795,163.0828010551695,55.90169943749474,20.822360462235057,18.867962264113206,114.28065991570591,112.24833940360232,-26.70139535534428,461.6883835420683,0.9816014332965821,0.6816934062506155,0.037147944015797706,0.1773641167733733,0.08729916581124629,0.015093732943909277,0.004887842661365013,0.034401931282416066,0.005990831054655718,0.02627594499873235,0.017560957492205983,0.007410518940125978,0.0077101254597310865,0.01507791585930308,0.024644282395740697,0.00783987245248522,0.009275521321783166,0.008720305949655642,0.005232641843604205,0.008123630957716062,0.002553708089901338,0.004009381715090989,0.004478843976180547,0.00847939810836399,0.00988459221677722,0.003531936598641552,0.010875214600563314,0.005079007724666489,0.0026846445785146424,0.0019335278858422368,0.0010746268409618045,4.368612231686711,214.09935312066227,0.013809414580464363,0.0012359805405139923,0.7120472611300992,0.013244831003248692,0.022766461595892906,0.01105977780173851,0.01502978961886011,0.01495384145528078,0.008758679032325745,0.008758679032325745,0.0008299066379441515,0.0018849200873370588,0.016296636313199997,0.3715776123830519,0.3645389118968619,0.3734587471979137,0.3675796066503499,0.2532453404887955,0.28112331392349077,0.24260568460539605,0.262322533673098,0.5603832049163555,0.5023349063903363,0.5823624717173334,0.5447513975709568,0.81985823112074,0.8625667035016282,0.8014707087861364,0.834178684423344,0.0686473911156131,0.06501638670769647,0.07008414177740126,0.06740462284265034,2.049291688717903,2.077705654248795,2.03642354284183,2.0654483766596647,-0.2252740625232934,-0.18012426343159696,-0.2447827838363124,-0.21189452288301763,0.6368902484463973,0.5806918423272185,0.6582873287449956,0.6221573904766716,0.8741605627674233,0.8606766418515516,0.8791299956716202,0.8697124135420459,7.759518456740879,7.781381292842928,7.750180349155965,7.762722970513288,1.791130460056445,1.790284711207364,1.79077255617673,1.7975532508556167,0.8988732469760734,0.8486457517927377,0.919194528143656,0.8901138813908247,0.288029646866212,0.2824422664290598,0.29045005318725714,0.2881091037659793
2,22,Hoechst.tif,D:\data\20240708\control1\1,16040,20468,1.2591658634754124,16616,0.7638589766631168,142.908230335247,1,0.7836623021301544,0.7941765489416216,179.23469795597404,176.24131184259835,56.293871780150276,21.38393332768626,19.4164878389476,118.0,115.67506138054168,-8.279966071022399,503.7888886054566,0.9653346172363987,0.6575049836628574,0.019644621897404246,0.17469356369012098,0.09908229914587695,0.01233724469091073,0.014510915129281555,0.02521880261905182,0.020450120330000297,0.018729235586967766,0.009020536341264956,0.01545442334011269,0.002057983795293847,0.008683310177713429,0.028363295349727022,0.014355036646839616,0.006566290178788212,0.006760057395466274,0.005779560830311006,0.004138925489857888,0.0006791289142610957,0.0047009360777436416,0.0007857370843938971,0.012885471013634586,0.009549353432424327,0.004534667564572563,0.003173985738301647,0.007539098681614383,0.007360366773644912,0.004449910979094744,0.0005565003070269604,4.944457205943763,215.11450548563153,0.012451361864805222,0.0009155413135886192,0.33554420327479845,0.013214313425123692,0.01928740367293358,0.01123740274078128,0.013411128770924659,0.013290608301758766,0.009063859470188618,0.009063859470188618,0.0007135992466498722,0.0013427134913527967,0.01429770328104496,0.3540454578529601,0.34537279222021006,0.3585765739546774,0.3513385516813275,0.21186549858283946,0.2243873826903024,0.20652659812248547,0.21504539559014266,0.569221971687136,0.5454503572108266,0.5787839002264692,0.5637504043817866,0.7455124867152602,0.7680981999965795,0.7347907877711592,0.7518632165726393,0.08326197580295566,0.08087632716232286,0.08426443475874262,0.08268662491315372,1.7475796601583458,1.7747179888138178,1.7343203055544665,1.7558971201248406,-0.24675907247767823,-0.22512566435859788,-0.25599718864419485,-0.24145892993018253,0.6233389995036374,0.6020853748805217,0.6316604232927254,0.6185235410238674,0.894144550373615,0.8878063086548489,0.8967367009387572,0.892632944228275,6.797281628446277,6.804418665276328,6.790471933073632,6.802464332036317,1.5350332671023719,1.5503306061235154,1.5277937074319812,1.5396109761784003,0.7717756560628857,0.7629080040728979,0.7740940297857293,0.7708369880273906,0.24591028866143283,0.2468238466907966,0.24515515697705226,0.24647059590438758
2,23,Hoechst.tif,D:\data\20240708\control1\1,8949,13334,1.435483789561537,9525,0.772265761194541,106.74371497111655,1,0.6711414429278536,0.6966292529889495,136.32752783158782,136.49908424601244,40.19950248448356,15.280960815013017,13.92838827718412,90.27397260273973,86.60882522294999,-41.996327615927115,401.78279195104676,0.9395275590551181,0.611540397479335,0.04819622907539344,0.17584096954466846,0.09067565471761711,0.029537154232599016,0.014410835112555509,0.01954593014214493,0.028316882373578284,0.02328948395938436,0.00992366777670179,0.023461430711329796,0.005982355143620533,0.005037410519167038,0.019168905828727517,0.004559675097010194,0.007611831016523978,0.015760864977521487,0.009633183996310525,0.004178036745595233,0.004248028807972819,0.001703789711450599,0.0022925645165787953,0.014611511074821427,0.006449910924218408,0.003239436209917092,0.0034263880831426896,0.007388525005716663,0.004986384366953798,0.004512171569571461,0.003214204780941985,3.747417449951172,110.63315888214856,0.011520561762154102,0.00076295156031847,0.6819198484362994,0.01254291646182537,0.01759365200996399,0.010893655377765035,0.012362628101703941,0.012237736023962498,0.009063859470188618,0.009063859470188618,0.0005610689567900988,0.0011556830851761385,0.013092241249978542,0.659238027432426,0.639960999871189,0.6546347776249724,0.6559650497390798,0.11830591529576479,0.13763003706803778,0.12470943747094376,0.12149642312653924,0.5026029946170517,0.43293339515457685,0.4755908937425167,0.49078404978872964,0.5244715865902284,0.5779982807934089,0.5427481738749558,0.5336470455097924,0.11827614971928158,0.11252479601412466,0.11633720252935018,0.11730598308240156,1.0433020756589246,1.0925004463967698,1.0585529862223086,1.0507801426585082,-0.2269227016944761,-0.17051155207126162,-0.2045127956481722,-0.2168580743882012,0.4841117196717576,0.4292421863659712,0.46289675530683766,0.47490520416386967,0.9408470423521177,0.9311849814659812,0.9376452812645281,0.9392517884367304,6.266946680667367,6.273705608035394,6.265341701534171,6.268558695907118,0.9249961603631597,0.9548704093287321,0.933843548751365,0.9292837195319691,0.35739423575230944,0.34778044519992335,0.3509094485585109,0.3556937476689086,0.11892503776201835,0.1213526205669897,0.11890472150736464,0.11929754269885784
2,24,Hoechst.tif,D:\data\20240708\control1\1,15328,20574,1.2212142634199552,15831,0.696007674521776,139.7004500411526,1,0.7450179838631282,0.8188571243833538,166.46966597028342,161.89502771858065,55.00909015790027,21.374932872776725,19.235384061671343,117.35885219112046,119.53093715086362,-12.271336105386498,485.00209204105306,0.9682268965952877,0.7444759652405673,0.07817780817350285,0.13171096777304367,0.08721021656309733,0.017174753856792742,0.00861850613868505,0.035176880003863126,0.008187993800789203,0.011751554400314446,0.028635222389656215,0.020253368990277056,0.010325316567888224,0.01557705221136046,0.009350299143216471,0.015939905002107596,0.003643967295216437,0.0017993144859818865,0.008043910586973416,0.004355825106565629,0.0021991698579727098,0.00809050374858188,0.00349315408357665,0.006656013552405321,0.008401984117698299,0.0022860626265972617,0.005138163544562481,0.009162128402057748,0.00804466099285464,0.005435113985417144,0.0017049062272667395,4.765804590657353,216.83047399669886,0.013061722740530968,0.0010376134887337685,1.2353036125836443,0.013748378492891788,0.019989319145679474,0.011483866483511695,0.014146038230473569,0.014023041352629662,0.009475852362811565,0.009475852362811565,0.0006943639885605915,0.0015112407939291135,0.015152208507061005,0.33168521206921775,0.326097490014232,0.33071462431817644,0.32538622083489094,0.23042716615011452,0.24344212032431697,0.23051687198714518,0.24477186311787072,0.5592888963039832,0.5332938132217417,0.5602391544024794,0.5304682972180037,0.7787552071796242,0.801285540128142,0.7794449286639917,0.8028860720769289,0.07977872647217488,0.07752565586706579,0.07979356757412635,0.07726935617432988,1.864233990535207,1.885246289098904,1.8670333542044626,1.887253142374739,-0.23360972202620647,-0.21136944676881092,-0.23398770855012077,-0.2087285404382912,0.6239147159558813,0.5996193207964948,0.6247188319745183,0.5965327322745464,0.8847864169249426,0.8783607004156162,0.8848219068023567,0.8776140684410647,7.214930602344698,7.222933842065817,7.207886984467059,7.223587724063009,1.6338068243850923,1.6410894922394104,1.6357660609571925,1.6424812792568682,0.8152790310281901,0.7997929051414161,0.817856917061448,0.7978493770138897,0.2614265492945762,0.2608087563664352,0.262093447262151,0.2606553100329414
2,25,Hoechst.tif,D:\data\20240708\control1\1,25320,36022,1.2109462254381307,25597,0.7494403367501841,179.55062036287794,1,0.7029037810227083,0.825800501288314,220.93925115580646,217.9380645963435,71.5122367151245,27.781593963750343,25.0,143.5555641554865,146.27766660740588,-66.39242111299858,620.7249634685276,0.9891784193460171,0.6787465581551324,0.04230390218449316,0.1718027863251558,0.09543862773172807,0.011291002538127048,0.013480590882841344,0.028080923558819304,0.01101549633336491,0.019798349086322622,0.01599835857879193,0.007956455078235398,0.0043575146189504714,0.012920219970264336,0.02679295287034222,0.01131431091214233,0.004027764493146084,0.006485389801859924,0.010219683618462167,0.009321674197571517,0.0018253853141189645,0.002132080684825593,0.003958039143257235,0.009744079000139343,0.006276001921969542,0.002526351257147268,0.007183260206629098,0.005449504513922021,0.0017638063209805008,0.0054569366824562815,0.0005833455789194936,5.24016180774197,323.1928006778471,0.01187151949852705,0.0008697649464011192,1.1633174265042088,0.01278706081211567,0.01895170472562313,0.010116142485988359,0.012764328620768053,0.012726024724543095,0.007354848552495241,0.007354848552495241,0.0008487080016633152,0.0013568251506440073,0.01361104752868414,0.4810821337020776,0.47001739960856304,0.4813323450918329,0.4709411211908461,0.19204577507353832,0.20419941060903735,0.18925053706781242,0.20524991885751379,0.49636723696988333,0.46922225947925256,0.5060811228924799,0.46616605939106365,0.7057314998424402,0.7302478225207834,0.6999010061362925,0.7332583089804797,0.08716749043890816,0.08472155178356922,0.08774396512643658,0.08459943714960942,1.5301295848581875,1.557246097910636,1.5288798679278621,1.5612755956183082,-0.1970269217550913,-0.17556339280759475,-0.20506994352046592,-0.17311899127579544,0.5331492872223315,0.5088834945170101,0.5430028218773794,0.5061004938204375,0.903977112463231,0.8979002946954814,0.9053747314660938,0.897569782538137,6.446226377080227,6.453790111329405,6.448745490657048,6.448433950016229,1.3380838097846492,1.3530466873015985,1.3396293308600498,1.3542943132830134,0.5705963291378353,0.5652353076166747,0.5770718119628526,0.563715496205397,0.19066052605284334,0.19235867955642938,0.19158058725766836,0.19224135376572882
