ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_DNA,Intensity_IntegratedIntensity_DNA,Intensity_LowerQuartileIntensity_DNA,Intensity_MADIntensity_DNA,Intensity_MassDisplacement_DNA,Intensity_MaxIntensityEdge_DNA,Intensity_MaxIntensity_DNA,Intensity_MeanIntensityEdge_DNA,Intensity_MeanIntensity_DNA,Intensity_MedianIntensity_DNA,Intensity_MinIntensityEdge_DNA,Intensity_MinIntensity_DNA,Intensity_StdIntensityEdge_DNA,Intensity_StdIntensity_DNA,Intensity_UpperQuartileIntensity_DNA,Texture_AngularSecondMoment_DNA_3_00_256,Texture_AngularSecondMoment_DNA_3_01_256,Texture_AngularSecondMoment_DNA_3_02_256,Texture_AngularSecondMoment_DNA_3_03_256,Texture_Contrast_DNA_3_00_256,Texture_Contrast_DNA_3_01_256,Texture_Contrast_DNA_3_02_256,Texture_Contrast_DNA_3_03_256,Texture_Correlation_DNA_3_00_256,Texture_Correlation_DNA_3_01_256,Texture_Correlation_DNA_3_02_256,Texture_Correlation_DNA_3_03_256,Texture_DifferenceEntropy_DNA_3_00_256,Texture_DifferenceEntropy_DNA_3_01_256,Texture_DifferenceEntropy_DNA_3_02_256,Texture_DifferenceEntropy_DNA_3_03_256,Texture_DifferenceVariance_DNA_3_00_256,Texture_DifferenceVariance_DNA_3_01_256,Texture_DifferenceVariance_DNA_3_02_256,Texture_DifferenceVariance_DNA_3_03_256,Texture_Entropy_DNA_3_00_256,Texture_Entropy_DNA_3_01_256,Texture_Entropy_DNA_3_02_256,Texture_Entropy_DNA_3_03_256,Texture_InfoMeas1_DNA_3_00_256,Texture_InfoMeas1_DNA_3_01_256,Texture_InfoMeas1_DNA_3_02_256,Texture_InfoMeas1_DNA_3_03_256,Texture_InfoMeas2_DNA_3_00_256,Texture_InfoMeas2_DNA_3_01_256,Texture_InfoMeas2_DNA_3_02_256,Texture_InfoMeas2_DNA_3_03_256,Texture_InverseDifferenceMoment_DNA_3_00_256,Texture_InverseDifferenceMoment_DNA_3_01_256,Texture_InverseDifferenceMoment_DNA_3_02_256,Texture_InverseDifferenceMoment_DNA_3_03_256,Texture_SumAverage_DNA_3_00_256,Texture_SumAverage_DNA_3_01_256,Texture_SumAverage_DNA_3_02_256,Texture_SumAverage_DNA_3_03_256,Texture_SumEntropy_DNA_3_00_256,Texture_SumEntropy_DNA_3_01_256,Texture_SumEntropy_DNA_3_02_256,Texture_SumEntropy_DNA_3_03_256,Texture_SumVariance_DNA_3_00_256,Texture_SumVariance_DNA_3_01_256,Texture_SumVariance_DNA_3_02_256,Texture_SumVariance_DNA_3_03_256,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
1,1,17975,32025,1.743829745,20843,0.840373146,151.2827843,1,0.56128025,0.573450478,216.3522418,215.1023012,49,18.82207962,17.2626765,123.272275,117.2647063,40.90518173,627.6122651,0.862399846,0.494639625,0.112337454,0.11990858,0.065616209,0.076765583,0.017314509,0.037839358,0.02771234,0.02379895,0.006701032,0.006192834,0.004829491,0.002717986,0.01022206,0.014871889,0.012707815,0.010341,0.008032681,0.006405125,0.001844501,0.015392928,0.012233252,0.006132184,0.005904064,0.010971108,0.009593777,0.002826117,0.009967296,0.006289872,0.00331951,3.825803068,176.3792193,0.008560311,0.000823988,2.88192974,0.009460594,0.049027238,0.007164425,0.009812474,0.009445335,0.004882887,0.004882887,0.000954303,0.003665898,0.010223545,0.310162969,0.303043038,0.306517636,0.296060318,0.346370643,0.412539728,0.334729234,0.458973157,0.833354609,0.801920169,0.838927648,0.782005874,0.951053505,0.99109886,0.936180163,1.030332515,0.037242715,0.036379173,0.037165789,0.03547308,2.249863994,2.299186356,2.268674434,2.324115555,-0.303760626,-0.264339333,-0.294520112,-0.256819593,0.743822806,0.709631783,0.737035675,0.70414254,0.857257022,0.850062918,0.85681809,0.842542344,5.006672035,5.013059809,5.002237265,5.026550229,1.951429286,1.962939582,1.961542845,1.978166879,3.810607733,3.7528488,3.821530102,3.75190322,1.039244594,1.041347132,1.039064834,1.052719094
1,2,8575,11172,1.231555188,8874,0.616204141,104.4893731,1,0.76754386,0.811981477,118.0992552,117.9915251,43.93176527,16.42821797,14.56021978,93.17491663,93.01337618,-76.3298336,364.2914139,0.966306063,0.779642042,0.062331464,0.14059813,0.069313331,0.009858396,0.009139406,0.050166781,0.005770184,0.006942664,0.020241358,0.016319557,0.007049138,0.005852842,0.018657652,0.006625671,0.009819363,0.009936022,0.002138483,0.001735198,0.005090267,0.002072115,0.010290416,0.004389571,0.003850211,0.002998661,0.005240462,0.010595383,0.006908752,0.005101132,0.004947838,1.928267375,68.73769838,0.007187,0.000823987,1.57901172,0.008072022,0.011612115,0.006121484,0.008016058,0.008163577,0.004592966,0.004547189,0.000726202,0.001155385,0.008880751,0.765474824,0.767327379,0.766665443,0.762810828,0.107311178,0.113104814,0.106152724,0.112067905,0.266436741,0.182655602,0.273314362,0.225868643,0.491752005,0.509210562,0.488201216,0.506122047,0.139602255,0.137343943,0.140057839,0.137745655,0.859601746,0.841202382,0.854914185,0.862131551,-0.090741384,-0.047160058,-0.098822673,-0.068785789,0.280106356,0.199536689,0.291618502,0.244063042,0.946344411,0.943447593,0.946923638,0.943966047,4.018851964,4.030441777,4.02006323,4.023250092,0.752290568,0.728097568,0.748761461,0.750063646,0.185263939,0.163656889,0.186003109,0.177464108,0.073143779,0.069190426,0.073038958,0.072383003
1,3,17701,22560,1.120519237,17913,0.46239436,150.1253249,1,0.784618794,0.892443402,159.4794554,159.4521872,70,24.81380782,21.9317122,140,141.4063472,-79.97747385,499.2447327,0.98816502,0.885590815,0.00936482,0.094976031,0.047345394,0.006905297,0.004927667,0.063411155,0.026384642,0.004629699,0.003850012,0.001476022,0.005814912,0.030707715,0.006042318,0.006496288,0.000619657,0.001274257,0.001173588,0.00423556,0.00326323,0.006396999,0.007357637,0.007503,0.002046858,0.00201993,0.001053355,0.002113768,0.002172242,0.002455159,0.002181544,3.705897658,197.2562925,0.010467689,0.000717174,0.674065478,0.011291676,0.014633402,0.008658639,0.011143794,0.011215381,0.006454566,0.006454566,0.000808676,0.001096123,0.011898222,0.720359935,0.728531304,0.722604785,0.72252099,0.109561292,0.113705703,0.112317788,0.117354113,0.407062586,0.343206765,0.376908275,0.334542991,0.498591262,0.510993274,0.506867766,0.521707216,0.120976954,0.119689314,0.120118999,0.11856715,0.915937418,0.893073567,0.90948242,0.908171434,-0.16324476,-0.122299222,-0.143020549,-0.116160814,0.387618664,0.331397079,0.361555515,0.325506889,0.945219354,0.943147149,0.943841106,0.941322944,5.817282093,5.831729641,5.822870085,5.827806421,0.806376126,0.779367864,0.797164632,0.790817321,0.25999303,0.232539346,0.248199882,0.2353482,0.09238858,0.086561262,0.090129418,0.088175578
1,4,14777,26334,1.552022406,16610,0.86011937,137.1665439,1,0.561137693,0.644320595,199.6346233,183.9184602,44.28317965,17.42154569,16.2788206,108.1948044,101.832185,50.72110923,536.8427125,0.889644792,0.556161851,0.054809406,0.132535318,0.116730723,0.046058278,0.007421083,0.002485362,0.039175531,0.031336919,0.011054063,0.01366322,0.00172444,0.007659738,0.006729572,0.006915507,0.003384036,0.006272442,0.01551086,0.006196864,0.004339942,0.000921108,0.010494398,0.008598497,0.015481526,0.003476186,0.006081795,0.008175653,0.008298617,0.00459128,0.003470765,3.703105273,148.4876954,0.009094377,0.000885024,0.052963878,0.009796293,0.016937515,0.00815662,0.010048568,0.009933623,0.006836042,0.006836042,0.000501504,0.001310285,0.010879682,0.328659518,0.324591577,0.328609645,0.320415442,0.214480397,0.224094177,0.215317716,0.232735842,0.601799093,0.58316941,0.599957865,0.566682898,0.749960022,0.767573198,0.751525156,0.782750089,0.092608577,0.090449609,0.092417601,0.088572052,1.850129688,1.871730617,1.852191793,1.886340441,-0.277917328,-0.256264035,-0.275425738,-0.242080724,0.67054445,0.650489131,0.668256519,0.636553592,0.892759802,0.887952911,0.892341142,0.883632079,5.137535817,5.147539828,5.141534577,5.155109619,1.635649291,1.64763644,1.636874076,1.653604599,0.862766756,0.851134861,0.861157471,0.841469821,0.269311788,0.26880726,0.269118797,0.268551416
1,5,13401,18034,1.233842504,13758,0.475859963,130.6242058,1,0.743096374,0.810476213,140.1121213,141.1736519,57.55866572,20.54247989,18.35755975,124.9109795,123.2315615,84.63849421,455.8305192,0.974051461,0.837260461,0.0325687,0.119555007,0.04684705,0.014898324,0.040156977,0.060155835,0.013642336,0.00600211,0.001023269,0.003366773,0.009494915,0.015814597,0.008633643,0.003561164,0.005697752,0.007326596,0.01257627,0.01284814,0.003236857,0.000984201,0.012390152,0.001515679,0.00436272,0.002672837,0.005045336,0.009304352,0.005030788,0.004175134,0.003468448,2.759319493,127.58224,0.008712902,0.000808728,0.664523681,0.010284581,0.014999619,0.007167064,0.009520352,0.009506371,0.004913405,0.004913405,0.001168111,0.001374074,0.010345617,0.323705366,0.318664717,0.328349362,0.308143245,0.237703025,0.248851514,0.233181783,0.268951518,0.553337113,0.526965218,0.554786161,0.48988595,0.791199579,0.810098929,0.783516763,0.839956105,0.087519881,0.085269438,0.088476784,0.08135336,1.897846603,1.906480717,1.87466715,1.940507495,-0.230636947,-0.204796435,-0.229076383,-0.175916615,0.624730859,0.593905349,0.619917681,0.558768413,0.881148487,0.875667679,0.883409108,0.865524241,4.819336464,4.832982948,4.824535717,4.834647513,1.660143578,1.656777909,1.641485367,1.671555976,0.826647885,0.803297393,0.814322866,0.785524509,0.266087728,0.263037227,0.261876162,0.263619007
1,6,15618,27750,1.846878705,17772,0.879807581,141.0157977,1,0.562810811,0.541454074,211.6356453,198.5875122,47.07440918,17.22187267,15.8113883,105.7243426,100.596774,-57.56557982,602.0559159,0.878798109,0.504233466,0.052129946,0.142424664,0.108228151,0.037099748,0.013784268,0.006760425,0.05205566,0.027749769,0.009666344,0.01580192,0.002309089,0.013105105,0.003138418,0.00928966,0.008575814,0.002975247,0.008868099,0.009613558,0.004729719,0.000123045,0.003571536,0.013297981,0.006229193,0.003673375,0.003717697,0.0110863,0.011607558,0.009394537,0.00316786,4.32559707,152.6210898,0.009124896,0.00062562,0.396649075,0.010360876,0.014007783,0.008431963,0.009772128,0.009719997,0.006759747,0.006759747,0.0006921,0.000957142,0.010360876,0.294459772,0.288503093,0.293687676,0.290022691,0.291655664,0.304483484,0.292694307,0.301821336,0.416573625,0.39185476,0.414895236,0.396603121,0.870850384,0.886702621,0.872176276,0.883505904,0.077362945,0.075290683,0.07719026,0.075709913,1.873963798,1.891524487,1.876026643,1.887276371,-0.128904778,-0.11358612,-0.127805638,-0.11647337,0.477035619,0.451338781,0.475354758,0.456258186,0.854172168,0.847758258,0.853652846,0.849089332,4.95194085,4.971376246,4.959405413,4.958436187,1.582308134,1.587041003,1.583332336,1.585455036,0.708147144,0.696867719,0.707790821,0.698586013,0.249950702,0.250337801,0.250121282,0.250101837
1,7,14465,20670,1.350631522,15124,0.720590298,135.7107587,1,0.699806483,0.740394388,164.7368278,164.9151297,52.34500931,19.75873987,17.88854382,118.9018238,114.2221091,-67.79579795,495.4873734,0.956426871,0.677185352,0.035265382,0.173224937,0.088148758,0.013840322,0.019333213,0.033001144,0.011312024,0.021290519,0.013607198,0.021843579,0.004610273,0.008791561,0.022609437,0.012709133,0.011075018,0.010522524,0.003693811,0.001169106,0.003816988,0.001300657,0.003208328,0.011619534,0.004548393,0.003089261,0.00412115,0.008500835,0.008778252,0.005932386,0.000633927,3.974013927,156.5239812,0.00999466,0.000823988,1.372502811,0.011932556,0.015625238,0.009394832,0.010820877,0.010864424,0.006652934,0.006652934,0.001031605,0.001202311,0.011657893,0.544199937,0.546241515,0.54733168,0.546543842,0.149925251,0.157181179,0.147851576,0.152388501,0.557219628,0.525532124,0.561139241,0.544320844,0.609653214,0.627523189,0.604437657,0.615785392,0.109020932,0.107009898,0.109603405,0.108333502,1.357342082,1.359532018,1.35022136,1.356123617,-0.260403037,-0.231358682,-0.263562455,-0.24720826,0.57786958,0.547089253,0.579889427,0.563794671,0.925037375,0.921409411,0.926074212,0.92380575,5.620844308,5.633437251,5.623793523,5.628143238,1.207416831,1.202350839,1.202369784,1.203735116,0.527273922,0.505376549,0.525945629,0.516452716,0.169299793,0.165639432,0.168449301,0.167210304
1,8,20670,28710,1.206344782,20952,0.738558217,162.2278071,1,0.719958203,0.828950408,198.4842191,200.7710138,68.60029154,25.09357009,22.56102835,137.2882986,133.8160174,-47.239242,559.7716447,0.986540664,0.65290286,0.032276701,0.185632822,0.08805671,0.001505288,0.015050434,0.024382808,0.01035797,0.026970857,0.012354548,0.015015651,0.007651886,0.022900601,0.027579219,0.005582791,0.010711201,0.002355941,0.003815133,0.007348224,0.0031997,0.001245801,0.004774871,0.007519324,0.00629132,0.00523445,0.004120958,0.008504803,0.006555237,0.00338856,0.001033641,3.932280507,233.6560792,0.010437171,0.000885024,1.312995695,0.010940718,0.01763943,0.008209354,0.011304116,0.011291676,0.00546273,0.00546273,0.001124184,0.001390287,0.012222476,0.624106218,0.625670877,0.623424202,0.623891301,0.149690211,0.161065698,0.149394481,0.154566278,0.454039232,0.38727747,0.457358184,0.427954218,0.609064514,0.637152494,0.608594205,0.621150422,0.109086779,0.105988392,0.109208503,0.107729782,1.279613854,1.274873871,1.2820913,1.280972033,-0.189032766,-0.143895841,-0.190688329,-0.169155452,0.484182268,0.423509455,0.4866297,0.459101866,0.925154895,0.919527702,0.925362319,0.922716861,5.869244114,5.885255828,5.868175501,5.874614082,1.129923643,1.113402397,1.132275956,1.126405754,0.39866498,0.364672104,0.401224644,0.385832002,0.137088798,0.13143445,0.137654781,0.13509957
1,9,11003,17835,1.391923714,11570,0.807421214,118.3615424,1,0.616932997,0.718430177,156.9284676,152.2793486,43.829214,16.67292388,15.23154621,91.50109714,92.58393677,-33.13342654,438.7005769,0.95099395,0.602994548,0.032919679,0.168626696,0.104822304,0.026599247,0.017816221,0.003522864,0.031831681,0.019896979,0.006570064,0.013038666,0.014082721,0.006894111,0.020969966,0.003383061,0.009186144,0.014694982,0.00797319,0.004059448,0.007836592,0.008852831,0.003765975,0.01385168,0.007957511,0.010405082,0.005446139,0.007647327,0.003446663,0.004671311,0.004007071,3.685694693,132.2964993,0.011017014,0.000961319,1.888347825,0.012588693,0.016830701,0.010238041,0.012023675,0.011947814,0.007995727,0.007995727,0.000950266,0.001406674,0.012970169,0.569923474,0.560553643,0.568745736,0.566597532,0.164742619,0.173917237,0.16985398,0.174628701,0.496747197,0.473794219,0.475358919,0.456407203,0.646025322,0.666587786,0.657877895,0.668184536,0.105028953,0.102531987,0.103666848,0.102346593,1.426653085,1.450399602,1.428631718,1.431161116,-0.211395376,-0.192824827,-0.194311659,-0.180063038,0.535030068,0.515942378,0.514487073,0.49661626,0.917742241,0.913041381,0.915186057,0.912685649,6.181207419,6.186649947,6.182289213,6.185602119,1.260832938,1.276482364,1.257704533,1.256532415,0.489968565,0.487106429,0.477651472,0.467869515,0.163677796,0.165255917,0.161876363,0.160624554
1,10,17227,22792,1.129377642,17456,0.329165718,148.1016463,1,0.755835381,0.885443418,152.4879726,154.1492783,71.19691005,24.56446088,21.58703314,143.855432,143.9901487,-81.05959089,494.4579362,0.986881302,0.923074303,0.028882435,0.066917506,0.023576663,0.019439246,0.008233041,0.05008099,0.014847383,0.012998149,0.007696098,0.003752798,0.002855401,0.03139192,0.005935266,0.008821227,0.002026802,0.002316586,0.002306004,0.002351283,0.001681204,0.015561534,0.001856413,0.004963799,0.001907099,0.002276185,0.007809959,0.003162082,0.002845309,0.000282116,0.000124623,4.416708668,340.3993611,0.014541848,0.004959182,2.330408061,0.012207218,0.034424353,0.010591628,0.019759642,0.019684138,0.009155413,0.009155413,0.000511535,0.005986019,0.024475472,0.103081996,0.090575604,0.102704558,0.09326113,0.283100941,0.353114833,0.285134813,0.340097549,0.938804825,0.922888013,0.938317416,0.925742079,0.865210371,0.957192089,0.868848602,0.944626101,0.049618013,0.044776223,0.049515204,0.04567328,3.612410472,3.756134856,3.618012528,3.731474363,-0.569291738,-0.513317156,-0.567517592,-0.522304196,0.971377264,0.961907193,0.971141907,0.963579075,0.859665117,0.828214243,0.859078979,0.834937075,10.20015493,10.24659598,10.2044858,10.24459565,3.321782344,3.381643573,3.324115753,3.36857604,8.969293266,8.805379122,8.960094409,8.819802039,2.313098552,2.289623489,2.311307305,2.289974897
