,Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
1534,A13318152,0.012190129,16262.0,0.794477678,1.91228523,0.427477454
1535,A13318152,0.010682603,12543.0,0.816880295,1.323962699,0.201790682
1536,A13318152,0.015197646,17290.0,0.832680605,2.016393829,0.700752782
1537,A13318152,0.0132261,22735.0,0.836900957,1.657277354,0.889003742
1538,A13318152,0.015754858,16760.0,0.636629399,1.142140822,0.390457525
1540,A13318152,0.014820201,20517.0,0.738118692,1.475991216,0.240538798
1541,A13318152,0.018001043,17538.0,0.716479048,1.210734718,0.515414359
1542,A13318152,0.012144908,9247.0,0.429337879,1.298245773,0.737223751
1543,A13318152,0.017558575,16379.0,0.426351734,1.141235363,0.541678452
1544,A13318152,0.025220142,12601.0,0.608193251,1.18193317,7.167242746
1545,A13318152,0.015733724,25288.0,0.697940172,1.189929765,0.44957537
1546,A13318152,0.021466022,16942.0,0.760595938,1.2034403,0.981961633
1547,A13318152,0.023496559,11189.0,0.468995134,1.222973543,6.50801213
1548,A13318152,0.015593078,12811.0,0.612879913,1.332175793,0.60196338
1549,A13318152,0.014408239,8440.0,0.398497255,1.427931464,0.876762848
1550,A13318152,0.014554693,23138.0,0.815732542,2.124966783,0.709211599
1551,A13318152,0.012764095,9700.0,0.85164188,1.389490862,0.287396727
1552,A13318152,0.017370445,9866.0,0.624068405,1.170089217,0.573610308
1553,A13318152,0.015934933,12041.0,0.879047127,1.466758374,0.354559687
1554,A13318152,0.014664882,11593.0,0.706113501,1.192581066,0.243893755
1555,A13318152,0.021905152,15485.0,0.758563461,1.259406823,3.636007094
1556,A13318152,0.01503471,9569.0,0.678214975,1.175644283,0.182274673
1557,A13318152,0.018007564,16281.0,0.478851911,1.210497442,0.36449553
1558,A13318152,0.016331474,12175.0,0.672114256,1.503341207,0.432148609
1559,A13318152,0.014066634,15956.0,0.290329645,1.186526645,0.388607371
1560,A13318152,0.013296264,12251.0,0.38869854,1.225596721,0.316809276
1561,A13318152,0.011614561,12317.0,0.754009884,1.659435059,0.052696778
1562,A13318152,0.015071788,10270.0,0.694794462,1.257297734,0.283510448
1563,A13318152,0.021953448,11777.0,0.73060915,1.346945747,0.353231515
1564,A13318152,0.022769876,16517.0,0.840300735,1.942647625,0.62540469
1565,A13318152,0.018840405,22188.0,0.678835576,1.272150611,0.464864666
1566,A13318152,0.025547651,16895.0,0.735696352,1.229437465,0.632386819
1567,A13318152,0.017973507,11375.0,0.676665169,1.311652284,0.648107343
1568,A13318152,0.021714125,16446.0,0.825734014,1.287404078,0.43523573
1569,A13318152,0.021890681,15445.0,0.70484145,1.197369324,0.347327554
1570,A13318152,0.020452082,19679.0,0.641121466,1.167343707,0.617849393
1571,A13318152,0.018702396,25972.0,0.688962716,1.173936966,0.461317406
1572,A13318152,0.016566541,14089.0,0.809300785,1.45187581,0.146916524
1573,A13318152,0.024253461,11777.0,0.777980627,1.23235326,0.613477082
1574,A13318152,0.021344046,9163.0,0.84556793,1.36793276,0.3783579
1575,A13318152,0.019752353,15198.0,0.741982248,1.217844111,0.438624557
1576,A13318152,0.018682361,12743.0,0.7228486,1.201406558,0.276901114
1577,A13318152,0.021797214,11380.0,0.769006133,1.300455456,2.668508487
1578,A13318152,0.018560579,11599.0,0.527341759,1.185510389,0.311055887
1579,A13318152,0.027912088,14585.0,0.742847241,1.551895712,2.051588642
1580,A13318152,0.022197469,11040.0,0.73442425,1.175006406,0.404601008
1581,A13318152,0.017393712,10554.0,0.608154755,1.202207722,0.269705519
1582,A13318152,0.026451726,20165.0,0.66273615,1.163933291,1.007959666
1583,A13318152,0.017606747,10633.0,0.619467146,1.135427851,0.426001408
1584,A13318152,0.02162841,12574.0,0.722065427,1.903721129,0.482884436
1585,A13318152,0.02090404,8965.0,0.801663708,1.341365943,0.616463597
1586,A13318152,0.023317643,21101.0,0.69686536,1.178384905,0.527029838
1587,A13318152,0.024717008,20221.0,0.427951139,1.175349835,0.731956132
1588,A13318152,0.022787028,15045.0,0.89130965,1.692240408,1.296328607
1589,A13318152,0.023808111,13462.0,0.675456499,1.155756371,0.947004143
1590,A13318152,0.022063516,8089.0,0.705803339,1.193956361,0.806508444
1591,A13318152,0.022912734,10863.0,0.749579679,1.19474637,0.394116438
1592,A13318152,0.020420833,10616.0,0.761870724,1.320593873,0.354821541
1593,A13318152,0.018305622,11648.0,0.614366975,1.154620369,0.458579871
1594,A13318152,0.020137723,15589.0,0.547718568,1.173616561,0.355569778
1595,A13318152,0.02651768,13997.0,0.724554751,1.204666791,1.020171574
1596,A13318152,0.021242672,13767.0,0.777652691,1.209035759,0.574921109
1597,A13318152,0.014638955,16681.0,0.761982727,1.327370588,0.213746641
1598,A13318152,0.019131788,12385.0,0.703921222,1.195811392,0.655696161
1599,A13318152,0.018495759,23433.0,0.858894556,1.636941636,0.637471387
1600,A13318152,0.022740121,13607.0,0.797938748,1.417234932,0.430927932
1601,A13318152,0.013871027,11793.0,0.799086869,1.369581369,0.277624351
1602,A13318152,0.022519218,17857.0,0.753926763,1.23123546,0.521773884
1603,A13318152,0.016699871,11553.0,0.419733218,1.127675881,0.416685773
1604,A13318152,0.0202004,11129.0,0.821528479,1.303494827,0.218042945
1605,A13318152,0.01952475,14920.0,0.597595839,1.160796015,0.450941309
1606,A13318152,0.021497575,14661.0,0.82832515,1.441198631,0.376457609
1607,A13318152,0.015296358,16024.0,0.708088523,1.166518598,0.362598039
1608,A13318152,0.017188646,12075.0,0.761051309,1.441724084,1.977558969
1609,A13318152,0.018470339,18470.0,0.755501547,1.344590212,0.236669021
1610,A13318152,0.02014958,13818.0,0.573474443,1.7649307,0.614000135
1611,A13318152,0.015922742,12094.0,0.729418765,1.189866007,0.253522869
1612,A13318152,0.019419432,11292.0,0.764426762,1.302365032,0.31265203
1613,A13318152,0.019347296,11835.0,0.856070628,1.393515273,0.197491746
1614,A13318152,0.016887514,13001.0,0.84239215,1.795910838,0.294258406
1615,A13318152,0.018143106,10178.0,0.768609904,1.243591949,0.237342424
1616,A13318152,0.014162441,13109.0,0.560193456,1.247056424,0.306416648
1617,A13318152,0.018415879,17294.0,0.682845638,1.651671224,0.374112765
1618,A13318152,0.016383759,14965.0,0.649414758,1.155105368,0.363008606
1619,A13318152,0.016339606,7993.0,0.633660356,1.428704076,0.136792642
1620,A13318152,0.022838133,23083.0,0.874857704,1.805905217,0.735789575
1621,A13318152,0.01463897,8112.0,0.820785888,2.026572267,0.605724649
1622,A13318152,0.01912837,14580.0,0.702636018,1.209871731,0.691233203
1623,A13318152,0.023987671,16322.0,0.795900364,1.818018736,1.156865527
1624,A13318152,0.019886006,15744.0,0.709994347,1.479356839,1.859181191
1625,A13318152,0.019498645,13239.0,0.732460162,1.166965655,0.691887488
1626,A13318152,0.023792772,13649.0,0.668025738,1.249299717,0.696444654
1627,A13318152,0.024255382,11501.0,0.825084928,1.295579582,0.566038355
1629,A13318152,0.024295244,11020.0,0.772138801,1.225342635,0.63220592
1630,A13318152,0.025779628,12831.0,0.487350818,1.127800705,1.039485267
1631,A13318152,0.024746434,15721.0,0.776337228,1.278959527,0.684694535
1632,A13318152,0.023357268,12990.0,0.677467872,1.148358424,0.6615495
1633,A13318152,0.01390486,15234.0,0.786392794,1.408062375,0.291928284
1634,A13318152,0.026995593,15293.0,0.772268024,1.206333123,1.271744187
1635,A13318152,0.022117692,13085.0,0.736306379,1.315334431,1.153970023
1636,A13318152,0.021655235,10418.0,0.714733899,1.43186561,0.52991185
1637,A13318152,0.024227721,22054.0,0.805111004,1.290330124,0.625651117
1639,A13318152,0.026486793,14402.0,0.769813933,1.217693925,1.279843092
1640,A13318152,0.022153215,13779.0,0.856374368,1.573859297,0.654214203
1641,A13318152,0.025493632,18246.0,0.829793387,2.067675235,3.093303154
1642,A13318152,0.022426595,14305.0,0.74729769,1.201811995,0.456827553
1643,A13318152,0.02385016,17180.0,0.787538483,1.303578063,0.634817536
1644,A13318152,0.023739194,11379.0,0.635519958,1.175526306,0.728222709
1645,A13318152,0.020366956,11728.0,0.601425654,1.203786035,0.338721556
1646,A13318152,0.02332626,15332.0,0.729003472,1.192374612,0.786345358
1647,A13318152,0.02817283,19401.0,0.709468226,1.205709986,1.57310613
1648,A13318152,0.023753352,16269.0,0.648494807,1.239666517,0.906568465
1649,A13318152,0.026594753,13853.0,0.552440317,1.17986427,1.247906091
1651,A13318152,0.023709363,8459.0,0.633095319,1.202359728,0.903908513
1652,A13318152,0.021396899,8785.0,0.649987244,1.299901159,0.597268071
1653,A13318152,0.02135185,12570.0,0.611429824,1.199054223,0.373756857
1654,A13318152,0.021593185,14901.0,0.796549255,1.26124189,0.443224282
1655,A13318152,0.023692208,13044.0,0.352859427,1.133810891,0.608530714
1656,A13318152,0.020702763,9528.0,0.753806077,1.210958077,0.907691955
1657,A13318152,0.021004316,12988.0,0.792497392,1.239783038,0.351869258
1658,A13318152,0.020623955,10004.0,0.7807521,1.262144631,0.625266104
1659,A13318152,0.024078801,9046.0,0.610859091,1.179258486,2.805978673
1660,A13318152,0.021664426,20647.0,0.71420741,1.293175193,1.076036667
1661,A13318152,0.021267113,18963.0,0.604040169,1.142908158,0.64276422
1663,A13318152,0.022800186,10453.0,0.684563421,1.265518721,0.66324252
1665,A13318152,0.019416652,9124.0,0.848104994,1.3405563,0.330810097
1666,A13318152,0.015603322,12952.0,0.44955479,1.43131104,0.454458761
1667,A13318152,0.019710886,10693.0,0.621365479,1.164109103,0.250158203
1668,A13318152,0.023745135,15577.0,0.766217383,1.203600506,1.174517292
1669,A13318152,0.024681479,12705.0,0.629592031,1.198020557,4.568424874
1670,A13318152,0.019662014,11215.0,0.657757422,1.410734028,0.621284258
1671,A13318152,0.021222875,21649.0,0.790331579,1.312960936,0.537634916
1672,A13318152,0.028144311,8605.0,0.57282245,1.232171056,8.093075099
1673,A13318152,0.023637217,14889.0,0.764310761,1.235322262,1.223284311
1674,A13318152,0.020125429,14586.0,0.855712294,1.455535654,0.804194937
1675,A13318152,0.021773449,14761.0,0.746917682,1.23413276,0.639064299
1676,A13318152,0.021279283,17048.0,0.79798629,1.300401068,0.548655539
1677,A13318152,0.022247017,11735.0,0.61442899,1.17855196,0.795452238
1678,A13318152,0.022470749,12124.0,0.629164299,1.180718477,0.866744906
1679,A13318152,0.019241489,11781.0,0.602093438,1.205619821,0.412895598
1680,A13318152,0.022897298,15886.0,0.703826013,1.17742603,1.001005907
1681,A13318152,0.026145031,20153.0,0.695371356,1.233005199,1.872356682
1682,A13318152,0.024457738,14204.0,0.556757217,1.180861522,1.355072599
1683,A13318152,0.022464073,15522.0,0.808940246,1.654168014,2.649527402
1684,A13318152,0.028524359,26373.0,0.820700715,1.49271372,6.740476467
1685,A13318152,0.021098073,9514.0,0.657801692,1.224226337,0.797720004
1686,A13318152,0.021470951,13685.0,0.576151734,1.162411022,0.446966901
1687,A13318152,0.020919391,16588.0,0.788066609,1.299473357,0.643703716
1688,A13318152,0.02101612,10599.0,0.71305975,1.176472105,1.441065953
1689,A13318152,0.023481965,13773.0,0.343025732,1.139901171,0.921192
1690,A13318152,0.0204747,13984.0,0.723900522,1.233565034,0.486891547
1691,A13318152,0.020266256,10597.0,0.782350792,1.283642981,0.911698607
1692,A13318152,0.028115449,8739.0,0.66294238,1.174648373,4.376756445
1693,A13318152,0.024218424,21814.0,0.691157601,1.240528623,2.016003389
1694,A13318152,0.021676173,19255.0,0.597374943,1.140351835,0.765196291
1695,A13318152,0.023067763,14260.0,0.64411732,1.415113922,1.324728382
1696,A13318152,0.025926791,24363.0,0.694510352,1.197182478,3.247784437
1697,A13318152,0.020204849,9908.0,0.840806447,1.281613956,0.390298382
1698,A13318152,0.016981397,15954.0,0.692627402,1.234980592,0.709770047
1699,A13318152,0.019550664,19368.0,0.781106779,1.417801346,1.064488657
1700,A13318152,0.012916268,10609.0,0.634673645,1.171887071,0.287310745
1701,A13318152,0.012600182,12796.0,0.359030038,1.653907204,1.072346356
1702,A13318152,0.015448815,15874.0,0.734975662,1.255859621,0.59054604
1703,A13318152,0.012288421,8074.0,0.767013057,1.540656048,0.606213445
1704,A13318152,0.0125881,9989.0,0.813490514,1.745402526,0.149128108
1705,A13318152,0.014558466,16191.0,0.472786668,1.483450339,0.448809845
1706,A13318152,0.021241435,18857.0,0.684337994,1.174831786,0.912120887
1707,A13318152,0.021903243,12890.0,0.725435095,1.159640232,0.589684291
1708,A13318152,0.021820166,14836.0,0.854099049,1.308817603,0.608858889
1709,A13318152,0.011914791,10458.0,0.850395713,1.433454976,0.169719108
1710,A13318152,0.023733794,11768.0,0.609125289,1.143964409,1.086955956
1712,A13318152,0.022105974,10022.0,0.702207081,1.252925854,0.886569156
1713,A13318152,0.024444145,17338.0,0.751123923,1.487920493,5.303774532
1714,A13318152,0.019439135,13752.0,0.407514502,1.141125268,0.852577829
1715,A13318152,0.024335589,10593.0,0.684383381,1.210667481,0.919330559
1716,A13318152,0.025281972,11071.0,0.740692896,1.20335218,1.194680042
1717,A13318152,0.02041317,11135.0,0.73961747,1.215055725,0.626753156
1718,A13318152,0.023407889,17454.0,0.67105554,1.181889333,0.753053473
1719,A13318152,0.019385416,17300.0,0.431764159,1.15318827,0.789544309
1720,A13318152,0.028695305,10225.0,0.609303971,1.177185116,2.593319682
1721,A13318152,0.025563473,18252.0,0.748569832,1.221216785,1.002583491
1722,A13318152,0.021446547,10336.0,0.720496319,1.200752006,0.657524452
1723,A13318152,0.017561624,16039.0,0.870407087,1.587035175,0.320642595
1724,A13318152,0.017500961,17043.0,0.787449743,1.299876957,0.506427256
1725,A13318152,0.024688174,12708.0,0.70950206,1.334783486,3.882607679
1726,A13318152,0.021302209,10437.0,0.554663671,1.152430915,0.627049278
1727,A13318152,0.02424901,15089.0,0.63568248,1.201400283,0.86543811
1728,A13318152,0.015107907,16107.0,0.830734198,1.53972697,0.398928592
1729,A13318152,0.021842082,12390.0,0.559986392,1.127906892,0.569060223
1731,A13318152,0.023860611,11314.0,0.516547543,1.12667524,0.824636557
1732,A13318152,0.014720402,9907.0,0.676266144,1.251846235,0.236321774
1733,A13318152,0.023125484,11251.0,0.767552434,1.206190646,0.653624523
1734,A13318152,0.019617763,13346.0,0.93027464,1.750784432,0.752944697
1735,A13318152,0.011822185,12384.0,0.691897667,1.31324767,0.067791728
1736,A13318152,0.018624429,12556.0,0.554285146,1.148795031,0.408605885
1737,A13318152,0.016691325,18089.0,0.775174983,1.507943474,0.377920681
1738,A13318152,0.012784077,9604.0,0.858957012,2.026041783,0.173606754
1739,A13318152,0.02237786,14606.0,0.58813166,1.329203421,0.985095794
1740,A13318152,0.020739993,10371.0,0.744639514,1.196090682,0.423982363
1742,A13318152,0.018318376,11070.0,0.779887114,1.259227259,0.353141987
1743,A13318152,0.018027524,9549.0,0.649096931,1.168373646,0.332630241
1744,A13318152,0.015648383,13807.0,0.701816253,1.208623254,0.201198687
1745,A13318152,0.020268233,9241.0,0.729395636,1.172388142,0.343519308
1746,A13318152,0.01793968,9409.0,0.820864501,1.269717518,0.298451625
1747,A13318152,0.026701381,10590.0,0.357825307,1.19375658,4.493667315
1748,A13318152,0.022965572,25013.0,0.89796108,1.719874014,2.671022017
1749,A13318152,0.018383716,11261.0,0.733135596,1.224883945,0.470789876
1750,A13318152,0.018910095,12068.0,0.677889953,1.15555125,0.342796873
1751,A13318152,0.023716333,9741.0,0.687082117,1.293718626,2.875565718
1752,A13318152,0.017163415,9821.0,0.641841637,1.424595677,0.260137588
1753,A13318152,0.023149489,10951.0,0.586178613,1.166603912,0.582724288
1754,A13318152,0.024784515,20095.0,0.735002709,1.30241637,0.965599862
1756,A13318152,0.024484744,13839.0,0.753025929,1.179576691,0.844932814
1757,A13318152,0.022233209,12954.0,0.701454147,1.173465395,0.912355128
1758,A13318152,0.023586597,23317.0,0.640006683,1.358366499,1.053709436
1759,A13318152,0.022668869,26253.0,0.768470515,1.771906034,1.918576237
1760,A13318152,0.021311569,9370.0,0.395092258,1.672957352,0.924722311
1761,A13318152,0.019544449,23321.0,0.895874779,2.064528591,0.550038879
1762,A13318152,0.027743403,16643.0,0.663656909,1.142217632,1.493853123
1763,A13318152,0.02614769,19734.0,0.694652822,1.224913831,1.275549501
1764,A13318152,0.025651147,16278.0,0.50020779,1.165991441,0.951828116
1765,A13318152,0.023057212,23917.0,0.8235583,1.663435371,1.204969661
1766,A13318152,0.021842913,10791.0,0.651515907,1.236899308,0.736688651
1767,A13318152,0.014701361,10609.0,0.301009208,1.678192631,0.810185399
1768,A13318152,0.022923175,12198.0,0.695359441,1.174016373,0.619950152
1769,A13318152,0.025162043,13159.0,0.676081754,1.26166,1.782439669
1770,A13318152,0.023495961,10748.0,0.613716945,1.155555269,1.058847871
1771,A13318152,0.023379395,13343.0,0.75530462,1.330058966,3.162405346
1772,A13318152,0.019232448,25708.0,0.798358571,1.616657131,0.444082341
1773,A13318152,0.019602555,9510.0,0.70353436,1.34500076,0.825363249
1774,A13318152,0.024226662,15995.0,0.26196373,1.238327913,1.438216732
1775,A13318152,0.014226735,9674.0,0.727323196,1.499337777,0.694466958
1776,A13318152,0.022703709,11578.0,0.607222596,1.219722719,0.839032938
1777,A13318152,0.019930539,10653.0,0.750488233,1.487721745,0.684007148
1778,A13318152,0.020180865,13730.0,0.76489933,1.26371093,0.766986451
1779,A13318152,0.019494042,12807.0,0.850794178,1.452843256,0.335849575
1780,A13318152,0.021637652,16924.0,0.407068588,1.221907889,0.639385878
1781,A13318152,0.017597128,15217.0,0.58551442,1.130761228,0.368284327
1782,A13318152,0.014662371,8431.0,0.734605626,1.30289165,0.854828181
1783,A13318152,0.022711924,8705.0,0.629174111,1.22862237,3.534148869
1784,A13318152,0.016414506,9683.0,0.432645436,1.174195988,0.639645294
1785,A13318152,0.014917188,19711.0,0.664715117,1.173703674,0.34615429
1786,A13318152,0.017731877,16496.0,0.465775322,1.137488887,0.345479254
1787,A13318152,0.017209467,14409.0,0.798344701,1.598862499,0.460652398
1788,A13318152,0.019036231,12711.0,0.706349935,1.324568567,0.754801565
1789,A13318152,0.01704664,13046.0,0.825616585,1.336747818,0.411392534
1790,A13318152,0.017807762,17008.0,0.444695087,1.11881511,0.395322145
1791,A13318152,0.017799573,11762.0,0.454152854,1.173076307,0.27755072
1792,A13318152,0.012777377,21792.0,0.535265511,1.417366011,0.273586553
1793,A13318152,0.022335972,9945.0,0.547929091,1.162527777,3.848019066
1794,A13318152,0.021007918,12548.0,0.676655004,1.211895358,1.439138271
1795,A13318152,0.02010153,15919.0,0.553743297,1.124432264,1.264626481
1796,A13318152,0.021243599,17358.0,0.791943646,1.282936706,1.273957024
1797,A13318152,0.014180749,13107.0,0.754765607,1.279926686,0.505317749
1798,A13318152,0.022970511,14186.0,0.763637045,1.286314673,2.254271709
1800,A13318152,0.01691452,13227.0,0.668105069,1.309139312,0.882196448
1801,A13318152,0.02033915,11668.0,0.652107969,1.241040372,1.716764892
1802,A13318152,0.020459494,12981.0,0.533632739,1.165292204,1.342159497
1803,A13318152,0.017587521,21683.0,0.877382166,2.119934487,1.030446902
1804,A13318152,0.020390488,12018.0,0.722133746,1.173617142,1.164475666
1805,A13318152,0.022123449,19598.0,0.55592674,1.208409341,2.045939328
1806,A13318152,0.027191586,10286.0,0.242344209,1.189620011,10.39784222
1807,A13318152,0.021467373,21068.0,0.647640514,1.224058228,1.77882758
1808,A13318152,0.023864743,21807.0,0.666989108,1.43333663,2.734820721
1809,A13318152,0.020476943,16051.0,0.560751811,1.145412983,1.299579289
1811,A13318152,0.010509671,15024.0,0.646236932,2.33256293,0.255015213
1812,A13318152,0.018678792,9982.0,0.636439712,1.197967046,0.626314799
1814,A13318152,0.019678422,20051.0,0.29773746,1.462210167,1.094321834
1815,A13318152,0.016009027,14915.0,0.697863257,1.33844183,0.45720627
1816,A13318152,0.018153834,21024.0,0.622764727,1.142016615,0.833187471
1817,A13318152,0.018362943,14829.0,0.562884179,1.14897538,0.707101161
1818,A13318152,0.018357739,13823.0,0.653557909,1.276321537,1.532025245
1819,A13318152,0.017132512,17799.0,0.721079165,1.376865851,0.479990059
1820,A13318152,0.019299137,17866.0,0.674808718,1.172388535,0.686649513
1821,A13318152,0.017832739,9812.0,0.473042242,1.213258083,8.552248656
1822,A13318152,0.01024155,10167.0,0.55830722,1.310992199,0.34384604
1823,A13318152,0.015420562,10692.0,0.622301891,1.306403287,1.040589476
1824,A13318152,0.022365532,19370.0,0.658919792,1.20801056,1.474063869
1825,A13318152,0.020305569,12472.0,0.774609818,1.241227198,1.133730297
1826,A13318152,0.015737162,15455.0,0.672095376,1.283875618,0.444066733
1827,A13318152,0.022242819,20369.0,0.809549062,1.261827212,1.002233796
1828,A13318152,0.023065492,13278.0,0.457288781,1.124188265,1.372956775
1829,A13318152,0.021237313,14786.0,0.802420852,1.250429621,0.881515847
1830,A13318152,0.024432034,9836.0,0.743339993,1.240440683,2.240123448
1831,A13318152,0.02503842,8276.0,0.71605392,1.195692209,3.649101649
1832,A13318152,0.018793215,13656.0,0.702926258,1.251053941,0.77973834
1834,A13318152,0.02186169,11588.0,0.444909333,1.212721298,6.52186769
1835,A13318152,0.017473036,10752.0,0.694381187,1.270574171,0.758116377
1836,A13318152,0.014303995,16838.0,0.673065187,1.180240462,0.35880838
1837,A13318152,0.015404404,18883.0,0.644513413,1.189719387,0.3418325
1838,A13318152,0.014926109,8580.0,0.675491879,1.35799732,2.025086338
1839,A13318152,0.018922113,20946.0,0.720890138,1.218625448,0.680735621
1840,A13318152,0.013910601,23425.0,0.689846471,1.445005601,0.398989606
1842,A13318152,0.024611305,16270.0,0.266196794,1.190514867,5.668656279
1843,A13318152,0.015662629,14895.0,0.883785965,1.496687178,0.264626044
1844,A13318152,0.013708895,13978.0,0.842207184,1.644680838,0.501948611
1845,A13318152,0.014224648,9650.0,0.817004341,1.301690811,0.237866859
1846,A13318152,0.01788073,8295.0,0.444798809,1.214792847,3.987913238
1847,A13318152,0.011620648,12591.0,0.642883037,1.457403589,0.228460597
1848,A13318152,0.0227208,12232.0,0.658778732,1.136323233,0.692536685
1849,A13318152,0.021277752,13574.0,0.572656308,1.14318516,0.607866086
1850,A13318152,0.022168922,20888.0,0.889602811,1.865140151,1.172660202
1851,A13318152,0.020683431,10716.0,0.481734828,1.248509747,1.809084896
1852,A13318152,0.024627949,15664.0,0.516718225,1.156122444,0.796427824
1853,A13318152,0.022811089,20675.0,0.886949072,1.869690847,2.017262556
1854,A13318152,0.020381433,13709.0,0.85304763,1.418143538,0.509464023
1855,A13318152,0.024007661,19155.0,0.845138516,1.768758072,1.07532056
1856,A13318152,0.020802667,12112.0,0.798022976,1.247985533,0.733967567
1857,A13318152,0.023352088,15841.0,0.627293938,1.184235017,0.692368923
1858,A13318152,0.019864437,24261.0,0.79581406,2.088429963,0.468896786
1859,A13318152,0.023640082,17407.0,0.728520637,1.454122785,1.796963931
1860,A13318152,0.022129285,11616.0,0.663356614,1.156531906,0.561861461
1861,A13318152,0.02029008,24407.0,0.914276527,1.897378045,1.583299933
1862,A13318152,0.018532494,17724.0,0.835532307,1.601969088,0.416658376
1863,A13318152,0.023520082,15037.0,0.506851717,1.11308885,0.542456591
1864,A13318152,0.020896823,10958.0,0.767994428,1.24170825,0.459957695
1866,A13318152,0.015699013,17721.0,0.62972079,1.171018618,0.207325746
1867,A13318152,0.023753921,16911.0,0.648682009,1.192883452,0.844922439
1868,A13318152,0.019274486,12288.0,0.715794041,1.22303752,1.425761508
1869,A13318152,0.021431131,18416.0,0.453604326,1.121661157,0.606933879
1870,A13318152,0.018185371,13072.0,0.767057951,1.213828326,0.333970296
1871,A13318152,0.018226927,13137.0,0.598312321,1.179155418,0.49815903
1872,A13318152,0.022295978,8524.0,0.701765381,1.175051396,0.659955969
1873,A13318152,0.018491247,13502.0,0.78725738,1.226009687,0.425715022
1874,A13318152,0.017016464,17384.0,0.84238127,1.3823616,0.470246532
1875,A13318152,0.014860895,15391.0,0.610021915,1.137983728,0.255853225
1876,A13318152,0.014950245,16158.0,0.721111675,1.216723003,0.283343357
1877,A13318152,0.021292967,13878.0,0.311660251,1.135500574,0.64444833
1878,A13318152,0.019590934,16135.0,0.728882632,1.163901748,0.485472831
1879,A13318152,0.023326578,15306.0,0.463246943,1.132497351,0.817012896
1880,A13318152,0.015017109,11432.0,0.734873292,1.343630231,0.270916947
1881,A13318152,0.01382345,16831.0,0.757826307,1.233626906,0.270457744
1882,A13318152,0.014241777,9440.0,0.953978161,2.616477615,0.261268156
1883,A13318152,0.013635607,11104.0,0.687955775,1.245348897,0.280798391
1884,A13318152,0.019034335,13497.0,0.763735959,1.334363004,0.710101094
1885,A13318152,0.020291837,10402.0,0.655347558,1.14791147,0.620461568
1886,A13318152,0.020845748,11404.0,0.778518105,1.22293418,0.601324686
1887,A13318152,0.02103839,15367.0,0.461423304,1.147419762,0.949389263
1888,A13318152,0.020651769,12345.0,0.70766147,1.18100181,1.080323508
1889,A13318152,0.016230747,10619.0,0.598529534,1.28222947,0.635016579
1890,A13318152,0.020544825,14685.0,0.677683729,1.152658414,0.584293152
1891,A13318152,0.020505598,11695.0,0.669866392,1.158236292,0.878979159
1893,A13318152,0.014103551,11979.0,0.743075542,1.476498493,0.627441391
1894,A13318152,0.020455141,13433.0,0.710318007,1.218597487,0.654197076
1895,A13318152,0.021396601,15175.0,0.776011439,1.239405698,0.7454767
1896,A13318152,0.022006888,11889.0,0.72885043,1.174639429,1.450455369
1897,A13318152,0.026114014,11220.0,0.629056743,1.124788236,1.41354706
1898,A13318152,0.026409408,16643.0,0.802542977,1.266272902,3.019065915
1899,A13318152,0.020317054,17715.0,0.588350329,1.155993402,0.880608362
1900,A13318152,0.019223161,8433.0,0.677933874,1.154019847,0.323930247
1901,A13318152,0.019274364,10947.0,0.852431905,1.324907751,0.48658927
1902,A13318152,0.023083957,14394.0,0.68745468,1.173700103,1.408389343
1903,A13318152,0.024370143,8670.0,0.466613485,1.155918555,2.850763543
1905,A13318152,0.021256193,13788.0,0.71563754,1.205383487,0.786325096
1906,A13318152,0.021031068,11662.0,0.530200812,1.143492111,1.101980176
1907,A13318152,0.01929668,11803.0,0.750034822,1.262429956,0.403372845
1908,A13318152,0.017435933,11160.0,0.787870089,1.2510182,0.506278239
1909,A13318152,0.020386115,14622.0,0.576009902,1.142968116,0.630874855
1910,A13318152,0.024053617,8920.0,0.642813002,1.660601339,2.794744154
1911,A13318152,0.016726238,9364.0,0.741310745,1.232166655,0.437379118
1912,A13318152,0.022321852,7996.0,0.273888703,1.154768069,4.106921155
1913,A13318152,0.016861356,17881.0,0.641710266,1.171405042,0.408685637
1914,A13318152,0.013395863,22719.0,0.733738775,1.198643844,0.399024777
1915,A13318152,0.018734071,14104.0,0.751056455,1.590112023,0.438471055
1916,A13318152,0.024105976,10117.0,0.692035491,1.207119642,1.228129452
1917,A13318152,0.02546568,9571.0,0.705689489,1.252540556,0.721459748
1918,A13318152,0.024084786,21307.0,0.83520252,1.779590434,0.671575251
1919,A13318152,0.023078122,15927.0,0.531313704,1.125691787,0.697144075
1920,A13318152,0.02419083,13272.0,0.729458209,1.374560973,0.853143571
1921,A13318152,0.023080234,12266.0,0.668609593,1.172951417,0.666953189
1922,A13318152,0.025224919,12030.0,0.712581488,1.2144394,0.795294744
1923,A13318152,0.023245672,20919.0,0.664116457,1.706910307,0.841638124
1924,A13318152,0.020824816,18250.0,0.53086292,1.194653602,0.531185642
1925,A13318152,0.024381879,10678.0,0.821875795,1.550134023,0.674636724
1926,A13318152,0.02531435,14126.0,0.486427479,1.12367844,0.868896191
1927,A13318152,0.02638848,13779.0,0.532731369,1.133703316,0.966795295
