,Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
1250,ABT-199,0.01854318,12345.0,0.732554145,1.378120268,0.405702082
1251,ABT-199,0.019304529,18463.0,0.804580791,1.23675696,0.567723448
1252,ABT-199,0.01756408,11840.0,0.730237386,1.275234358,0.432962767
1254,ABT-199,0.02093011,9561.0,0.76984856,1.23628758,1.06700656
1255,ABT-199,0.015193068,13971.0,0.641496417,1.143351586,0.262550725
1256,ABT-199,0.012793687,10197.0,0.775066486,1.249465765,0.283220328
1257,ABT-199,0.013628593,13756.0,0.638806846,1.144322245,0.283865941
1258,ABT-199,0.017355995,12533.0,0.766520177,1.328077499,0.521672696
1259,ABT-199,0.017580731,15513.0,0.416030482,1.148368935,0.69010452
1260,ABT-199,0.019931354,18789.0,0.532261014,1.113741327,0.518002431
1261,ABT-199,0.011889707,12671.0,0.666756764,1.363742108,0.174721405
1262,ABT-199,0.011098352,13379.0,0.709472877,1.187172916,0.161066772
1263,ABT-199,0.01893806,10830.0,0.875037551,1.741264512,1.051836997
1264,ABT-199,0.013952942,18689.0,0.774840182,1.28450522,0.278891797
1265,ABT-199,0.022292093,11484.0,0.739402242,1.171444657,0.603894613
1266,ABT-199,0.025948189,18985.0,0.672314135,1.179640302,1.085001966
1267,ABT-199,0.024258109,9771.0,0.766856998,1.257728632,1.00093732
1268,ABT-199,0.025454124,15144.0,0.891502419,1.525479772,1.231462441
1269,ABT-199,0.028304179,12733.0,0.764937572,1.263344803,1.426811652
1270,ABT-199,0.023467376,16001.0,0.770086236,1.299572977,1.176093251
1271,ABT-199,0.027059311,13560.0,0.672881839,1.199980255,1.107559007
1272,ABT-199,0.019355576,10009.0,0.877211948,2.377158704,0.210725511
1273,ABT-199,0.025058789,12092.0,0.67931147,1.156257893,0.941844778
1274,ABT-199,0.024076894,10519.0,0.794652799,1.23617006,0.691534964
1275,ABT-199,0.029962889,12327.0,0.781809625,1.259165522,1.720772403
1276,ABT-199,0.021471223,8329.0,0.919673761,1.535581335,0.440272558
1277,ABT-199,0.026335016,13083.0,0.768695945,1.201106163,1.438304424
1278,ABT-199,0.033011414,24234.0,0.531085764,1.132730083,2.549129801
1279,ABT-199,0.021056834,14635.0,0.711917619,1.176956303,0.473967029
1280,ABT-199,0.027882005,13836.0,0.643552146,1.158261976,1.019264373
1281,ABT-199,0.023677554,13174.0,0.818588192,1.268595703,0.786272451
1282,ABT-199,0.023857528,20757.0,0.838151237,1.464390329,1.250080982
1283,ABT-199,0.025211376,12825.0,0.701423041,1.174128023,0.797038134
1284,ABT-199,0.020382926,8465.0,0.439143679,1.767329141,0.354510194
1285,ABT-199,0.024922793,12372.0,0.312542865,1.132932726,0.768848812
1286,ABT-199,0.025560217,23571.0,0.576641426,1.154988679,1.008435112
1287,ABT-199,0.027721913,9124.0,0.790868256,1.288704537,1.184523552
1288,ABT-199,0.025179435,10972.0,0.355969661,1.139504737,0.787672399
1289,ABT-199,0.030067577,12731.0,0.784688348,1.263212377,3.244847386
1290,ABT-199,0.025436581,17306.0,0.586467804,1.141833426,0.807832996
1291,ABT-199,0.024541035,24260.0,0.307775096,1.117084946,1.053408067
1292,ABT-199,0.024502208,15377.0,0.368546803,1.112681721,0.62527743
1293,ABT-199,0.023881323,16187.0,0.507550375,1.108548927,0.742667535
1294,ABT-199,0.019858566,13339.0,0.771640019,1.312812001,0.503529839
1295,ABT-199,0.019913123,10578.0,0.516208737,1.462762658,1.379062475
1296,ABT-199,0.023166137,13804.0,0.57662824,1.296713794,0.699191446
1297,ABT-199,0.02021938,23418.0,0.275021872,1.708876824,0.352093359
1298,ABT-199,0.021043993,16159.0,0.626066961,1.138036259,0.519441649
1299,ABT-199,0.022625087,12932.0,0.799814267,1.265014052,0.793900389
1300,ABT-199,0.015589778,8653.0,0.744064525,1.348456313,0.042552393
1301,ABT-199,0.016472291,13001.0,0.439443098,1.12193792,0.31276916
1302,ABT-199,0.020041608,15353.0,0.76016813,1.270536936,0.389978104
1303,ABT-199,0.01252177,9098.0,0.528521223,1.145874908,0.135445947
1304,ABT-199,0.014863253,8631.0,0.579184889,1.170414605,0.144334788
1305,ABT-199,0.015630553,13801.0,0.679277102,1.192985021,0.517328677
1306,ABT-199,0.016532378,16909.0,0.650043483,2.899370953,0.339780071
1307,ABT-199,0.027037475,14572.0,0.545799141,1.120653595,1.140067621
1308,ABT-199,0.019120717,15347.0,0.488714706,1.165352679,0.529622349
1309,ABT-199,0.017767501,17589.0,0.494572885,1.977121642,0.366040695
1310,ABT-199,0.01333964,8579.0,0.690806368,1.660522828,0.2241246
1311,ABT-199,0.017417283,12766.0,0.736493152,1.329058038,0.433977313
1312,ABT-199,0.013087293,10334.0,0.902392644,2.004787569,0.194714945
1313,ABT-199,0.014990196,9235.0,0.531536561,1.877610909,0.229020761
1314,ABT-199,0.021105492,23889.0,0.791941929,1.84136796,0.71310438
1316,ABT-199,0.028611499,21559.0,0.581592024,1.139475972,1.345169158
1317,ABT-199,0.017967182,16034.0,0.530136405,1.129722603,0.41556813
1318,ABT-199,0.017030351,13849.0,0.597668061,1.298344718,0.761520457
1319,ABT-199,0.025934932,23987.0,0.471200602,1.207761235,0.812349639
1320,ABT-199,0.013534574,8534.0,0.636894908,1.229126597,0.265948339
1321,ABT-199,0.01753501,8964.0,0.555677833,1.230697876,0.881582945
1322,ABT-199,0.027698895,12252.0,0.902240283,3.076912205,5.790605271
1323,ABT-199,0.022742135,18840.0,0.55558205,1.209625485,0.702795326
1324,ABT-199,0.026890696,15423.0,0.594200218,1.157237327,2.327129944
1325,ABT-199,0.02323725,23730.0,0.700880262,1.169081961,0.645854412
1326,ABT-199,0.024596156,8116.0,0.764077912,1.755252014,4.328814325
1327,ABT-199,0.020928323,22471.0,0.71376665,1.222854904,0.987587671
1328,ABT-199,0.016119263,16586.0,0.588921435,1.573505683,1.116367566
1331,ABT-199,0.019842286,22296.0,0.397056695,1.137172496,0.905006929
1332,ABT-199,0.021755071,19114.0,0.443737757,1.130718292,0.775331365
1334,ABT-199,0.024899217,14974.0,0.657982424,1.174605409,0.825358433
1335,ABT-199,0.02318645,17743.0,0.559208086,1.200587693,0.731864404
1336,ABT-199,0.022258996,15101.0,0.712325807,1.174364856,0.504094067
