Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
control,0.01315044,10818,0.340079352,1.165164537,0.234744806
control,0.013574809,11712,0.723346239,1.467664964,0.24994845
control,0.013780278,9201,0.565340331,1.156058068,0.248101422
control,0.013368145,12138,0.587904063,1.18971135,0.238321624
control,0.014216023,9381,0.254178952,1.144176266,0.234978196
control,0.013635462,11415,0.735004394,1.175169937,0.251904479
control,0.013884076,10470,0.665183416,1.466176685,0.251364158
control,0.012913951,11762,0.345137648,1.168282016,0.250482269
control,0.01429828,12369,0.429005851,1.117984813,0.23758321
control,0.012363169,9755,0.521597746,1.132990208,0.065356355
control,0.01551566,19150,0.551753948,1.193469175,0.558129232
control,0.013660202,16751,0.718582325,1.303266897,0.255187275
control,0.015824611,16483,0.654553771,1.281184137,0.299585274
control,0.013303411,16818,0.831856595,1.998756413,0.355738724
control,0.015372392,9185,0.782493883,1.3366029,0.168700652
control,0.01485657,12237,0.691425509,1.2319192,0.253705252
control,0.014584585,9797,0.788311196,1.467572208,0.234809754
control,0.012621863,16763,0.184070972,1.142678708,0.205525378
control,0.014175929,14647,0.785620777,1.797454286,0.376949348
control,0.013557898,11040,0.311445573,1.104261247,0.256371685
control,0.012251645,13268,0.576452781,1.305889335,0.114267855
control,0.015685242,12768,0.327807603,1.338268572,0.253481308
control,0.016806084,25469,0.460173391,1.30821232,0.453302315
control,0.016996381,10113,0.558784829,1.155244192,0.24371627
control,0.013263458,10783,0.659378019,1.941147059,0.222469742
control,0.015363642,14775,0.648122975,1.223192979,0.221308458
control,0.013035888,9989,0.886063552,1.643964946,0.228332302
control,0.017176848,14003,0.817695176,1.280136276,0.27942958
control,0.013692042,20422,0.809054754,2.373984638,0.808207974
control,0.017878331,16365,0.737393987,1.860067519,1.827415483
control,0.017528433,23069,0.864725239,2.504788549,0.702044598
control,0.01432016,29313,0.381151287,1.136864974,0.283308321
control,0.014572454,9676,0.619894978,1.251749715,0.666132233
control,0.012342224,11997,0.790122859,1.258645517,0.125942987
control,0.01035793,7939,0.934846653,2.007706269,0.204180749
control,0.017914108,28485,0.843569024,2.184604238,0.430198022
control,0.014836283,14351,0.498185139,1.157884447,0.226883278
control,0.017230066,20100,0.676175822,1.211793599,0.393969696
control,0.014016964,18629,0.556716598,1.134221543,0.260076814
control,0.013707484,20209,0.683728724,1.167886667,0.26080876
control,0.015122609,14760,0.711654812,1.167788546,0.428341127
control,0.017266626,14248,0.781938435,1.430417579,0.359505639
control,0.015522508,24865,0.822872351,1.371120567,0.31872577
control,0.012897309,13876,0.746597875,1.631587929,0.263347341
control,0.013783648,13233,0.796720617,1.264277326,0.272966318
control,0.015475534,14122,0.585691994,1.14494233,0.248484788
control,0.01156515,18108,0.626940559,1.145089865,0.098489883
control,0.013765122,12264,0.723069185,1.432067456,0.276475352
control,0.01233396,12956,0.567390039,1.204078711,0.175735093
control,0.011683677,9587,0.83173665,1.716070503,0.0611165
control,0.013275171,22498,0.661504377,1.1569307,0.324326675
control,0.014382352,24634,0.423794657,1.971684147,0.2838048
control,0.015862629,10877,0.735474489,1.195729643,0.300886134
control,0.015195273,10557,0.744597343,1.261321198,0.209921492
control,0.015879225,9955,0.73163914,1.228283515,0.258714355
