Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
control,0.016965433,12736,0.755342229,1.208725844,0.293769187
control,0.01736399,14883,0.896079767,1.888691117,0.486889282
control,0.013506653,15285,0.651152974,1.392507352,0.262022314
control,0.015399535,15900,0.841951098,1.605602597,0.24201766
control,0.014261688,8774,0.763681956,1.999732065,0.198263546
control,0.01751604,21115,0.751400828,2.132846485,0.401962148
control,0.018045288,14512,0.633903134,1.153357018,0.37295202
control,0.016506605,11137,0.560906389,1.208188454,0.258854442
control,0.010606711,15252,0.51042715,3.300866595,0.378930521
control,0.013926644,8494,0.458308997,1.236966806,0.634144176
control,0.012876831,13852,0.42370879,1.141445062,0.288293725
control,0.016507255,11552,0.830288128,1.32673708,0.233177817
control,0.020167685,15259,0.531179376,1.14259295,0.556086152
control,0.016509522,8843,0.512121166,1.165274186,0.408184611
control,0.016089881,9266,0.808891545,1.335439395,0.278549969
control,0.013057978,8194,0.798833194,1.570659088,0.20442958
control,0.016529182,18247,0.671053713,1.658081241,0.44465271
control,0.01236766,11808,0.639579884,1.187379447,0.108443379
control,0.013838062,13711,0.745923081,1.247564894,0.249910995
control,0.012688078,16002,0.799701426,1.98797737,0.200224495
control,0.01369886,19231,0.76383834,1.807015231,0.257821612
control,0.012794747,15303,0.658550024,1.769921835,0.155551504
control,0.01187575,13697,0.716328409,1.236025753,0.060991689
control,0.010819801,9441,0.813271328,1.466832487,0.438078124
control,0.014026727,13151,0.711773335,1.210154927,0.393292233
control,0.010484987,13037,0.526597026,1.456601779,0.301092626
control,0.014297802,24251,0.527716232,1.154952094,0.316807471
control,0.014019566,19466,0.628221726,1.192000848,0.295600996
control,0.012869351,8465,0.737344116,1.296417738,0.267420158
control,0.014529582,14018,0.65218912,1.161201668,0.405708663
control,0.015220252,23964,0.506826306,1.520740877,0.67119291
control,0.012420091,17358,0.567714229,1.177045495,0.268397057
control,0.015754971,17639,0.584619332,1.176654263,0.413895242
control,0.01378931,20425,0.56220899,1.829987803,0.375375456
control,0.014201267,19703,0.524147716,1.189538068,0.292529083
control,0.011031185,11164,0.868984926,1.565611965,0.096614629
control,0.013966635,18324,0.521707243,1.459977497,0.474994261
control,0.015214128,21438,0.598977137,1.219693329,0.380103875
control,0.010488504,11266,0.754222995,1.274755444,0.15824043
control,0.011010545,16759,0.489308301,1.161859922,0.164425108
control,0.009768496,19205,0.703200777,1.253498341,0.249070079
control,0.010047767,15185,0.555408276,1.753553043,0.224911662
control,0.011947317,17149,0.469720816,1.139243395,0.121014932
control,0.012639511,15601,0.758692407,1.31441171,0.238303181
control,0.014378186,24967,0.839564,1.627719352,0.864254611
control,0.010636313,19902,0.698604514,1.288964074,0.2449876
control,0.009620912,23566,0.737545479,1.203625689,0.246264658
control,0.014419351,16560,0.664228178,1.191147298,0.285814021
control,0.009852651,14890,0.702575969,1.457849901,0.429181904
control,0.013737486,8653,0.659891291,1.178321938,0.252497941
control,0.013924094,16276,0.201555757,1.229103245,0.299496453
control,0.016416757,19888,0.748588427,1.222747528,0.346675497
control,0.014140065,9907,0.64839911,1.164271817,0.271245695
control,0.015196455,15329,0.504085446,1.256487696,0.428103243
control,0.015973547,16301,0.496999952,1.113480151,0.300307333
control,0.01597987,31044,0.840545955,1.88669113,0.933256711
control,0.016138712,17395,0.582441399,1.159037883,0.278995087
control,0.014732746,11902,0.717543268,1.232251244,0.31144806
control,0.015262705,14295,0.798092556,1.299542739,0.234331605
control,0.015317897,10126,0.680277895,1.305286996,0.24937764
control,0.01451646,11443,0.869820399,1.37474764,0.236002414
control,0.014661537,10121,0.706845941,2.163831319,0.315320255
control,0.017399631,19794,0.478160395,1.126686002,0.415724943
control,0.014892406,11151,0.690454803,1.656089226,0.297325129
control,0.016089626,12383,0.791724551,1.272351502,0.328884716
control,0.016386948,18011,0.7526357,1.240217861,0.412610514
control,0.015536871,16918,0.602317294,1.165746579,0.208847253
control,0.015668656,18894,0.798739384,1.24250047,0.299886104
control,0.016187986,16022,0.719994386,1.460374001,0.324992412
control,0.01651466,15084,0.760051425,1.212487088,0.420535031
control,0.013698233,11967,0.774374977,1.599317347,0.276585272
control,0.013360725,11180,0.4427525,1.182813594,0.23504301
control,0.0156881,11129,0.414037242,1.199922031,1.295767368
control,0.014305024,20064,0.740649093,1.346405102,0.260836236
control,0.010555541,21925,0.770582775,1.367672126,0.210390585
control,0.014626661,15762,0.897440871,2.146861091,1.129701606
control,0.009324494,8610,0.574151331,1.629784925,0.303727262
control,0.015326464,19997,0.316854469,1.122665098,0.321306255
control,0.008801181,9817,0.439396091,2.155688685,0.145706827
control,0.010351134,9064,0.626234932,1.199350726,0.215889162
control,0.012072823,10142,0.599634101,1.170480678,0.135635306
control,0.015585249,17956,0.769043487,1.854564767,0.470876162
control,0.013025222,23943,0.865001033,1.929049617,1.000460403
control,0.011681399,15262,0.688009244,1.265527055,0.202160019
control,0.014879453,9085,0.382089688,1.450376587,3.041243811
control,0.010701967,13822,0.504272253,1.118975439,0.240497374
control,0.009414235,17985,0.669778447,1.72607544,0.239482843
control,0.008640542,13034,0.714563238,1.287858033,0.204540276
control,0.01141482,15545,0.221225362,1.116924902,0.165289919
control,0.012444978,17977,0.747979689,1.374273234,0.535536652
control,0.009600285,8645,0.430655202,1.576096437,0.254609991
control,0.013428557,13805,0.451733644,1.145759097,0.385279371
control,0.011899431,8402,0.73404128,1.21609191,0.245491248
control,0.013125357,14729,0.522326731,1.115641567,0.329708012
control,0.013407529,11858,0.347617168,1.110656356,0.293838536
control,0.013377595,11569,0.729150946,1.191698444,0.302047462
control,0.013369907,12458,0.582216674,1.141413286,0.352066916
control,0.015049448,13557,0.278573393,1.374890743,0.687980416
control,0.013319522,11841,0.169782407,1.102662345,0.351380014
control,0.012937844,13764,0.742800086,1.177252884,0.28433597
control,0.011241735,19162,0.660463699,1.418961102,0.226815247
control,0.012967505,11415,0.628436661,1.143812951,0.248374046
control,0.011369674,14509,0.557455247,1.125312762,0.113163198
control,0.011130297,18051,0.795542505,1.494759089,0.209686949
control,0.010613348,15909,0.644404494,1.320861908,0.178684898
control,0.012631694,13250,0.50949617,1.154906302,0.265408186
control,0.009380383,19397,0.76626579,1.238713882,0.224577906
control,0.009991145,8865,0.602926276,1.415225962,0.344812427
control,0.012974126,15448,0.539846254,1.12208729,0.349555418
control,0.013403748,10212,0.611570984,1.139950112,0.313118602
control,0.012248792,9618,0.700616238,1.155121822,0.22005635
control,0.010984129,10748,0.66163787,1.156386913,0.221872581
control,0.010560368,11031,0.553420058,1.180795822,0.221741434
control,0.010612222,12380,0.65761173,1.232766764,0.18346279
control,0.01076659,14189,0.647575578,1.18284194,0.208499669
control,0.010769289,8924,0.379098525,1.113451865,0.163874444
control,0.006826701,14377,0.460077053,1.291468404,0.084322583
control,0.008688711,12694,0.606026649,1.1490716,0.195159674
control,0.011797717,9561,0.677962872,1.230978486,0.203938286
control,0.013020573,16431,0.525572914,1.126455772,0.33138699
control,0.011102438,18421,0.731880154,1.672186143,0.29118191
control,0.013360217,19007,0.386373553,1.121181896,0.356461003
control,0.011951035,8367,0.51713027,1.142121237,0.287635791
control,0.013877511,17480,0.818380136,1.259233556,0.362186889
control,0.012754457,15215,0.170973716,1.126883898,0.309844367
control,0.011042,8231,0.688368591,1.408929904,0.886484059
control,0.013285932,22661,0.85231677,1.661232413,0.698090938
control,0.013273659,13663,0.576781797,1.128475615,0.358194182
control,0.011508767,11847,0.813736782,1.275657401,0.339871776
control,0.011740795,14341,0.432093631,1.270589023,0.546805532
control,0.012246189,10807,0.465920004,1.166594528,0.469470111
control,0.013853342,10494,0.498438018,1.275142885,1.780905654
control,0.009314422,12413,0.532238185,1.42030083,0.250359315
control,0.008636278,9833,0.699698916,1.435493948,0.186698425
control,0.009373066,10399,0.576719365,1.282634623,0.24141014
control,0.012671582,17023,0.705456756,1.164015517,0.297289658
control,0.012899084,16604,0.529029984,1.132818341,0.341904593
control,0.009228643,10724,0.766288935,1.265465401,0.221915973
control,0.010680562,17631,0.887185393,2.065504262,0.388645292
control,0.010226163,12550,0.662869293,1.182745999,0.255550971
control,0.0107985,11771,0.737266584,1.178985355,0.298919686
control,0.007974567,16313,0.606557035,4.636783392,0.112922996
control,0.012005073,16336,0.553794341,1.136902328,0.206497308
control,0.010471023,13533,0.703649585,1.169623536,0.218120403
control,0.011571867,16927,0.730481061,1.24076727,0.174204616
control,0.010565903,12956,0.711663491,1.194858415,0.184875436
control,0.010503439,14291,0.780398007,1.418154247,0.21754833
control,0.011490864,11563,0.399044237,1.129172778,0.289784696
control,0.009272565,11741,0.643342911,1.134125534,0.218130865
control,0.010762856,14960,0.613176288,1.134345886,0.187164293
control,0.011655044,19666,0.602152739,1.348878377,0.827866663
control,0.008630353,16017,0.800153911,1.873375344,0.13764362
control,0.009529518,16705,0.5164633,1.439820423,0.2423539
control,0.009805533,10639,0.578611578,1.16166538,0.249725688
control,0.00946272,14389,0.590831688,1.337251083,0.248706797
control,0.009857933,12544,0.748879763,1.274226866,0.252223759
control,0.010547029,10175,0.797982539,1.273364493,0.216215715
control,0.011343806,13597,0.723555926,1.204120412,0.258189865
control,0.009244689,11639,0.597089571,1.163242094,0.199163656
control,0.01034235,7903,0.842400198,1.701761111,0.547857304
control,0.011886277,19496,0.433259658,1.191809592,0.334791545
control,0.009795486,12348,0.732324123,1.203445534,0.252238501
control,0.009611802,18808,0.723123799,1.344589873,0.247745629
control,0.008451017,18155,0.622999034,1.337518344,0.071463008
control,0.008506317,8594,0.769538214,1.779449636,0.114577369
control,0.008063138,11413,0.785016405,1.308499119,0.017372258
control,0.007446658,12741,0.512356028,1.509820379,0.036012532
control,0.0091277,12371,0.577610621,1.279485516,0.193859235
control,0.008729392,17287,0.421964947,1.248573921,0.1706037
control,0.010089007,10855,0.451017047,1.114167283,0.244948391
control,0.011017032,10748,0.453358834,1.497890007,0.640745717
control,0.008898655,17096,0.876096884,1.730162524,0.19968326
control,0.008179633,14919,0.606789449,1.227865492,0.070028244
control,0.008356005,13707,0.323045722,1.146641597,0.081597119
control,0.007392596,10759,0.606797913,1.187669332,0.093933222
control,0.008035832,13495,0.658548237,1.197916941,0.14589951
control,0.007918415,14904,0.674032581,1.251669361,0.051658352
control,0.007788564,15413,0.802213479,1.485617132,0.078941404
control,0.00871238,14787,0.714191572,1.489771574,0.128393759
control,0.009093317,21294,0.601632379,1.23446582,0.363813712
control,0.012181807,15364,0.798286797,1.231588985,0.125911632
control,0.011890306,19934,0.635195909,1.33314546,0.426252047
control,0.013684744,11087,0.371740634,1.152293627,0.280566955
control,0.012456844,14036,0.690409915,1.164481315,0.198511959
control,0.011312526,13260,0.769816922,1.235817461,0.159877891
control,0.013470142,11438,0.487842201,1.122350655,0.243337709
control,0.012271479,15000,0.655673452,1.170564904,0.169691807
control,0.011789607,12806,0.493630991,1.251982806,0.141533336
control,0.014102556,13419,0.768057704,1.306567509,0.320189739
control,0.010602672,12899,0.831688424,1.811734201,0.183002988
control,0.013041082,13549,0.82464439,1.403050266,0.230034186
control,0.010419252,8340,0.635895671,1.324922107,0.188706366
control,0.012891253,21917,0.641815139,1.256621813,0.22623189
control,0.013908951,13575,0.802069544,1.236659136,0.319107403
control,0.01407422,17020,0.767353181,1.197170855,0.342060355
control,0.01607275,17298,0.609382201,1.138566413,0.339919899
control,0.012448578,12024,0.69629535,1.168747039,0.19452317
control,0.013121407,14255,0.814100465,1.358379547,0.214274537
control,0.015169574,15682,0.622576473,1.13250061,0.307037303
control,0.011621705,11271,0.585941452,1.137034948,0.19370048
control,0.011700117,10850,0.678141842,1.239289802,0.131647629
control,0.012633219,13246,0.666374749,1.146541718,0.2269438
control,0.009879625,19902,0.859698088,2.000719602,0.385430128
control,0.012094955,16853,0.837907021,1.266446794,0.140924722
control,0.01116251,15721,0.505448066,1.128050614,0.175550546
control,0.013579193,21897,0.427662055,1.142289843,0.387943361
control,0.011683511,10276,0.551674593,1.130572198,0.088762434
control,0.010656698,17199,0.846680028,1.291931122,0.205637611
control,0.01123458,9528,0.742735937,1.214046658,0.118204191
control,0.010740146,14796,0.73950858,1.207813253,0.238073465
control,0.01035946,8093,0.727800929,1.703541245,0.210271122
control,0.01091507,17443,0.740015507,1.194483267,0.266664213
control,0.010705405,16466,0.737704222,1.271364588,0.242155808
control,0.011797009,15548,0.453665057,1.145783849,0.21858808
control,0.011015621,8565,0.670239336,1.514323316,0.125512754
control,0.00810799,14235,0.718119075,1.198175594,0.023647239
control,0.009839909,13312,0.429871241,1.161095791,0.247169856
control,0.008991507,14330,0.835064791,1.315748039,0.163445466
control,0.007899474,10120,0.702249101,1.278108335,0.022522155
control,0.011921116,14406,0.804255699,1.345010078,0.216654975
control,0.010912026,10717,0.672335547,1.277711413,0.188831109
control,0.012802041,14666,0.84198131,1.499362772,0.202369113
control,0.013541908,22025,0.603327303,1.160500505,0.35112313
control,0.011992091,20085,0.830229344,1.333626827,0.189663543
control,0.011102022,17019,0.902399865,1.666016537,0.469083575
control,0.012645127,10660,0.767799314,1.25481368,0.210313156
control,0.011572776,10134,0.648593817,1.942062057,0.058845832
control,0.012384092,17914,0.867287184,1.557871077,0.162668001
control,0.015951004,20682,0.549559454,1.122457077,0.309660428
control,0.010628407,10666,0.793531748,1.315140778,0.135247631
control,0.013957174,16233,0.866171553,1.364827885,0.359689286
control,0.012298629,8628,0.629067511,1.386683891,0.083333674
control,0.012887122,15483,0.914472742,2.201718744,0.211153321
control,0.012634155,12192,0.282029402,1.23518584,0.152430876
control,0.012635497,16844,0.674006151,1.162616182,0.178610124
control,0.012488973,25204,0.531521023,1.202457506,0.273217733
control,0.013848923,17685,0.692479378,1.192049752,0.295750239
control,0.012635802,11248,0.819988038,1.555920079,0.129777558
control,0.011296264,9792,0.694022744,1.277928104,0.102228426
control,0.01502979,14245,0.723682838,1.190763674,0.287257768
control,0.013411129,16040,0.763858977,1.259165863,0.246089972
control,0.012362628,8949,0.772265761,1.43548379,0.119619981
control,0.014146038,15328,0.696007675,1.221214263,0.261246016
control,0.012764329,25320,0.749440337,1.210946225,0.191710287
control,0.013960057,23429,0.648168972,1.162884647,0.308174433
control,0.013099807,15361,0.679718434,1.212206803,0.238648365
control,0.012127489,14356,0.790281303,1.782860278,0.141943483
control,0.012285181,11899,0.523538151,1.262436712,0.091510901
control,0.011209442,9311,0.693724898,1.265351925,0.179167476
control,0.010115609,8389,0.6422205,1.423405767,0.220892293
control,0.01312783,12892,0.449549332,1.336080942,0.317848572
control,0.010527543,13350,0.38214366,1.558609438,0.180475221
control,0.011091251,13669,0.582769347,1.942303253,0.125848162
control,0.012602903,17579,0.605217728,1.45312874,0.301395326
control,0.010049528,19222,0.749290792,1.690023135,0.239554021
control,0.007973285,11075,0.666456028,1.370179776,0.394665433
control,0.014413537,21006,0.593817981,1.140976482,0.357160199
control,0.014309874,22046,0.466941152,1.124937962,0.315682066
control,0.011807119,18704,0.560112826,1.134191723,0.207813778
control,0.011494591,17704,0.381096998,1.139451652,0.143646516
control,0.012611726,13178,0.654126571,1.167742033,0.244585107
control,0.01221302,11837,0.621116296,1.145457098,0.283445006
control,0.013361675,15576,0.492494153,1.111428801,0.320012712
control,0.012665474,24160,0.636146956,1.16759361,0.321450544
control,0.013287176,25147,0.79346739,1.472047942,0.347676306
control,0.01159534,14283,0.559503628,1.135991745,0.206575576
control,0.006911299,8245,0.649923654,1.269514209,0.103871052
control,0.011365223,19075,0.613037339,1.190131083,0.269570158
control,0.013989229,15292,0.513539156,1.224806785,0.318636528
control,0.009974423,18684,0.691957424,1.177824597,0.250294186
control,0.013187574,13979,0.444707473,1.153650348,0.429373034
control,0.01271898,16474,0.540646754,1.171465103,0.347359073
control,0.009649125,14931,0.583343239,1.152918929,0.25180926
control,0.007909884,14277,0.58485546,1.15126027,0.099185374
control,0.00842854,17418,0.452436893,1.137808159,0.186951717
control,0.010987103,13086,0.684883858,1.165187649,0.321987043
control,0.011487787,8622,0.846239103,1.368488369,0.113298682
control,0.010798598,18107,0.590542376,1.140802555,0.19183412
control,0.012757376,12739,0.552648007,1.152589498,0.29983274
control,0.012942686,9618,0.755946514,1.416366416,0.663370684
control,0.012700741,16040,0.660439521,1.161174663,0.23392399
control,0.012501112,23464,0.421584305,1.121637961,0.263464602
control,0.009373497,14228,0.72384832,1.217777601,0.253628878
control,0.014124708,15995,0.711242193,1.182111535,0.462451376
control,0.013150347,11843,0.544694771,1.131915778,0.30437701
control,0.011185367,13792,0.62936691,1.147141975,0.271447513
control,0.007678528,8646,0.788143659,2.123384544,0.001199786
control,0.012540238,17437,0.421144672,1.124632021,0.213133649
control,0.009280288,9088,0.748270755,1.219698361,0.346597537
control,0.011297428,11931,0.578017924,1.127784327,0.162801242
control,0.013929938,11404,0.818324166,1.256454118,0.372575524
control,0.013037651,15452,0.750578386,1.179028398,0.340690228
control,0.01315015,14130,0.45104825,1.173926017,0.317749586
control,0.015136569,15205,0.527417713,1.125958421,0.486932677
control,0.014196711,12903,0.566784823,1.159454482,0.315462169
control,0.014495025,16216,0.646972359,1.155973679,0.348297778
control,0.014775526,14836,0.674061384,1.183801246,0.422037467
control,0.0122529,10425,0.690781983,1.158329518,0.370763308
control,0.011846844,17570,0.654438755,1.182670409,0.248440915
control,0.012624395,19468,0.396213927,1.11826514,0.369135194
control,0.011215821,12408,0.670111299,1.148645555,0.164354538
control,0.011113927,10220,0.633734675,1.5404482,0.168944034
control,0.010294111,10664,0.688798159,1.179953467,0.205963865
control,0.01013159,17806,0.690095867,1.154112319,0.222841273
control,0.009108398,15257,0.451276649,1.127107304,0.260610794
control,0.011138689,12266,0.535913734,1.161162736,0.184141111
control,0.005740817,8216,0.322915064,1.540062709,0.237735593
control,0.011255642,13186,0.578243046,1.236344195,0.272278244
control,0.013328378,18107,0.664753491,1.206948628,0.825616908
control,0.010020597,11460,0.766393006,1.433881731,0.273028457
control,0.013234309,16417,0.49804907,1.149351799,0.319360482
control,0.012184518,13414,0.717299809,1.170938167,0.192153492
control,0.012684527,20130,0.295278628,1.110928744,0.244418177
control,0.014581463,9568,0.172449924,1.23822892,2.10711884
control,0.012409142,10039,0.536073634,1.235017611,0.345986749
control,0.010854836,16668,0.772436714,1.291324903,0.188974444
control,0.01325469,12887,0.773257508,1.293632184,0.35968317
control,0.014301523,15773,0.691519348,1.158752087,0.510815746
control,0.018081636,8566,0.518176861,1.173154509,0.880694014
control,0.013005056,15535,0.650691219,1.150559696,0.242806973
control,0.009560688,17400,0.210748141,1.119058071,0.268555148
control,0.011647817,12833,0.652783795,1.303684396,0.199543844
control,0.008213272,7866,0.738924128,1.558801713,0.311972373
control,0.013181869,16241,0.397808475,1.110321646,0.294267988
control,0.012171928,13558,0.612574783,1.182541069,0.128020139
control,0.013074043,15726,0.676049143,1.175483838,0.256987641
control,0.012777277,12867,0.46383419,1.143482024,0.253675648
control,0.011150742,15406,0.664231057,1.186355749,0.214951224
control,0.010489288,20017,0.480173989,1.140137265,0.253045888
control,0.011351425,17618,0.683558417,1.163279334,0.195190131
control,0.00947923,17000,0.68550918,1.146512799,0.23866159
control,0.009021887,14479,0.480692401,1.200403384,0.188604463
control,0.012152135,25483,0.068278456,1.3582655,0.220970787
control,0.012122079,12376,0.625353593,1.149748778,0.365860355
control,0.014653592,21128,0.548727588,1.13314197,0.605479912
control,0.012436253,14078,0.439811557,1.148520783,0.319541415
control,0.012090857,16786,0.797148225,1.224041289,0.225930412
control,0.011234006,12594,0.474139631,1.610152464,0.283694816
control,0.013129953,14611,0.496667236,1.323978897,0.404705292
control,0.016095256,10446,0.727151443,1.511092853,3.387061655
control,0.013193093,15434,0.645437695,1.214543811,0.297859746
control,0.015805961,17135,0.529977516,1.139711702,0.697327715
control,0.012665883,16431,0.443768929,1.169427313,0.276130992
control,0.014335436,16151,0.385830621,1.259666392,0.455726699
control,0.013418221,19626,0.52824382,1.132955304,0.316673746
control,0.007444388,9655,0.647159484,1.371549005,0.306690531
control,0.009353088,15012,0.812223682,1.337000135,0.227258105
control,0.019227098,15487,0.61847246,1.187828415,3.558673949
control,0.008514983,11265,0.830988228,1.32359087,0.109328134
control,0.009438367,16048,0.637443287,1.278633373,0.244993695
control,0.007741725,10089,0.853443249,2.819192627,0.006446607
control,0.009576871,12519,0.403978489,1.164040372,0.26383722
control,0.01007954,8759,0.787741066,1.755605878,0.269695904
control,0.014774643,17748,0.400448063,1.12652377,0.399306346
control,0.013782132,9831,0.757381213,1.448564756,1.38337025
control,0.015313096,15294,0.57880059,1.127702937,0.291818699
control,0.015212874,23257,0.633279016,1.351520311,0.500481449
control,0.014447476,16755,0.741620351,1.192133199,0.374844065
control,0.010414435,8081,0.691112663,1.474545621,0.175568153
control,0.014755681,23800,0.481828525,1.128054984,0.381704318
control,0.014102756,16421,0.569547715,1.119604396,0.34147708
control,0.011473894,9046,0.681000352,1.188116843,0.08314898
control,0.015131603,21705,0.620222277,1.144840072,0.28202373
control,0.012730408,14895,0.818196911,1.333217578,0.331071198
control,0.015028993,25465,0.9322869,2.367049393,0.602429087
control,0.012252449,15717,0.525875344,1.156027732,0.193861011
control,0.011835408,12475,0.708860643,1.225858931,0.190354447
control,0.015154214,12968,0.790868549,1.266116354,0.35946987
control,0.01130821,18226,0.709772269,1.206769467,0.249941482
control,0.0154361,14035,0.605714601,1.257454627,1.183262216
control,0.014489697,13108,0.495137349,1.132397184,0.426753319
control,0.012422568,18250,0.690746805,1.199817045,0.362145794
control,0.011378301,12448,0.689374687,1.177973169,0.164204338
control,0.01039064,21437,0.782576366,1.310731635,0.316744715
control,0.011596383,10915,0.410166821,1.189263751,0.626744624
control,0.012733425,13284,0.582365687,1.844366067,0.158480661
control,0.009306574,13687,0.454779327,1.18440327,0.234622097
control,0.014251083,8446,0.516954071,1.280646423,1.008343463
control,0.01126159,22965,0.64336576,1.238971415,0.151524754
control,0.012185455,24084,0.659432895,1.213395906,0.214708667
control,0.013487445,15325,0.769794202,1.197046494,0.308437996
control,0.014590031,15755,0.398029437,1.103853653,0.313470532
control,0.014010754,13810,0.766449507,1.212736662,0.27809012
control,0.016182527,15571,0.587284212,1.288272219,0.437237274
control,0.013290614,8386,0.796965332,1.314518794,0.701069082
control,0.013569492,15743,0.742738228,1.182589327,0.300021681
control,0.009798785,8991,0.81518551,1.381080036,0.293261804
control,0.013519023,8947,0.711991884,1.408112727,0.937706139
control,0.011439591,9614,0.762483532,1.212392911,0.168953289
control,0.015672408,13615,0.569941596,1.153345716,0.352265136
control,0.010866408,16260,0.413278875,1.126128624,0.174614669
control,0.008364537,10800,0.707597977,1.366310354,0.053279993
control,0.010444062,14793,0.477943062,1.147857937,0.195764268
control,0.00803258,12331,0.716419666,1.227283508,0.029774906
control,0.009747635,9161,0.551429221,1.222598094,0.249949226
control,0.010779706,11303,0.587654731,1.138266161,0.199604823
control,0.013021032,17183,0.424609126,1.153833787,0.302931306
control,0.008754964,11086,0.504183872,1.322333396,0.279039009
control,0.010568153,14876,0.511452784,1.146752968,0.198757303
control,0.01145812,12333,0.443120767,1.176795941,0.101151568
control,0.011205833,15378,0.691051332,1.356920193,0.181684572
control,0.011314939,15076,0.61573931,1.311787907,0.126078701
control,0.011452658,13374,0.595096882,1.218964749,0.369104626
control,0.009442412,12797,0.699718762,1.168067718,0.239534632
control,0.01018311,11676,0.814670944,1.342549708,0.277367352
control,0.007720216,12611,0.593261715,1.467312353,0.19932375
control,0.009317665,13232,0.825037969,1.343807029,0.235112286
control,0.012877085,14971,0.346745061,1.101411868,0.290872861
control,0.010812908,15674,0.62010849,1.249400725,0.327957355
control,0.009474041,14642,0.443128666,2.18378452,0.392854525
control,0.012469777,13897,0.515993196,1.419399816,1.14640215
control,0.015955902,16988,0.548474792,1.113203662,0.478979988
control,0.011839198,12922,0.684996993,1.218728674,0.131887539
control,0.01217502,14676,0.514069977,1.157721019,0.235444636
control,0.011833078,11868,0.574712625,1.180810843,0.188393483
control,0.011854386,13809,0.742836697,1.573361218,0.36415265
control,0.012420944,12222,0.623387996,1.164789371,0.318139278
control,0.010419529,13590,0.678320116,1.217978742,0.231203848
control,0.012667706,16536,0.500366876,1.118836551,0.244068826
control,0.009005758,14138,0.528033667,1.1215051,0.183271183
control,0.011778605,15496,0.30994078,1.09856453,0.192761722
control,0.008552173,10517,0.389831408,1.172248662,0.120632827
control,0.010479608,8113,0.835987427,2.671751374,0.176987044
control,0.011060233,19761,0.5881697,1.235379169,0.334803187
control,0.011165202,19999,0.81447688,1.856337491,0.123304102
control,0.011618714,27984,0.881554549,2.430126946,0.177685951
control,0.011454269,8514,0.780602161,1.320323733,0.312242484
control,0.013777549,12789,0.404429036,1.155878818,0.284275463
control,0.011104391,12262,0.485686151,1.149259527,0.22400026
control,0.013539975,16499,0.494770703,1.122006809,0.304371496
control,0.014447035,14584,0.740398744,1.194024626,0.278580145
control,0.012569379,8947,0.432192305,1.170554016,0.204452359
control,0.01371735,12840,0.789008016,1.218402455,0.361982454
control,0.014990174,15935,0.459908635,1.133951607,0.272183627
control,0.015249387,15350,0.519055595,1.115805731,0.320353183
control,0.014335125,15396,0.788753119,1.26989993,0.248200301
control,0.014746938,17576,0.600339078,1.139295141,0.271752867
control,0.012012958,15446,0.597783593,1.17223497,0.183927711
control,0.014039524,19857,0.569345638,1.153135764,0.292200405
control,0.014114905,16271,0.740715048,1.196907875,0.330245831
control,0.011435399,16616,0.5959065,1.138789911,0.120142306
control,0.007136297,13058,0.68776216,1.93960164,0.08340552
control,0.011624481,11327,0.628480029,1.143288612,0.179947954
control,0.010165001,17733,0.470876852,1.400263912,0.271836645
control,0.012127448,15160,0.405565913,1.143607977,0.16302372
control,0.013555881,13484,0.800435737,1.268017421,0.280298897
control,0.010911339,15546,0.518741894,1.133239651,0.171221248
control,0.010915606,8359,0.815456456,2.060623938,0.326468855
control,0.011556413,13599,0.573793886,1.167224181,0.112078659
control,0.011197725,12485,0.745256731,1.563110532,0.176752645
control,0.012119819,13528,0.631346616,1.321487666,0.089858216
control,0.01063462,14831,0.793825176,1.26056944,0.2238883
control,0.010437561,25693,0.840826878,2.253384225,0.345669506
control,0.011866,23447,0.653290456,1.156780036,0.166696498
control,0.008388346,13499,0.738133774,1.462637764,0.083257573
ABT-199,0.024547426,11230,0.724468256,1.191123226,0.884287695
ABT-199,0.030053922,22706,0.688715309,1.440900163,1.308150835
ABT-199,0.027297559,10370,0.701148805,1.234332522,0.584984634
ABT-199,0.024727315,9445,0.771054966,1.317926801,0.339437176
ABT-199,0.029239456,10235,0.770978185,1.246001921,0.825945776
ABT-199,0.024775194,11714,0.750168251,1.973199233,0.885252625
ABT-199,0.024046881,12596,0.716419352,1.177651149,0.824710344
ABT-199,0.028837579,12282,0.841369154,1.300583375,0.821257816
ABT-199,0.031128539,12236,0.572855401,1.282096458,1.525891516
ABT-199,0.025823834,8571,0.546561332,1.182486653,0.753319879
ABT-199,0.026150214,11385,0.397157879,1.234935195,0.533515304
ABT-199,0.029208655,8595,0.757891528,1.343411744,2.051082072
ABT-199,0.029089832,12441,0.736480954,1.333643029,0.879480131
ABT-199,0.02837209,12294,0.544051674,1.313182648,0.773100402
ABT-199,0.029773889,10699,0.726097112,1.23512814,1.49332212
ABT-199,0.026477274,7978,0.689368901,1.186669868,0.55481856
ABT-199,0.012682498,12488,0.603647589,2.133573231,0.110716762
ABT-199,0.023826318,15305,0.771355867,1.4649419,0.369802516
ABT-199,0.025995068,18813,0.790071072,1.47827359,0.867625521
ABT-199,0.0258942,17471,0.700610006,1.218528155,0.541643818
ABT-199,0.032284791,23155,0.628017241,1.712487667,2.148058922
ABT-199,0.027097162,14509,0.574219888,1.613682644,0.706757548
