Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.030285071,17819,0.842256302,0.935553471,0.93400399,0.934288294,0.937781381,0.936140219
control,0.021695999,13985,0.615538192,0.376986946,0.376265801,0.378085377,0.376488914,0.377107693
control,0.035164616,16472,0.756390795,1.339202182,1.339257864,1.340278661,1.352998503,1.324273701
control,0.040847762,12698,0.664073628,2.562780789,2.567260459,2.54236665,2.628314128,2.513181919
control,0.047917178,19116,0.923138574,6.967272317,6.95342942,6.969806024,6.972541673,6.973312153
control,0.034976758,13542,0.714047607,1.073484732,1.082405047,1.06858683,1.073606626,1.069340424
control,0.030606489,13377,0.513491008,1.970439084,1.983298107,1.940985674,2.00925102,1.948221532
control,0.0317966,19926,0.372670442,1.108763524,1.112354387,1.11017767,1.113081503,1.099440537
control,0.037437514,13019,0.667541876,1.125543569,1.133633344,1.114089087,1.134660541,1.119791303
control,0.031082432,13746,0.571887116,0.553853701,0.553984386,0.552597384,0.553627846,0.555205189
control,0.046923463,22539,0.810767696,17.68469353,17.67865512,17.70822933,17.61647482,17.73541484
control,0.026808181,23414,0.832016432,2.006213829,2.005850415,1.993882477,2.016446556,2.008675867
control,0.032369883,22382,0.591417312,1.58336927,1.605104378,1.574481543,1.58317717,1.57071399
control,0.031122241,21029,0.80689494,1.142974969,1.146380332,1.148547286,1.143796352,1.133175907
control,0.019353604,12210,0.245123828,0.226971872,0.227562549,0.225185934,0.22787405,0.227264958
control,0.018683459,11808,0.837056989,0.25829595,0.259716661,0.257717551,0.258351219,0.257398368
control,0.027172568,14279,0.798022499,1.380671438,1.412879822,1.348451742,1.378926532,1.382427656
control,0.025669075,15409,0.664869772,0.900606642,0.91647999,0.912698394,0.899430443,0.873817741
control,0.035044657,13551,0.553367899,3.56312377,3.572663445,3.541700976,3.601606584,3.536524075
control,0.027522261,16680,0.684246407,6.143403231,6.132533204,6.155672657,6.125575082,6.159831982
control,0.022090736,12473,0.749177904,0.416190247,0.416835018,0.417324857,0.418759535,0.411841578
control,0.033876966,15802,0.634518537,2.402627348,2.409512685,2.353204616,2.440093311,2.407698781
control,0.026908875,12084,0.550627183,3.412435106,3.434604207,3.370410216,3.43456648,3.410159521
control,0.033362889,18038,0.436839621,3.348797739,3.365364869,3.337096467,3.372640326,3.320089297
