ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9
1,11,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,35286,55670,1815,1726,1625,1433,1715.928527,1576.72312,1.502881317,37097,0.784783476,211.9611535,1,0.633842285,0.665388536,271.4831769,293.8588096,85.70297544,30.70259085,27.29468813,180.0402554,168.2571381,-7.80222492,816.3351365,0.951182036,0.520277588,0.008203994,0.212702499,0.068501504,0.002058979,0.005537151,0.012176222,0.029735032,0.030079883,0.001782666,0.001334559,0.006029694,0.033703573,0.016777401,0.013644931,0.016576064,0.001642613,0.003437459,0.003462466,0.004535459,0.015436288,0.013608187,0.009837923,0.007864599,0.009696988,0.000505283,0.001538401,0.001583406,0.00306118,0.003804718
1,12,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,44387,76076,1126,1698,840,1432,983.0810147,1563.688873,1.948796574,50774,0.86087669,237.7294338,1,0.583456018,0.513137191,345.6729608,321.8105032,81.60882305,29.3868145,27.16615541,186.7134475,175.883119,55.95108039,1042.596067,0.874207271,0.545689898,0.025724543,0.146986389,0.115595545,0.017701531,0.014087453,0.004113251,0.057440284,0.019744425,0.005648612,0.00716291,0.004617498,0.012845015,0.005688877,0.013046746,0.004998206,0.003496593,0.010592785,0.005801367,0.00236546,0.001097741,0.001988782,0.022788566,0.013048863,0.003313169,0.001640368,0.004282303,0.007382117,0.005258749,0.001327731
1,13,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,22769,37653,879,1745,648,1582,747.7949844,1655.758443,2.255016247,26665,0.740261139,170.2656489,1,0.604706132,0.443455785,220.7656618,242.0020661,71.86793444,23.29030677,19,159.2998337,148.4250488,-72.86373599,803.2518754,0.853890868,0.495012229,0.111615462,0.145602138,0.070905315,0.044624927,0.005248049,0.010572478,0.017358693,0.0259982,0.009879222,0.02701041,0.003051232,0.013550948,0.022052539,0.01788194,0.011468367,0.005093846,0.014062799,0.013377392,0.006193394,0.000881753,0.009577647,0.005007545,0.006416223,0.005372704,0.005042801,0.0021493,0.009513473,0.012285092,0.003509661
1,14,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,24479,38190,980,1781,779,1591,885.5115405,1693.749418,2.106492161,26980,0.68278135,176.5435663,1,0.640979314,0.474722868,209.0929855,222.1463482,72.00694411,24.9235776,21.84032967,160.6575342,152.7680958,-46.02119811,804.9737008,0.907301705,0.631575732,0.127801951,0.150744382,0.039633484,0.031195162,0.017594395,0.020169624,0.023339857,0.015418823,0.036658316,0.001892471,0.00902294,0.021898965,0.001802887,0.011963546,0.007177783,0.006791114,0.01021812,0.007220943,0.004570581,0.009516404,0.010440284,0.006555038,0.002495811,0.005043112,0.001998327,0.003172189,0.009523366,0.004341577,0.001001131
1,15,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,39138,69390,1427,1866,1157,1609,1315.987225,1725.26266,1.995502902,44619,0.420835592,223.2309327,1,0.564029399,0.501126808,241.075956,273.0750813,97.75479528,32.30051321,28.01785145,224.2973266,218.688902,49.53672592,990.6732316,0.877159954,0.654015191,0.119169608,0.155905705,0.014763173,0.017718925,0.037692378,0.019689853,0.037280506,0.006970476,0.027898804,0.013037204,0.009054126,0.004902662,0.004160371,0.007326678,0.01021883,0.014340027,0.006669474,0.013421218,0.004946299,0.004328666,0.01442074,0.001185423,0.007259647,0.002207622,0.001180602,0.004818924,0.004477452,0.001960204,0.00400803
1,16,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,23801,32900,1808,1890,1620,1715,1720.97206,1804.734759,1.319286045,24702,0.489559743,174.0815165,1,0.72343465,0.757985733,187.2913201,190.3943276,77.36924454,27.64989119,24.41311123,165.7025179,163.312367,-62.77188082,628.1625176,0.963525221,0.820556316,0.064664149,0.124385016,0.044231022,0.022558248,0.02360742,0.056289677,0.005853386,0.012187655,0.015486512,0.005615927,0.005719404,0.014501788,0.012873515,0.012505542,0.006417423,0.014962198,0.008469965,0.007085713,0.003383813,0.0029087,0.005988763,0.002271885,0.001068107,0.003925646,0.006973725,0.004736129,0.002885685,0.002213111,0.004293502
1,17,Mcf7,nan,0,0,0,nan,6,6,0,0,20240515,29011,46833,1350,1938,1117,1737,1218.75754,1848.540381,1.942225409,31447,0.692776601,192.192488,1,0.619456366,0.514873297,230.5314621,233.0021459,75.16648189,27.03104327,24.08318916,168.8259685,166.2482847,56.38607255,841.4650788,0.922536331,0.662303871,0.098953263,0.153099074,0.067481453,0.031949045,0.014760609,0.027428294,0.024497859,0.014918091,0.027984112,0.01387066,0.014799725,0.012655286,0.008226898,0.009959471,0.001195122,0.013187845,0.009943815,0.007072008,0.007177848,0.005843254,0.008882636,0.012951388,0.000651595,0.003156798,0.006628071,0.003687547,0.001932319,0.005360343,0.001900424
2,1,Mcf7,nan,0,0,10,nan,6,6,0,0,20240515,48818,66920,840,563,601,283,725.4580483,426.2354664,1.292575237,49919,0.52725057,249.3130725,1,0.729497908,0.773649356,272.4009796,284.7630594,110.2225022,38.69836951,34.20526275,228.6224389,231.4617967,-18.2330507,890.4772721,0.97794427,0.759782193,0.05410528,0.158727198,0.049622229,0.013869883,0.018423708,0.059086663,0.009374311,0.023826609,0.013362102,0.017273305,0.008113186,0.001803574,0.011960546,0.004725897,0.004381384,0.012252669,0.013383349,0.002366958,0.010730284,0.006756413,0.010515531,0.008959527,0.005942191,0.004517139,0.002201436,0.00519153,0.006485785,0.002726353,0.001807831
2,2,Mcf7,nan,0,0,10,nan,6,6,0,0,20240515,24236,37828,1139,1033,946,837,1050.716579,925.5824806,1.512733103,25933,0.469788959,175.6651178,1,0.640689436,0.661055145,189.2422453,196.7866865,76.65507159,26.58169335,23.34523506,168.6696853,167.0590341,39.94062798,678.7604974,0.934562141,0.759032306,0.08396644,0.145629921,0.028439563,0.006830876,0.030515961,0.051247377,0.02366192,0.010398691,0.024638683,0.011792053,0.006188731,0.014384273,0.015962332,0.007979766,0.012424053,0.009873768,0.003814284,0.006636912,0.004779073,0.00661464,0.006431262,0.002323225,0.004645452,0.004119485,0.003008354,0.006865105,0.007935397,0.003067512,0.009191714
2,3,Mcf7,nan,0,0,10,nan,6,6,0,0,20240515,26447,45046,1068,1112,845,910,938.3254055,1017.542632,1.716450168,29133,0.512299279,183.5030415,1,0.587110953,0.582597746,203.2590488,223.1434516,77.87810989,26.08402628,22.6715681,177.9739544,174.5602922,68.94186501,755.2813127,0.907802149,0.66995077,0.10548653,0.158315628,0.04970907,0.015124103,0.031922488,0.017192228,0.013809334,0.002991505,0.024081937,0.031599209,0.007389413,0.001258507,0.011139378,0.010091579,0.008396398,0.012172266,0.008522782,0.009130758,0.007072316,0.014176611,0.004402463,0.007659625,0.009616178,0.000910713,0.004296246,0.008730194,0.004317644,0.004160939,0.003491647
