ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9
1,11,Mcf7,nan,0,0,0,nan,4,4,0,0,20240515,10091,12528,1502,1992,1386,1884,1444.95164,1936.334159,1.135519957,10259,0.322627769,113.3501665,1,0.805475734,0.880653831,116.7583743,119.0378091,53.46026562,18.66442843,16.4924225,107,110.514828,77.85219205,379.4629868,0.983624135,0.882796865,0.024867609,0.097530742,0.021357129,0.013707658,0.018698044,0.065910449,0.010422799,0.019850912,0.003429031,0.009412399,0.004241063,0.033588603,0.006162657,0.006251698,0.008866162,0.006385978,0.006150177,0.004462566,0.006918927,0.009666715,0.007589805,0.00258005,0.001374297,0.003139717,0.006429224,0.004784837,0.002264927,0.003267338,0.002861021
2,1,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,11548,16512,1402,535,1274,406,1338.852788,466.7843782,1.137655533,11709,0.398186508,121.2574545,1,0.699370155,0.879000692,127.2302349,128.8759093,54.40588203,19.64636001,17.4642492,111.7228714,116.7088641,46.39433497,406.3158005,0.986249893,0.877329078,0.042802655,0.092966357,0.031803875,0.017454266,0.026324139,0.052322461,0.005192276,0.029697238,0.006946513,0.010719633,0.003850598,0.021583955,0.009291572,0.006108236,0.006237885,0.010830264,0.009302414,0.007218406,0.007742382,0.007885891,0.008283918,0.00419198,0.004300433,0.00612259,0.005294536,0.00481085,0.002493895,0.004794279,0.001538216
2,2,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,40611,57456,622,1471,370,1243,495.3040063,1347.732856,1.169797723,40987,0.543927072,227.3929004,1,0.706819131,0.854848646,250.386001,251.2866889,98.03060747,35.86131086,32.14031736,210.2043976,210.1070291,-65.09042016,772.648845,0.99082636,0.809991009,0.018365824,0.131360946,0.058584788,0.002153806,0.044775246,0.056004485,0.008323177,0.019303122,0.009568083,0.006784145,0.008758876,0.007473303,0.016421461,0.008320799,0.001533734,0.006461683,0.009158936,0.012269045,0.008262621,0.00442386,0.012263409,0.00536526,0.001988343,0.00684653,0.002826963,0.006880037,0.001993831,0.001956122,0.002645121
2,3,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,13844,17907,1427,1539,1300,1398,1362.537561,1468.340581,1.113002493,13979,0.433926693,132.7656893,1,0.773105489,0.898470584,139.9173509,140.6875972,62.43396512,22.0928504,19.41648784,126,126.0582829,-19.40426343,440.0315293,0.990342657,0.89010937,0.008684751,0.092871871,0.041234978,0.006664185,0.008972934,0.06463489,0.024260743,0.004819737,0.004158322,0.004687068,0.004452665,0.034186845,0.007098512,0.006411433,0.003336229,0.002429496,0.001154571,0.001151247,0.004204949,0.009892508,0.005701845,0.006108022,0.002162548,0.002067464,0.002364095,0.001903101,0.003527015,0.002800719,0.003159266
2,4,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,25206,32364,542,1670,368,1484,454.5355074,1573.182695,1.123327702,25381,0.550517669,179.1459627,1,0.778828328,0.890212178,196.2410506,200.0249984,82.29823813,29.38308063,26,164.1912581,163.826643,34.97603838,596.4995667,0.993105079,0.80206772,0.084084895,0.129491832,0.0497478,0.019483412,0.004036159,0.049571423,0.005000489,0.01559318,0.023525148,0.011875294,0.002703272,0.008928916,0.010455212,0.006103468,0.008713707,0.023129018,0.001879687,0.003892171,0.001936285,0.006457458,0.002493689,0.003694742,0.004899059,0.004591367,0.004665203,0.00799154,0.003841815,0.002502191,0.000810489
2,5,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,24877,32970,1764,1711,1554,1554,1661.982032,1633.156289,1.174004337,25096,0.7085808,177.9729759,1,0.754534425,0.851785609,212.2336802,212.0023585,75.15317691,28.07069096,25.17935662,150.1295519,149.7583845,-75.01480564,605.8132752,0.99127351,0.704736459,0.026831223,0.173723885,0.089330526,0.007784699,0.006200029,0.039132084,0.00179747,0.021220089,0.007832489,0.009354124,0.009175085,0.017301068,0.027407719,0.011275293,0.005186303,0.006258232,0.003878809,0.004323128,0.005168795,0.005853551,0.008720886,0.006001411,0.00863825,0.002768191,0.004675576,0.004347511,0.007126726,0.001267392,0.001704709
2,6,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,11295,17608,1888,1795,1764,1653,1830.166268,1711.726693,1.421902731,12426,0.732394094,119.9218106,1,0.641469786,0.703282987,150.0455884,154.2368309,47.92702787,17.12865677,15.23154621,106.2084102,102.1631853,42.28378624,449.2447327,0.908981169,0.602691312,0.126487027,0.133459644,0.063058278,0.041342165,0.020057187,0.011226457,0.034019948,0.027630133,0.013798959,0.011191903,0.001850909,0.015094595,0.018007952,0.015642113,0.017202824,0.007880093,0.006299608,0.01331143,0.005445486,0.004098823,0.008491625,0.006115441,0.005984315,0.005468678,0.006789684,0.008378932,0.006599137,0.004048366,0.004125946
2,7,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,18168,26754,2010,1810,1863,1628,1937.513926,1722.743065,1.415315732,20082,0.668560787,152.0927876,1,0.679076026,0.706556126,180.5595001,186.3035158,63.56099433,22.20224155,19.41648784,140.8378815,134.274426,-14.32071676,568.4406922,0.904690768,0.659652859,0.150764298,0.114545011,0.035397543,0.024592715,0.01470301,0.00484741,0.035899234,0.029772956,0.025249076,0.009970782,0.005615316,0.020671639,0.007650002,0.004994108,0.016410865,0.004313337,0.015560757,0.004034737,0.005097952,0.010249828,0.003688768,0.005120948,0.006747547,0.006578204,0.008369807,0.008136058,0.000896325,0.003377502,0.005527155
2,8,Mcf7,nan,0,0,10,nan,4,4,0,0,20240515,10651,16214,1051,2043,917,1922,978.9809408,1987.405032,1.255513326,11057,0.697547543,116.4528849,1,0.656901443,0.796486966,139.9371457,137.53545,46.06517123,17.39913134,15.8113883,96.87362902,100.2703528,51.52331314,409.9310242,0.963281179,0.701829507,0.078448811,0.146120278,0.081002316,0.02494946,0.020660825,0.031236995,0.021564744,0.006811433,0.023498111,0.015961571,0.026088897,0.007136161,0.012719391,0.005500647,0.005427812,0.008584422,0.008697553,0.001407154,0.012121746,0.001425496,0.009475291,0.009889805,0.006044165,0.000797874,0.008675919,0.005300571,0.007392707,0.0069691,0.002472448
3,1,Mcf7,nan,0,0,11,nan,4,4,0,0,20240515,25173,32810,855,311,685,118,772.0429826,210.8441981,1.160584643,25684,0.511186501,179.0286543,1,0.767235599,0.861634699,194.0634333,193.3287356,79.42921377,28.61911313,25.49509757,167.6869671,166.7916629,2.231073327,605.9137803,0.980104345,0.851648729,0.060879188,0.10206892,0.053688647,0.021162537,0.029842638,0.045945291,0.019325993,0.00384262,0.012915856,0.002834995,0.010372036,0.012609791,0.012468532,0.011266203,0.003968315,0.011697149,0.007943247,0.007547773,0.001949003,0.003453273,0.006691662,0.001362402,0.00502168,0.002922305,0.001823923,0.00159453,0.004540057,0.00452998,0.001307708
3,2,Mcf7,nan,0,0,11,nan,4,4,0,0,20240515,31637,40397,707,580,508,377,606.1351898,475.6378923,1.130956166,31973,0.242057389,200.702465,1,0.783152214,0.884207567,203.9499033,207.6246613,95.85927185,33.10977875,29.15475947,197.405126,197.8848276,-20.7268249,670.5411973,0.989491133,0.922944504,0.003332033,0.069078377,0.012903626,0.001930189,0.020629478,0.055070038,0.008275333,0.006090751,0.001625992,0.012287211,0.003688216,0.038245131,0.003358968,0.003458538,0.002847243,0.002355969,0.004176692,0.00193466,0.00298684,0.022026624,0.000937684,0.002282019,0.00149012,0.003992674,0.002233779,0.00185896,0.002378886,0.002438556,0.002016682
3,3,Mcf7,nan,0,0,11,nan,4,4,0,0,20240515,25923,33480,1691,696,1505,516,1601.02708,603.4049686,1.219771916,26664,0.430682042,181.6760543,1,0.774283154,0.819825401,191.9728295,203.4207462,83.43260753,29.06987661,25.49509757,169.0698742,173.2561942,-53.7931109,630.3574311,0.972209721,0.770203247,0.017894034,0.168440346,0.031094231,0.008785742,0.006200162,0.080689025,0.007575765,0.022735901,0.001901469,0.001739192,0.009872203,0.010554915,0.009112723,0.004968318,0.003312337,0.006101337,0.002518522,0.004870548,0.005121345,0.018582005,0.01079666,0.011780155,0.004909139,0.000170083,0.005955653,0.002794885,0.004927264,0.002684135,0.006877973
3,4,Mcf7,nan,0,0,11,nan,4,4,0,0,20240515,26909,34038,1861,690,1675,507,1765.820506,601.2265041,1.250825686,28090,0.233364145,185.0989003,1,0.790557612,0.799471909,189.7170368,205.8543174,84.85281374,29.17810715,25.63201124,181.407425,184.4788386,29.5978851,650.3574311,0.957956568,0.789019402,0.078982948,0.137025901,0.001006217,0.021975831,0.037776255,0.051726,0.017630571,0.014552253,0.016027226,0.005436708,0.010396537,0.008168649,0.010756469,0.016340624,0.003097254,0.018315607,0.010910336,0.003381088,0.005614669,0.003159723,0.004460346,0.008080804,0.002262597,0.00801169,0.009036027,0.003965276,0.002485878,0.003147178,0.005532769
3,5,Mcf7,nan,0,0,11,nan,4,4,0,0,20240515,12152,18560,1562,765,1417,637,1489.937459,704.3669355,1.329611884,12893,0.554921836,124.3881303,1,0.654741379,0.752099174,137.8006327,153.4438008,55.15432893,19.17875969,16.97056275,112.9125857,114.6366897,64.87610453,450.6000718,0.942526953,0.655884881,0.06818962,0.195036909,0.036864684,0.008254042,0.004535675,0.037324151,0.004256131,0.027002351,0.030359573,0.004276092,0.008797966,0.021440016,0.011119718,0.007006407,0.011056603,0.008347741,0.004180226,0.000769306,0.008383274,0.006476978,0.00435404,0.007680312,0.004205493,0.01086719,0.014470669,0.001014023,0.008048061,0.007886528,0.002248413
3,6,Mcf7,nan,0,0,11,nan,4,4,0,0,20240515,23274,33855,1349,845,1164,662,1254.456518,743.9454756,1.205404446,23623,0.533839473,172.1434784,1,0.687461232,0.829597073,189.3690486,193.2278448,77.79460136,27.10601031,24.04163056,157.4011412,160.1277865,-34.2653445,593.7544007,0.985226263,0.732670518,0.07537949,0.160115658,0.04067746,0.006690148,0.033648245,0.049867964,0.017413188,0.009312567,0.03049231,0.00700327,0.02190511,0.00611418,0.014368469,0.00487044,0.001850439,0.009102359,0.006613906,0.005048957,0.005276086,0.002675907,0.009004242,0.008924796,0.004669815,0.007325069,0.009932423,0.001522202,0.007092665,0.000298104,0.001030303
