ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_BrightSingleCell_Count,Children_DASingleCell_Count,Correlation_Correlation_AA_DA,Correlation_Correlation_AA_DD,Correlation_Correlation_DA_DD,Correlation_Costes_AA_DA,Correlation_Costes_AA_DD,Correlation_Costes_DA_AA,Correlation_Costes_DA_DD,Correlation_Costes_DD_AA,Correlation_Costes_DD_DA,Correlation_K_AA_DA,Correlation_K_AA_DD,Correlation_K_DA_AA,Correlation_K_DA_DD,Correlation_K_DD_AA,Correlation_K_DD_DA,Correlation_Manders_AA_DA,Correlation_Manders_AA_DD,Correlation_Manders_DA_AA,Correlation_Manders_DA_DD,Correlation_Manders_DD_AA,Correlation_Manders_DD_DA,Correlation_Overlap_AA_DA,Correlation_Overlap_AA_DD,Correlation_Overlap_DA_DD,Correlation_RWC_AA_DA,Correlation_RWC_AA_DD,Correlation_RWC_DA_AA,Correlation_RWC_DA_DD,Correlation_RWC_DD_AA,Correlation_RWC_DD_DA,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,RadialDistribution_FracAtD_AA_1of4,RadialDistribution_FracAtD_AA_2of4,RadialDistribution_FracAtD_AA_3of4,RadialDistribution_FracAtD_AA_4of4,RadialDistribution_FracAtD_DA_1of4,RadialDistribution_FracAtD_DA_2of4,RadialDistribution_FracAtD_DA_3of4,RadialDistribution_FracAtD_DA_4of4,RadialDistribution_FracAtD_DD_1of4,RadialDistribution_FracAtD_DD_2of4,RadialDistribution_FracAtD_DD_3of4,RadialDistribution_FracAtD_DD_4of4,RadialDistribution_MeanFrac_AA_1of4,RadialDistribution_MeanFrac_AA_2of4,RadialDistribution_MeanFrac_AA_3of4,RadialDistribution_MeanFrac_AA_4of4,RadialDistribution_MeanFrac_DA_1of4,RadialDistribution_MeanFrac_DA_2of4,RadialDistribution_MeanFrac_DA_3of4,RadialDistribution_MeanFrac_DA_4of4,RadialDistribution_MeanFrac_DD_1of4,RadialDistribution_MeanFrac_DD_2of4,RadialDistribution_MeanFrac_DD_3of4,RadialDistribution_MeanFrac_DD_4of4,RadialDistribution_RadialCV_AA_1of4,RadialDistribution_RadialCV_AA_2of4,RadialDistribution_RadialCV_AA_3of4,RadialDistribution_RadialCV_AA_4of4,RadialDistribution_RadialCV_DA_1of4,RadialDistribution_RadialCV_DA_2of4,RadialDistribution_RadialCV_DA_3of4,RadialDistribution_RadialCV_DA_4of4,RadialDistribution_RadialCV_DD_1of4,RadialDistribution_RadialCV_DD_2of4,RadialDistribution_RadialCV_DD_3of4,RadialDistribution_RadialCV_DD_4of4
1,1,23819,30260,836,214,658,44,747.0930769553718,133.25538435702592,1.485377156288543,24740,0.37510567596049227,174.14733048785686,1,0.7871447455386649,0.6732296883430354,182.38426672707112,192.46298345396187,79.30952023559341,27.286666628608096,24.041630560342615,167.05618134561402,169.06694252479733,-66.24007170535806,666.7838379715732,0.9627728375101051,0.8115668229525255,0.0691650751447332,0.12819593048495825,0.028787937141580077,0.026101543792637814,0.034765292377344395,0.05464615806108883,0.015434566930801539,0.013641731862836634,0.009746208362015566,0.007530865356471959,0.008300315745429748,0.011101914887603877,0.012278508843012353,0.009538078024679344,0.006724874232935967,0.013319193327964848,0.014565653536998315,0.0022849877865784808,0.007088175070742887,0.0009595188099642354,0.004797156185035823,0.0047267972039604636,0.003543120257921489,0.006602796597035095,0.011127369832127138,0.004828657711348028,0.0016268177858016536,0.0020272634664606553,0.0007836850765559169,1,1,0.9230857619010472,0.8384147910227903,0.9702350146864268,1.0,1.0,1.0,1.0,1.0,1.0,0.9381838673422274,0.7087150686336416,1.0094343856730217,0.7757011101277697,1.284031737515645,1.2763297721326572,1.0,1.0,0.7332436184540867,1.0,0.7196800518324045,0.9975629600361096,0.9731572615867082,0.9539458270683794,0.9950127743564026,0.9208995457515877,0.8557822985479373,0.6829918237448096,0.9155187350839297,0.6360701027176359,0.9178117601217315,747.0930769553718,133.25538435702592,0,1,0.11418876,0.28174025,0.35227394,0.25179705,0.08146395,0.24588917,0.35845956,0.31418726,0.07331836,0.2406178,0.3658813,0.3201825,2.2094736692142236,1.6668581649165077,1.1470694465663274,0.5332581079052829,1.5762711412218051,1.4547526544627105,1.167210978644397,0.6653886645134047,1.4186596832654939,1.423565648651601,1.1913775177133947,0.6780854469247843,0.07118798806801378,0.19983575378445143,0.475078484873997,0.34683298296463244,0.02138205442081653,0.14679075178650297,0.2951705488212372,0.25448219995111343,0.024756127895569312,0.12374320151444153,0.2667989074053298,0.24624549515582067
1,2,20322,26622,1703,298,1550,124,1624.4723944493653,208.50108257061314,1.4525440985760039,20917,0.4914270540479035,160.85637702033443,1,0.7633536173089925,0.6884472567685527,172.5378761187632,176.64653973401235,74.67261881037788,25.899249050266594,22.80350850198276,150.95269304025362,150.2664695593614,-16.0218072183195,609.0498192558056,0.9715542381794713,0.8244879796419063,0.031056986327765466,0.13450840836461792,0.04743158257869549,0.013777645045943098,0.010041439929426034,0.07413377387928462,0.016907202808545536,0.007377826674205382,0.005232541712048586,0.006269503726962987,0.0033477707268454483,0.022379342839985782,0.008039655428234928,0.005176176315013377,0.0012226018806464796,0.009068110479421522,0.00959594689776865,0.0013498512599707318,0.0024552065026914346,0.004334825592981331,0.014435209179628698,0.0022327237460052643,0.002127820647530704,0.0012782053523896887,0.005843851972391603,0.004880926090462655,0.002269268511852514,0.002371878107788629,0.0017605528846462042,1,1,0.940848297127457,0.8656360715905664,0.971965665559449,1.0,1.0,1.0,1.0,1.0,1.0,0.7232328382861046,0.500987659404316,1.312373728137518,0.7269673463622556,1.802327822867759,1.3543138946509383,1.0,1.0,0.6509296744775735,1.0,0.555218172906938,0.8893499387907756,0.9742442077287469,0.9502336541387046,0.9922408871518669,0.8167396936895971,0.6698994857520748,0.5461093867175401,0.8404677981115918,0.39822073641172595,0.7566208012242922,1624.4723944493653,208.50108257061314,0,2,0.17651716,0.34971654,0.3094987,0.16426755,0.1200078,0.30190822,0.35678563,0.22129838,0.10269076,0.29728386,0.37360495,0.22642045,3.2522046237994706,2.0064764568726243,1.0050547348972927,0.3544161004623493,2.2110593585619918,1.7321792616640874,1.1586125720210172,0.4774631821453626,1.8920050316903045,1.7056472511327831,1.213231041984612,0.48851431453603866,0.1406761772400709,0.20529250065230725,0.28315458932370435,0.09724459826926729,0.06681256464031361,0.11219380264772111,0.14788516531821916,0.053228140368257806,0.019957877058532716,0.08202292926957187,0.10440954710218368,0.057207861331397714
1,3,27388,39900,861,386,651,196,749.1044983204323,283.59657514239814,1.7817321502824943,29910,0.5938533650885539,186.73908174564485,1,0.6864160401002506,0.5612515887090266,211.13624421877762,217.68095920406083,78.16009211867653,27.56239999915251,24.331050121192877,183.36940013398026,169.87458288441832,-76.4880528520229,783.0803025278549,0.9156803744567035,0.7005958087625448,0.038479363325319114,0.17956071645873328,0.05625682586026187,0.005343628128769674,0.022113539845245212,0.05119011907895118,0.019769749362529777,0.01971357824324962,0.01243484891670515,0.013894736685167315,0.009309558698903259,0.002121063079390541,0.028181800795779914,0.01052006608482627,0.0013278898127414458,0.00942798728972215,0.006648384742162723,0.0073521290475667455,0.011781672032032349,0.0006308500219330118,0.0030970918344036752,0.006141798785280373,0.003115305867358812,0.0032954347395091634,0.0014702280328997633,0.008305120770403941,0.0021919915610686173,0.007398549069525444,0.004816005533269711,1,1,0.8629918819942692,0.6840975166438481,0.9254415585895228,1.0,1.0,1.0,1.0,1.0,1.0,0.6555105296753673,0.4013448114064425,1.347453412237328,0.7343012584064701,1.947921810042685,1.3263301110359516,1.0,1.0,0.2659301748812585,1.0,0.20652378831571555,0.8928060144803093,0.9398243984748279,0.884187939007357,0.9868768259494659,0.8279203627729846,0.6555961565054153,0.22807730840767484,0.8758821360462392,0.1490831888838375,0.7928567485860463,749.1044983204323,283.59657514239814,0,3,0.07508231,0.24146716,0.42010346,0.2633471,0.065118164,0.21440819,0.37280768,0.34766594,0.06316527,0.20952411,0.36047158,0.36683905,1.691080833711702,1.5290873200769348,1.3776093842854205,0.5344609174873262,1.4666581174456685,1.3577367588274722,1.2225163772245466,0.7055853759504854,1.422673033770951,1.326808398514123,1.1820636417474089,0.7444970682136388,0.16136647072759486,0.33205583340056843,0.6327314468246193,0.2119936256534569,0.09581505947387632,0.20453701079830855,0.3017119234433634,0.20482395313385648,0.08868312458187967,0.16857649568973332,0.2236046917476768,0.2431399902594241
1,4,18329,25160,1640,447,1492,277,1566.6918544383218,364.2793387527961,1.5432048776974323,18921,0.46073256697170084,152.7652042038723,1,0.7284976152623212,0.6480020990421367,162.3093720790781,169.57889019568444,70.83784299369935,24.479900084442377,21.400934559032695,145.54875136664776,144.05590009090287,-7.117661165060308,596.1919548795365,0.9687120131071296,0.8115313702907395,0.0370327603609229,0.14361360147448596,0.03912546186440812,0.016233144559069154,0.010548541383909411,0.07723413307893925,0.014354315014540611,0.007793524861561047,0.006874199089042058,0.0057144979062442635,0.002223096929999908,0.02006256227937874,0.00619515404249566,0.005906929451809884,0.004685821561905841,0.01260674055132893,0.0026103881204298613,0.0030039917956543607,0.0031163832696842137,0.009061593389035782,0.011536805042365917,0.004688846100054805,0.0014166880338573689,0.002001194048087004,0.008044143023692992,0.004288162330630043,0.0031084947742139545,0.0008629698879124,0.0037163573416030783,1,1,0.9056859781368054,0.8206865183739852,0.9701447647109351,1.0,1.0,1.0,1.0,1.0,1.0,1.0490987625084542,0.8899279711045901,0.8896820192215509,0.8591009789034302,1.0091418908392176,1.1542863233492768,1.0,1.0,0.7598879427367828,1.0,0.7652506180364617,1.0,0.9661078125092208,0.947662173704952,0.9958155001425743,0.948717180347258,0.9243720513751538,0.7268405603394105,0.9632741274239184,0.7209994152538176,0.9652882419280531,1566.6918544383218,364.2793387527961,0,4,0.12350925,0.3194313,0.30852827,0.24853124,0.092083335,0.26726556,0.3390304,0.3016207,0.088872485,0.2644541,0.35203207,0.29464132,2.293618089061791,1.8394145108677455,1.0051572590833275,0.5338484762048965,1.7100257809521993,1.5390230653572843,1.104530478711446,0.6478853467640135,1.650398961550492,1.5228335330724472,1.146888682289645,0.6328935520696173,0.058960592922986034,0.23740725333753038,0.2909532751296043,0.14736665680872663,0.028256781796855892,0.04516705110190087,0.08159349999312775,0.03559058388601233,0.0372295460974442,0.053016918039992394,0.09655487321640929,0.06435132021747673
1,5,19277,29302,904,473,722,312,819.7493904653213,399.4256886444986,1.5403147796571868,20276,0.6292125795586573,156.66601004640327,1,0.6578731827179032,0.649217947660387,179.25586169005462,181.27603261324978,66.46803743153546,23.87357637792439,21.095023109728988,138.9177858285691,139.3236165186892,-71.28501593890333,610.842712474619,0.9507299270072993,0.7450604900644983,0.10619922528487996,0.131905390540832,0.059299291565995886,0.0104266954410858,0.017176158026649287,0.031360139435300735,0.022903776818307936,0.0064335061528219455,0.02976792720230058,0.019226403768574835,0.007309148653101035,0.0138409611331837,0.014512178435556047,0.0032076858774899805,0.00664001733495853,0.0038773665806799275,0.0016162348602217164,0.006217128496307207,0.0024108877805405246,0.01456353974847852,0.003888153257099559,0.012983828930124298,0.004418073233325053,0.004755132370033265,0.0043302904413661785,0.00550980702635736,0.001837234611983783,0.0007730139520964066,0.003632553130392245,1,1,0.8496338950206688,0.7724575265738352,0.9738213589709338,1.0,1.0,1.0,1.0,1.0,1.0,1.396586303597146,1.2776146468135519,0.6523391237972556,0.9206099285130243,0.6888596945648325,1.0783130999356867,1.0,1.0,0.7359919840574861,1.0,0.7466659006702845,1.0,0.9544882846823266,0.9381349771624228,0.9963461977879225,0.9527111736157231,0.9475435195048073,0.6982246881034608,0.9786397570313314,0.7062345664978832,0.9794303788635503,819.7493904653213,399.4256886444986,0,5,0.09018089,0.2827124,0.3251946,0.30191207,0.07074949,0.22626065,0.33115342,0.37183636,0.07036954,0.22326757,0.33563823,0.37072468,1.912449937137562,1.7121730864029256,1.0637665452363223,0.626340826549152,1.5003717785949027,1.3702879345411387,1.0832588710921247,0.7714043902301395,1.4923142511459002,1.3521611528588717,1.0979294187747897,0.7690981078958692,0.07929838085743529,0.36187628526370763,0.41354531150140456,0.30027675432704115,0.034150102054913666,0.14010553556620087,0.2669384188003257,0.29898486339622626,0.04513997964597598,0.1341556406780418,0.2978731490652384,0.33326730029781737
1,6,17052,21756,497,686,349,539,422.1053835327234,612.0815153647666,1.2980262542688255,17407,0.2840469310586151,147.34748289951884,1,0.7837837837837838,0.7704004419874367,150.54067314721974,152.50245899656832,71.0,24.19703321884243,21.213203435596427,144.66283593095037,144.339959724321,-49.98170063983909,527.3929650063131,0.9796059056701327,0.9280622907504643,0.006478380510408419,0.06521330669940725,0.018041829491296762,0.004593195119038107,0.003173658370141745,0.053149645750505924,0.013648759423014281,0.01240276509541089,0.0021208900062126934,0.002054027240219647,0.0029225011607385003,0.038137754985096084,0.008301485742102314,0.007853249200681648,0.0017204877994792455,0.0007696735442541362,0.0011222674780762094,0.0013469708831793821,0.002378917192408655,0.0229377466627395,0.0030967871605651477,0.003412260006579672,0.000754909436546523,0.0008441640739421112,0.0022140196811586896,0.000976710452194668,0.0008795290004188028,0.0017628865831600133,0.0023969003446313755,1,1,0.9379966279022502,0.878505636062748,0.9676669562148098,1.0,1.0,1.0,1.0,1.0,1.0,1.3875983801721032,1.223001476278717,0.6836176766286969,0.887134317450178,0.7587706427660875,1.1185134548874385,1.0,1.0,0.9728602049843329,1.0,0.974077955477239,1.0,0.9739541984852247,0.9633159483055784,0.9961283403058103,0.9749168080244371,0.9702566340118945,0.9463884700480151,0.9720377517866367,0.944882701032152,0.9732387242418974,422.1053835327234,612.0815153647666,0,6,0.1323293,0.30664977,0.30668634,0.25433466,0.09535402,0.25797784,0.33159605,0.31507206,0.09072325,0.25311685,0.33780503,0.31835482,2.362805470558976,1.7297360078017894,0.9898950406463894,0.5566569881619144,1.7025934651259909,1.4551896075716546,1.070296382376038,0.6895916776837039,1.6199086874567337,1.4277699171136302,1.0903371982043735,0.6967765767619292,0.05402523432746883,0.1495370207637862,0.18121357839480076,0.069366470837528,0.02475833204175903,0.06371863553097494,0.1476856093328531,0.029419255002214834,0.02673316057320849,0.07819308937773246,0.19453536801985288,0.061967765534857305
1,7,25599,35512,480,1017,287,833,378.97402242275086,922.2139536700653,1.4486660469621342,26806,0.3590300240419029,180.53714051594878,1,0.7208549222797928,0.6902902170565874,188.5153270538833,205.54804791094466,83.24061508662703,28.29901849307442,24.698178070456937,175.82487628136118,175.94625811332705,74.26658060258136,682.6538956566621,0.954972767290905,0.7709565416548777,0.07978055284514833,0.14814635688917513,0.028314916465630658,0.023104177081970215,0.01928956048441032,0.05329865432800382,0.018429621959738764,0.02068089981379504,0.014892424179057943,0.01724750161870884,0.008447041463543345,0.003347631743104984,0.005754030342036458,0.010403631176733248,0.005253983833966776,0.016293553381234012,0.01621838594430901,0.007773780745710051,0.005622835306353,0.002336239681598932,0.006585310344454174,0.002893046236958869,0.0013637222300967664,0.0056422157959706044,0.004981979973592605,0.0034090220364166586,0.0027192733040963205,0.0028240216120065924,0.00526799223668168,1,1,0.8373405332026966,0.691153939585569,0.9387471662198691,1.0,1.0,1.0,1.0,1.0,1.0,0.8314080325099826,0.6257062833422312,1.0963339035368944,0.8501680720903605,1.3812623929099062,1.1586049018107325,1.0,1.0,0.24359913891478005,1.0,0.21480693044670504,0.9786472655226585,0.9547255174727438,0.9296583018443142,0.992476143636144,0.9008474133901977,0.8379383503927786,0.22571458272123923,0.9588643005769729,0.18931945858627178,0.9423213478937784,378.97402242275086,922.2139536700653,0,7,0.103842914,0.26333165,0.3537405,0.27908492,0.07471999,0.21976635,0.34663686,0.35887685,0.07255976,0.21483243,0.34878042,0.36382738,1.9749440996731822,1.5582586573165578,1.1648319270131142,0.5878626585771817,1.4210675839074505,1.300462033708117,1.14144031632934,0.755935866879522,1.3799831137991,1.271265661253511,1.1484988498440851,0.7663636170575951,0.6421101336553234,0.3721908638706775,0.46229231739990406,0.31226894307301856,0.20313628873690875,0.2303903678259566,0.2501363442611707,0.19954757266058806,0.0902413461423615,0.18452066130066683,0.22973337488084572,0.20704667101815163
1,8,15513,22632,519,1118,355,980,435.69825307806354,1045.1536130986915,1.7878594812470077,16785,0.6638286968801681,140.54097287793542,1,0.6854453870625663,0.5593280738721779,164.49797743216692,168.0773631397161,55.86591089385369,20.466614512691198,18.24828759089466,125.50774218028683,123.02551354148557,-68.65717820389635,590.3635277547903,0.9242180518319929,0.6988657745673439,0.058803717413245436,0.16730258027323336,0.07057539880076014,0.0054796440466673285,0.02927748165898047,0.03517087506559575,0.018134287237783667,0.023973086531446346,0.015979858695203276,0.013851284430856923,0.0015303837921824383,0.005920549126608258,0.026865177685053594,0.009576936203582888,0.009240538438239592,0.007610812192421691,0.010883550109425807,0.0061707817013405735,0.001289609750907805,0.005589469489942699,0.00015760191602225991,0.008771298247265958,0.005344038039008889,0.004645540388278334,0.0010933935046065415,0.010827174415262715,0.0024846573016909573,0.003691434769038557,0.001684791623398871,1,1,0.8670346360048309,0.5786160357035169,0.8514678953929301,1.0,1.0,1.0,1.0,1.0,1.0,0.7869337886450244,0.5467856730824943,1.1717828235770749,0.7797842099003935,1.535428843459052,1.2523716591364815,1.0,1.0,0.4095043138939563,1.0,0.37519652434088613,1.0,0.9602684503963835,0.9162698803524175,0.9882204433836543,0.8963380890993348,0.83343153545787,0.3761670886166298,0.9503001946519402,0.3291916345719813,0.9562086959831353,435.69825307806354,1045.1536130986915,0,8,0.046962537,0.24132355,0.38487446,0.3268395,0.048337113,0.20108056,0.35273874,0.3978435,0.048267093,0.18945011,0.34801906,0.41426367,1.1545639215317594,1.5822705674163866,1.244644057907261,0.6568546788821271,1.1883575843260359,1.3184119771318907,1.1407204593547506,0.7995525805509092,1.1866361439263415,1.242155381850739,1.1254575217120562,0.832552434982977,0.12521930424247565,0.4533444480384575,0.42549595036709936,0.45731837675071585,0.056952914723141596,0.14857173602562657,0.18794148145971099,0.21423113187417325,0.04034761584413103,0.09482886244502271,0.15657423065775455,0.2255812537094631
1,9,10286,14750,1157,1361,1032,1243,1094.9208633093526,1303.7462570484154,1.49916630838507,10749,0.45826388351576935,114.44012389518758,1,0.6973559322033899,0.6670374023261093,122.13050697360258,125.15989773086265,51.10772935672255,17.99344846627233,15.811388300841896,109.89708972872356,108.55157144164795,-51.43320792459012,440.2031021678297,0.9569262256954135,0.81851492363506,0.037364243659508516,0.13220525893764168,0.04174981781871925,0.017769196076831906,0.03775807902884573,0.06433607722156448,0.007917228254933016,0.013779949267508862,0.003613280342581337,0.0030524862618300994,0.008958641623394013,0.013723515716971162,0.012833013111978282,0.005659227552995322,0.0021926504268570918,0.008728666565002818,0.011818316072665631,0.009454008362129644,0.00524797196792227,0.0049817068840345355,0.013675437070459321,0.0029260819672756555,0.0014532374259575377,0.0010261361879609567,0.006832073279340561,0.007250003381006391,0.0017962132637639346,0.001539489706068943,0.002183629807423653,1,1,0.8782798768460921,0.8128544405511257,0.9495240381066076,1.0,1.0,1.0,1.0,1.0,1.0,1.7739546277662144,1.5305788629322485,0.532491717930451,0.8388248411513837,0.5973530580632946,1.1699839912185008,1.0,1.0,0.49584818626897015,1.0,0.522411148318249,1.0,0.9719136521676734,0.9561882473548914,0.9906622207309214,0.9308668188609206,0.9461874694464087,0.45977983340254386,0.961487468870325,0.4914598295122958,0.9637251429146652,1094.9208633093526,1303.7462570484154,0,9,0.11383834,0.2571223,0.31813753,0.31090185,0.094635926,0.2433233,0.3194958,0.34254503,0.10188764,0.26328725,0.321471,0.31335407,2.2431822569034465,1.5078449602341824,1.0283980508183317,0.6623729150479944,1.8647991125668064,1.4269232758434478,1.0327887396479754,0.7297883604613824,2.0076940600899356,1.543998069950763,1.0391737160294547,0.6675973519028563,0.24322515101007597,0.1457823284854885,0.16953125439048203,0.1466626901970091,0.044466252925136576,0.1136823890364563,0.09608529685795009,0.06863774345378695,0.08071993072759047,0.14741056231820188,0.148995389708543,0.05334801237040053
1,10,8026,13189,1903,1507,1794,1386,1842.8230750062298,1446.5902068278097,1.516281789907799,8649,0.582162003541456,101.08917145789857,1,0.6085374175449239,0.6595080193245659,114.67324496348925,120.14990636700472,39.81205847478876,14.514322817549699,13.0,89.55754183480242,93.23769802704338,-28.17644138052245,391.0609665440988,0.9279685512776044,0.7059905237610171,0.005716689958114966,0.1732961706850793,0.05435192565269406,0.014764002307889245,0.035520475145084114,0.042654638070514665,0.010685711415091373,0.03944602990350292,0.006041208075345903,0.00925222340040294,0.01337295133210953,0.012549375433538798,0.01860655818504658,0.01566787505529188,0.01708900029569359,0.008444683115667947,0.011232207196585487,0.006522724890333097,0.0040330240718768695,0.007127736351003857,0.004949930249949034,0.006401414649953828,0.0017066983743147602,0.007206638768615786,0.006462268564269014,0.0007405910274169872,0.010197300129195553,0.006007440696036505,0.0031150980651736874,1,1,0.46699946613409193,0.23685039507653352,0.8949118399407567,1.0,1.0,1.0,1.0,1.0,1.0,0.6165431653143266,0.47263411193412913,1.3114513550312936,0.9510736966546599,1.6097670378938058,1.0334087457699097,1.0,1.0,0.051554655567661915,1.0,0.043429463549215355,1.0,0.8992031859300526,0.8722561632776077,0.9913868447758644,0.8359293281439525,0.8008156848610262,0.04601358125824456,0.9799354527250994,0.037963595456736415,0.9800595082837722,1842.8230750062298,1446.5902068278097,0,10,0.042323567,0.15199131,0.39644995,0.40923524,0.054083146,0.18848985,0.35108957,0.40633747,0.056259263,0.1960114,0.35307705,0.39465234,1.02315948351499,0.9982669688090545,1.2835447056584888,0.8225700046196334,1.3074437681899662,1.2379865555638359,1.1366861090394642,0.8167454377021997,1.3600507448820034,1.2873874389110709,1.1431207888642825,0.7932581155633911,0.025218742791066392,0.051207369811911034,0.408465576750651,0.2226797668010066,0.08604475777081687,0.1384826319197879,0.14648796585423862,0.07510220460342203,0.11300539884718175,0.18817590633097833,0.20088428431345118,0.10148310137638589
