ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,,,,,,,,,,,,,,,,
3,2,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,57282,90508,1136,1071,894,697,1015.41362,899.6921022,9.533642782,65097,0.775695093,270.0624143,1,0.63289433,0.1048917,344.3466271,373.1085633,94.04786016,31.98885049,26.87005769,238.281873,217.3198605,-6.289246204,2619.651117,0.879948385,0.523911412,0.062151913,0.197169512,0.069596946,0.022790113,0.013033435,0.009866129,0.027892424,0.022966322,0.014919142,0.009781482,0.002538852,0.016326663,0.018971114,0.01177339,0.008764943,0.013113904,0.009771476,0.008394173,0.002068626,0.014195831,0.005659901,0.0060799,0.005434707,0.003670951,0.003003328,0.004223824,0.006045722,0.006523574,0.002140496,,,,,,,,,,,,,,,,
3,3,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,48608,72988,952,1354,668,1097,804.9246215,1215.550918,10.56686273,55796,0.666604896,248.7762605,1,0.665972489,0.094635468,293.3529929,318.0015723,93.00537619,29.22567238,24.8394847,233.4832098,218.6686173,-49.69943515,2540.573952,0.871173561,0.611985971,0.040640856,0.201540534,0.056119191,0.019488035,0.014965237,0.032344558,0.018626384,0.020001356,0.014522378,0.017453837,0.007287874,0.017915406,0.02049149,0.008539967,0.006316317,0.009011997,0.003720255,0.00610088,0.004044742,0.007311533,0.005768612,0.009349547,0.001434502,0.003291062,0.006210902,0.005587519,0.005389989,0.003158141,0.001987797,,,,,,,,,,,,,,,,
3,4,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,36278,64224,743,1671,520,1383,627.9780032,1528.343955,21.45661224,46912,0.64096197,214.9199484,1,0.564866716,0.04660568,255.5560288,290.056891,73.05477397,20.18132582,14.31782106,213.4872932,196.1578149,-9.430909975,3127.570993,0.773320259,0.54898836,0.034859656,0.205986424,0.042122123,0.015160881,0.003936281,0.007027438,0.015260402,0.01642556,0.011613258,0.005226854,0.002591023,0.022606975,0.008249845,0.007959342,0.006987444,0.007579713,0.00731872,0.000699696,0.000998368,0.002156001,0.008736885,0.003861338,0.002313267,0.002848161,0.004871425,0.003499114,0.001379597,0.006388877,0.000977332,,,,,,,,,,,,,,,,
4,1,Mcf7,nan,0,0,2,nan,1,1,0,0,20240515,29857,50481,1227,1013,1014,776,1128.88398,895.5198446,15.7497394,38646,0.543814269,194.9746473,1,0.591450249,0.063493114,224.0014179,241.5367467,65.60487787,19.31847345,15.29705854,210.9920684,187.9832446,13.76360019,2430.886615,0.772576722,0.604771692,0.045835415,0.186464538,0.034266299,0.021021145,0.036818483,0.03078131,0.026965759,0.004078075,0.01203828,0.022920292,0.007167272,0.00469423,0.005220589,0.006464709,0.006649244,0.006683724,0.008738699,0.005494068,0.003510832,0.009838776,0.003976902,0.008815853,0.006325888,0.001500443,0.006637152,0.004246273,0.004563412,0.001232029,0.002805843,,,,,,,,,,,,,,,,
4,2,Mcf7,nan,0,0,2,nan,1,1,0,0,20240515,38572,65603,1289,1284,1062,995,1174.753941,1134.070777,13.3310066,49070,0.6226054,221.6109107,1,0.587960916,0.07501309,256.0091459,295.4623495,87,26.54728921,21.9317122,220.8436595,200.3363607,6.340253935,2541.982069,0.78606073,0.561266734,0.032028289,0.218708418,0.040505417,0.01475188,0.011518326,0.015008961,0.015610672,0.011385981,0.014007391,0.010391116,0.002430508,0.033085965,0.012546121,0.007105102,0.00312211,0.009168723,0.007542048,0.002580102,0.001988908,0.002387296,0.003405416,0.005969749,0.005591949,0.004601225,0.005753556,0.003413733,0.000366356,0.002694683,0.001213351,,,,,,,,,,,,,,,,
5,1,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,34096,61830,680,898,451,628,573.42395,760.2119897,14.08906123,46473,0.564274405,208.3563666,1,0.551447517,0.07097705,238.7678923,269.1505155,69.007246,20.09227361,15.23154621,218.9562131,197.1237404,-4.908299908,2456.957682,0.733673316,0.589743785,0.019474791,0.204458386,0.035807684,0.002223655,0.0092791,0.022729205,0.017552444,0.008310427,0.007789932,0.006902223,0.003797966,0.020132022,0.006182532,0.016329357,0.00212696,0.006286938,0.005461461,0.006193652,0.009050358,0.003696788,0.004086861,0.009296564,0.006429733,0.001960923,0.003155322,0.005621223,0.002060452,0.009391156,0.0080578,,,,,,,,,,,,,,,,
5,2,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,48156,71920,955,891,665,643,809.7940236,760.1639048,10.76933717,56902,0.561371399,247.6168886,1,0.669577308,0.092856225,276.1485779,308.3666649,101.6366076,32.47238159,27.07397274,243.6310144,228.5306182,-76.38908386,2552.84603,0.846297142,0.639489911,0.025877711,0.20893675,0.041096982,0.003908793,0.018392312,0.043186026,0.006813524,0.008020359,0.010814851,0.010539341,0.006818374,0.025458602,0.017737095,0.00453032,0.005598958,0.003630147,0.006362813,0.00409506,0.000225726,0.013069574,0.005608364,0.006883225,0.003841851,0.004726848,0.005269467,0.005087731,0.002741509,0.004146069,0.001524179,,,,,,,,,,,,,,,,
5,3,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,27449,54468,1505,1213,1327,907,1416.865532,1065.308099,21.09197093,39705,0.82479887,186.9469237,1,0.503947272,0.047411406,271.2136249,309.8854627,61.40032573,15.86029958,10.29563014,176.0338183,153.3512979,-8.776876713,2697.28463,0.691323511,0.363235166,0.023608423,0.176961362,0.04661204,0.034976088,0.006587714,0.049066315,0.026527902,0.018968762,0.010911852,0.00183397,0.00613155,0.00226944,0.001403917,0.008501434,0.0113772,0.013392108,0.003917261,0.006795596,0.003259771,0.01019467,0.00339153,0.007269914,0.00762698,0.00685586,0.012181619,0.004824588,0.00652851,0.003369496,0.002099106,,,,,,,,,,,,,,,,
5,4,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,31812,52080,1399,1324,1159,1107,1274.415755,1212.373381,11.52731673,41601,0.275156301,201.2567922,1,0.610829493,0.086750457,213.5357795,255.4251358,73.35529974,20.80872939,16.1245155,212.1899995,205.2931929,33.29833271,2146.666268,0.764693156,0.615282625,0.057364241,0.194542822,0.012490829,0.010692277,0.017189805,0.027556321,0.009512619,0.022463756,0.018424656,0.013088633,0.007437022,0.014707852,0.008826721,0.021679199,0.003884841,0.005120071,0.006948102,0.00440531,0.008708393,0.001817591,0.007402275,0.001690462,0.006987034,0.000350037,0.002508043,0.005124851,0.007248506,0.010891018,0.007840928,,,,,,,,,,,,,,,,
5,5,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,36944,69376,1849,1511,1578,1255,1715.08992,1376.579363,12.78602521,45592,0.534285778,216.8837517,1,0.53251845,0.078210389,241.8932725,274.4102768,85.23496935,24.392266,19.23538406,201.2368347,204.47333,53.58712568,2436.377993,0.8103176,0.621617462,0.002870047,0.209556728,0.034272705,0.006845624,0.014176154,0.035117664,0.007530725,0.01233201,0.004199909,0.009575319,0.005397906,0.026122929,0.013747769,0.014861216,0.004161498,0.004881476,0.003672269,0.00719364,0.005365078,0.008119997,0.001029857,0.003231333,0.001563715,0.001571486,0.003348997,0.004765277,0.004279821,0.005801898,0.002324101,,,,,,,,,,,,,,,,
