ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_DDSingleCell
1,1,23996,30600,836,214,656,44,746.503250541757,133.3247207867978,1.6526356125050161,25072,0.39291923790086336,174.79318097530282,1,0.7841830065359477,0.6050940645556038,183.80233078333373,193.04144632694815,79.30952023559341,27.25263736202271,24.03122742963562,167.05618134561402,169.01965774308465,-67.64166856766626,705.9320702497141,0.9570835992342055,0.8151175553975246,0.06819518917357789,0.12576870812773253,0.03093690863662815,0.02562680338538208,0.03522891409490432,0.05404210057425904,0.015790632008768873,0.013309313426527669,0.010134028008491863,0.007362756933214062,0.007568137277644455,0.011970998572535009,0.013230541582967766,0.009017572317504491,0.007293868837675777,0.012029769696389149,0.01448952001961188,0.0026450818289730908,0.007281468486781691,0.0019802027231060706,0.00498834074180595,0.004443836976824435,0.003786601715271844,0.005943631967346688,0.01050064754355442,0.005097945951184571,0.0019369970938527574,0.002270656957205227,0.0007930993764107414,746.503250541757,133.3247207867978,0,1,1
1,2,20835,27789,1704,301,1547,124,1624.4303815694745,209.48260139188864,1.9654153191969241,21835,0.47648596664041093,162.8740185375099,1,0.7497570981323546,0.5087983136351067,173.85547934789915,176.81911661356077,75.13321502504735,25.868058625010498,22.67156809750927,154.06608926558658,152.85062133962867,-14.814970358394786,717.3462838120872,0.9542019693153194,0.8407017912473128,0.021801733155198906,0.12571364760989434,0.04620783702194915,0.013055761540116246,0.005558466729037871,0.0743037583682162,0.018473137890951098,0.0034476302236160794,0.0033554447232328876,0.003937184910963129,0.002823019899343134,0.026826018720911792,0.004528562432492224,0.005159096336072738,0.0010404970947925278,0.003261300902738798,0.007632223725642125,0.0002655055755610458,0.004401875815482072,0.0014896379481589863,0.014126768837062037,0.00443030638221438,0.001776623582636753,0.0023875512300263247,0.005201390180455445,0.00503277969735382,0.002038160955308699,0.00022514571255119117,0.0018155704414945476,1624.4303815694745,209.48260139188864,0,2,2
1,3,27712,40280,861,386,649,196,748.6051530023095,283.7433963625866,2.2235691923971315,30541,0.6029315911206842,187.84039571854834,1,0.6879841112214499,0.44972740377012704,213.3223075350492,218.92921230388603,78.16009211867653,27.400648103921554,24.08318915758459,183.42448876671418,170.18702037613542,-76.11122829355661,879.9625535217635,0.9073704200910252,0.7043949178099398,0.04242017993066946,0.17569877043831264,0.0592119243967661,0.006950162879798173,0.02285396069084412,0.048818818060602336,0.01941352248724554,0.019406292209839665,0.011828579695396267,0.014319785129117852,0.008748008442796938,0.0018100578585263372,0.02853245829801733,0.01006446519736402,0.0011325108668252437,0.009394857578576337,0.00677111319799558,0.007116341761922645,0.012323461875455908,0.0012288374844467128,0.0038059382368576056,0.005985718760707278,0.0034258087521033117,0.002862003623021925,0.0023691573158153567,0.009017652115412339,0.0024479100363515114,0.007275857794645732,0.004390360016754361,748.6051530023095,283.7433963625866,0,3,3
1,4,18381,25308,1640,447,1492,276,1566.758065393613,364.1831782819215,1.569444349447852,19049,0.4622213896497135,152.98175078020589,1,0.7262920815552395,0.6371681801599471,162.61550304538898,170.14405661086138,71.17583859709698,24.471972562557088,21.37755832643195,146.08494381972022,144.20166519778255,-7.386949977258293,602.0914498161483,0.9649325423906767,0.8078819331738407,0.04891543671514875,0.14328491211039218,0.037909697273529136,0.019115911437918992,0.011759443544206565,0.07338754898632407,0.013163422657802687,0.006964352982008827,0.010405721385145731,0.007297970022695252,0.002337358276677946,0.016996174371291417,0.007419320694084207,0.005407975923375521,0.004514672124458744,0.01689290796638692,0.0019313619994193315,0.0032718729984997303,0.0034963421651253756,0.008079325373625745,0.009812835052469028,0.005260787888349373,0.001729986409499282,0.0020693243833307885,0.008416172918977914,0.00459815575362634,0.0033449599923146773,0.000901141589508418,0.0037414942179928834,1566.758065393613,364.1831782819215,0,4,4
1,5,19287,29785,904,473,719,312,819.7148856742883,399.4248975994193,1.5699084678425481,20388,0.6295874013857322,156.70664025275727,1,0.6475407084102737,0.6369798115518501,179.3653737033918,184.09780009549272,66.46803743153546,23.861777539800055,21.02379604162864,138.9177858285691,139.3542796646539,-71.35026656466194,616.842712474619,0.9459976456739259,0.7227758932552292,0.10872963087754885,0.14133840677729084,0.05605389147535175,0.015986503104656238,0.01383332823253839,0.03250700575902038,0.0265824949062016,0.005391386665336569,0.030139291580526764,0.019024041052740758,0.006192376974614269,0.013420842001572031,0.013125014324512942,0.005805951100560156,0.00587993002117912,0.001994041631428347,0.0026093847035987606,0.006883337181410756,0.0025788373562478407,0.01132341462417503,0.006457202243493253,0.013031367426273786,0.004065778721374371,0.004478278807667127,0.00625617499778972,0.004245051734446556,0.001243075752118516,0.0008778132692926878,0.002948380147345778,819.7148856742883,399.4248975994193,0,5,5
1,6,17103,21903,497,686,348,539,421.977723206455,612.2300181254751,1.3882412490408902,17529,0.2946508369521783,147.56766561007018,1,0.7808519380906725,0.7203358931243984,151.02326932040157,154.02921800749363,71.00704190430693,24.17036804474665,21.18962010041709,144.66283593095037,144.31858877070863,-48.995412588565834,546.2274887854692,0.9756974157111074,0.9128008575753384,0.010408424595640101,0.0777759560698803,0.018901636526109968,0.00772400104859808,0.0036173864222466107,0.06115859384196883,0.01323518755116559,0.011774621927057008,0.0043694207114939885,0.0017692797518524858,0.00335195286081323,0.04110570742344526,0.006653989758931329,0.006634098736248478,0.0013863467373694145,0.002103503575244771,0.0022128029767826208,0.0014570082826114294,0.002511398032284077,0.02176373819795997,0.0007619659186158932,0.001948959450459175,0.0012395837601291,0.0005167614194013046,0.002558287615478697,0.0030510412531718693,0.00046769187641017306,0.0015672286077563654,0.0026103298285423604,421.977723206455,612.2300181254751,0,6,6
1,7,25657,35696,480,1017,286,833,378.81782749347155,922.2881864598355,1.4793405825723704,26919,0.3579198342640441,180.74154751818983,1,0.7187640071716719,0.6759768587306225,188.69200763615888,206.66155907667007,83.24061508662703,28.292932660968155,24.698178070456937,175.82487628136118,176.19159960624418,75.1359016503733,690.6244584051392,0.953118615104573,0.7648261612348828,0.07604387962456341,0.15301612528905623,0.02628321055535097,0.018931950766575098,0.01973956141153323,0.056812095149541685,0.01844583240321317,0.020274226613409798,0.017442434312864952,0.01562360940900591,0.0081631931517833,0.005555909588880607,0.005463729343870268,0.011106619922106752,0.005149563857738807,0.016901574681666184,0.013925676790917552,0.007446091315136519,0.005952815061304629,0.0019186959463317588,0.009209817566748135,0.0041463857359938325,0.0008962771614441223,0.005446440718242616,0.004496998200018513,0.004157336176807384,0.0018359919802690067,0.002751749120693465,0.004800777327754484,378.81782749347155,922.2881864598355,0,7,7
1,8,15710,22960,519,1120,355,980,434.9702737110121,1045.5253341820496,2.0542571087865027,17127,0.6708953164984107,141.4305244556118,1,0.6842334494773519,0.48679398295509524,166.2185952167173,168.0773631397161,56.0,20.42188434878168,18.110770276274835,125.50774218028683,123.25974355485369,-68.55280541950513,636.8254685319159,0.9172651369183161,0.7064992095100625,0.044361414530385515,0.16665933085210025,0.07602877514264003,0.005127950573302665,0.026699593190369027,0.03819823715413449,0.016137342497986044,0.022046608112661764,0.01329482343134134,0.013051678542656443,0.0027710762099156807,0.004907434028123553,0.029130353799185885,0.009948001927610842,0.009830999727954417,0.008058665651967794,0.009030004446451403,0.0062456731432946975,0.0010190512835555653,0.005359999488695368,0.002810120364195845,0.006744857457911583,0.004793552982794705,0.004720027899379725,0.0005106679760407449,0.0098175584870827,0.005176011887495532,0.002039757634077417,0.0013735173363239792,434.9702737110121,1045.5253341820496,0,8,8
1,9,17498,27860,1157,1382,958,1242,1064.1600182878044,1313.2176820208024,5.968070986804468,20100,0.8089012278893786,149.26200304758032,1,0.6280689160086145,0.16755832868124745,197.18305791851367,202.20039564748632,55.60575509783138,19.16623072445533,16.97056274847714,120.47337901605646,115.9327058727714,-73.0651669101895,1145.5554826343268,0.8705472636815921,0.5448511481006743,0.06767846745245744,0.17945354234374053,0.08744003036074328,0.019516882383181798,0.021258215742004517,0.007864159473761345,0.037393943201292364,0.016561265663246266,0.010297384592350403,0.017791335744954895,0.003487263667736285,0.006361724756595395,0.015770164429290377,0.009118957648110666,0.006172872102775163,0.008569030465142798,0.012977745748964554,0.009542932646559466,0.0014851965899571927,0.010390593893686748,0.010698442142363375,0.007870831689608783,0.005801804095572983,0.005201443029808089,0.00611621334644427,0.005103841239345726,0.005394725568045575,0.005739879346081956,0.000311523476772912,1064.1600182878044,1313.2176820208024,0,9,9
1,10,8027,13189,1903,1507,1794,1386,1842.8199825588638,1446.596611436402,1.5160928922137777,8649,0.5824410613378054,101.09546886774477,1,0.6086132383046479,0.6595901907697845,114.69437240847176,120.14990636700472,39.81205847478876,14.512970105542955,13.0,89.55754183480242,93.23195124139454,-28.172947782178845,391.0609665440988,0.9280841715805296,0.7060785086219047,0.005783140353447459,0.1732235579533211,0.054431874320068976,0.014774770372363482,0.0355968491874971,0.04260874102292419,0.010656046584363572,0.03942245767447438,0.006033566968950567,0.009210752176842675,0.013398226942028229,0.012564097314030123,0.0185878290272031,0.015694394966433173,0.017082693766475462,0.008444430449377835,0.011224567933544254,0.006533164341450774,0.003971273868942355,0.007114575665512602,0.0049576444381524195,0.0064014141324558885,0.001703419526208965,0.00716315166370131,0.0064597806155545215,0.0007479368834621226,0.010204320187601786,0.006003294383793887,0.0031690429960552274,1842.8199825588638,1446.596611436402,0,10,10
1,11,8964,12760,859,1527,743,1417,802.6707942882641,1471.375948237394,1.783969936118889,9631,0.32330571339891456,106.83313755107073,1,0.7025078369905956,0.5605475629121571,110.11518726674257,116.21101496846157,49.33558553417604,16.74242103960856,14.560219778561036,106.85983525274547,104.20140392888608,-56.35275325082737,448.2802666341051,0.9307444709791299,0.8148226853287065,0.026733907193615174,0.14457614500026802,0.017567638112358012,0.010055199154876774,0.009620360274720323,0.08322031080162616,0.0053009947637217905,0.0020630089716310094,0.005205857383117999,0.0016900636149956732,0.014178836682866333,0.02760790052567879,0.005186588931654789,0.004489776441463678,0.0026032916938690067,0.010244771444143614,0.004477016674284241,0.0031972289406381163,0.006808652357158635,0.004997291721025464,0.006454315558662054,0.0030383606032745466,0.0034891669739267814,0.00043174442778718915,0.00613109331657242,0.003209978371226459,0.0065230883361240485,0.0011406507999024134,0.000779471176929674,802.6707942882641,1471.375948237394,0,11,11
1,12,3864,6314,681,1539,604,1457,641.6112836438923,1497.3840579710145,3.547545371938898,4758,0.4430264762836085,70.14126888541915,1,0.6119733924611973,0.2818850487184759,76.09158250241111,87.04596486914255,28.460498941515414,9.12501938592679,7.615773105863909,71.27371219825764,68.21675264513145,45.58774469152762,415.0376259469858,0.8121059268600253,0.6372478192184905,0.0815519255413717,0.18556417778186318,0.033540749139272935,0.005790051664041764,0.010082661666478846,0.02462500901768935,0.0042948640205213735,0.010550164661922743,0.028091869728355826,0.004885367686107482,0.019810652826522286,0.01243452907026032,0.01552415479878023,0.013546478564669744,0.010266419459287848,0.007200967020352288,0.004768032624335043,0.013113342854496099,0.004037511643338162,0.0048951722523941634,0.008971897896529784,0.005347238730728564,0.01486747723832248,0.006941208835985525,0.00467738658947354,0.0038424909074744086,0.0017297577376313448,0.0025279221934394985,0.00499300233438329,641.6112836438923,1497.3840579710145,0,12,12
1,13,9641,14396,975,1779,857,1657,910.5752515299242,1710.3820143138678,1.6446709080985924,10121,0.7228990583938475,110.79396396370925,1,0.6696999166435121,0.6080243744057601,135.0611586568057,137.63720427268203,44.64302857109943,16.43928240121827,14.866068747318506,98.23076611284178,93.32100102849218,-39.90255179049509,446.3807716974934,0.9525738563383065,0.6449281566678756,0.11883734698387824,0.14458864072034516,0.059725230537994806,0.035485773242803303,0.004358149513286292,0.02186084300674585,0.02449885686823777,0.03153976898465825,0.032154713382760804,0.006156086297987696,0.0059401428333211576,0.020833830645280865,0.003714972590079303,0.007185086939045285,0.007527054922091017,0.005961935775742714,0.011551204101868075,0.007942675297293068,0.0063462596187032145,0.005251912548527805,0.004118012421314993,0.00811201452942784,0.002381591627648822,0.005628567517103717,0.0039189536248086295,0.003997345986413057,0.009065228642872939,0.005162477951032053,0.0031147508910954907,910.5752515299242,1710.3820143138678,0,13,13
