ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Granularity_10_BF,Granularity_11_BF,Granularity_12_BF,Granularity_13_BF,Granularity_14_BF,Granularity_15_BF,Granularity_16_BF,Granularity_1_BF,Granularity_2_BF,Granularity_3_BF,Granularity_4_BF,Granularity_5_BF,Granularity_6_BF,Granularity_7_BF,Granularity_8_BF,Granularity_9_BF,RadialDistribution_FracAtD_BF_1of4,RadialDistribution_FracAtD_BF_2of4,RadialDistribution_FracAtD_BF_3of4,RadialDistribution_FracAtD_BF_4of4,RadialDistribution_MeanFrac_BF_1of4,RadialDistribution_MeanFrac_BF_2of4,RadialDistribution_MeanFrac_BF_3of4,RadialDistribution_MeanFrac_BF_4of4,RadialDistribution_RadialCV_BF_1of4,RadialDistribution_RadialCV_BF_2of4,RadialDistribution_RadialCV_BF_3of4,RadialDistribution_RadialCV_BF_4of4,Texture_AngularSecondMoment_BF_3_00_256,Texture_AngularSecondMoment_BF_3_01_256,Texture_AngularSecondMoment_BF_3_02_256,Texture_AngularSecondMoment_BF_3_03_256,Texture_Contrast_BF_3_00_256,Texture_Contrast_BF_3_01_256,Texture_Contrast_BF_3_02_256,Texture_Contrast_BF_3_03_256,Texture_Correlation_BF_3_00_256,Texture_Correlation_BF_3_01_256,Texture_Correlation_BF_3_02_256,Texture_Correlation_BF_3_03_256,Texture_DifferenceEntropy_BF_3_00_256,Texture_DifferenceEntropy_BF_3_01_256,Texture_DifferenceEntropy_BF_3_02_256,Texture_DifferenceEntropy_BF_3_03_256,Texture_DifferenceVariance_BF_3_00_256,Texture_DifferenceVariance_BF_3_01_256,Texture_DifferenceVariance_BF_3_02_256,Texture_DifferenceVariance_BF_3_03_256,Texture_Entropy_BF_3_00_256,Texture_Entropy_BF_3_01_256,Texture_Entropy_BF_3_02_256,Texture_Entropy_BF_3_03_256,Texture_InfoMeas1_BF_3_00_256,Texture_InfoMeas1_BF_3_01_256,Texture_InfoMeas1_BF_3_02_256,Texture_InfoMeas1_BF_3_03_256,Texture_InfoMeas2_BF_3_00_256,Texture_InfoMeas2_BF_3_01_256,Texture_InfoMeas2_BF_3_02_256,Texture_InfoMeas2_BF_3_03_256,Texture_InverseDifferenceMoment_BF_3_00_256,Texture_InverseDifferenceMoment_BF_3_01_256,Texture_InverseDifferenceMoment_BF_3_02_256,Texture_InverseDifferenceMoment_BF_3_03_256,Texture_SumAverage_BF_3_00_256,Texture_SumAverage_BF_3_01_256,Texture_SumAverage_BF_3_02_256,Texture_SumAverage_BF_3_03_256,Texture_SumEntropy_BF_3_00_256,Texture_SumEntropy_BF_3_01_256,Texture_SumEntropy_BF_3_02_256,Texture_SumEntropy_BF_3_03_256,Texture_SumVariance_BF_3_00_256,Texture_SumVariance_BF_3_01_256,Texture_SumVariance_BF_3_02_256,Texture_SumVariance_BF_3_03_256,Texture_Variance_BF_3_00_256,Texture_Variance_BF_3_01_256,Texture_Variance_BF_3_02_256,Texture_Variance_BF_3_03_256
1,1,Mcf7,nan,0,0,0,nan,1,1,0,0,20240515,109664,157235,1294,1486,999,953,1139.4418952436533,1203.7026097899038,1.4807593386218767,114079,0.8976637857114597,373.669026591497,1,0.6974528571882851,0.6753291868013386,569.9807648468718,560.290103428572,127.0,48.40760480954424,45.17742799230607,265.1370790204837,251.17968312577145,-16.938174641067736,1428.4966081312812,0.9612987491124572,0.44477500981045615,0.034136343516593046,0.1647052021127287,0.09103956917081177,0.03019275518692375,0.012424248830261596,0.023851106710215175,0.05577983799217991,0.0323936250095239,0.009108565652607502,0.014686713524149787,0.003474840084254517,0.0052654021859317715,0.005198688956338568,0.013414547823208911,0.01635670992360098,0.0036138724117916214,0.007342397076293263,0.004304103623271787,0.0007609096541011261,0.004282122461551931,0.008290960967328901,0.01128945255605141,0.005928564000705171,0.008929138611900912,0.005295151474830812,0.009794224382510814,0.008878480552980954,0.0012148071730899229,0.00014418764273285229,2.3816505345133714,0.0,1.483628320113698,3.608647395667167,2.2567250216463792,0.0,0.2198793125439816,68.23564178516936,3.471169659311567,0.5765467061051758,0.8742376859662216,1.3290362218085499,0.0,0.39215817489349786,0.0,0.0,0.031256232,0.11151997,0.28819185,0.56903195,1.0330571040035008,1.0112225888917619,1.005320850642547,0.9934302345427091,0.057101980945071504,0.017670951194871748,0.019956242285065474,0.03608237563947289,0.14849299082869327,0.13690039452162928,0.14871675085457944,0.14114900798009355,0.8396613149493363,1.2856783989728415,0.8538344094328864,1.0354922854922852,0.43136987248145603,0.13062877637969977,0.42349787616072754,0.29893598385792647,1.375014142457853,1.5898258295922034,1.3836562394913186,1.485202974968208,0.02720535200793226,0.02362256375884122,0.027125798093983834,0.025209232318006727,3.3586554819032304,3.484604293575124,3.364773455120605,3.4342996121253604,-0.08605967204284276,-0.01532008330743516,-0.08349697444347816,-0.04303006863539999,0.5105807311797222,0.22885602991644194,0.5041017091146731,0.3744007952718308,0.7163562382717304,0.6559935332942832,0.7168376548132271,0.6863173395972268,6.952574839217138,6.953712749230095,6.953166675864099,6.952242202242203,2.500469506179241,2.352383203092322,2.4980334179827457,2.440115433072927,2.1136163054734425,1.6720417648460852,2.1082861938588664,1.9185668636009936,0.7383194051056954,0.7394300409547281,0.7405301508229449,0.7385147872733189
2,1,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,47002,66220,797,915,582,607,702.8931534828305,751.1416535466576,1.2971231504387826,48054,0.7409136650205543,244.63197886139523,1,0.7097855632739354,0.7709368225073512,303.0120230880074,307.66865293688926,100.4987562112089,36.22227402976868,32.64965543462902,214.0,203.5029606523446,0.7881403995482946,875.2935059634514,0.9781079618762226,0.632015287787444,0.12364625164719463,0.13901576833596727,0.06695989967647274,0.033813816731287645,0.02243046545487556,0.005529923740925593,0.025011161914248473,0.030412112661129836,0.024656075709587156,0.002572575964732048,0.0034257147729233966,0.011392352226167298,0.006228597321117157,0.012469936975028238,0.01589822758335011,0.011909562688079092,0.01317813666255589,0.0011148393351899859,0.003561742110142447,0.005754538985170327,0.008036908896857566,0.006278672656300535,0.004167653621628671,0.011225960977731932,0.005167184062275564,0.005705241471343451,0.009897411363384394,0.008259078469107999,0.0014424752619445487,0.0,0.0,1.2372614555841372,0.1704196459198096,4.434464454878866,0.0,0.39991021122624437,64.1245738954954,3.7529683511936063,0.8451288052183026,0.3196244665626124,0.02625297624342601,1.4619973354717346,0.7470356790426667,1.1325437800808917,0.0,0.045581196,0.15399064,0.3145433,0.48588485,1.0574567379339783,1.0012267422034595,1.0089513756574262,0.9888957953044236,0.05842065124738753,0.03210139558015639,0.024072976842648235,0.021400676454445582,0.2231411114337568,0.19635916871521053,0.22275119321867895,0.20635034555622087,0.4075263683319589,0.5840727256872534,0.4105794537688225,0.5025835568055463,0.5398575313355344,0.3415222994766933,0.5368666953817438,0.4321527377337843,1.0206988965738981,1.183268198688879,1.025346553093116,1.1152531492324873,0.054175541902878876,0.04680889163204594,0.054053044899830795,0.04958446561340261,2.6616946107262898,2.819213755955428,2.6667476538892814,2.7591274955756484,-0.1712369646009939,-0.06456861262851736,-0.16859725866082523,-0.10337570004097743,0.6265246720695499,0.4140927100424708,0.6228835377001204,0.5096609132481237,0.8073570901514824,0.75162520982756,0.8067998446735988,0.7755248871737851,5.993749728720864,5.996947962765145,5.9999568537774515,5.994985501558855,2.216438941653827,2.1597418838676083,2.2151199485312327,2.1925329551940873,1.3637788081486164,1.189936402406481,1.3624714137659737,1.2675528520583157,0.44282629412014174,0.4435022820234291,0.44326271688369623,0.4425341022159621
2,2,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,36930,50505,646,972,451,713,537.3071215813702,842.7495802870295,1.2286578858844837,37520,0.6981995180450766,216.8426535234006,1,0.7312147312147312,0.8138962126793515,257.39070406695674,259.02316498722655,90.82400563727631,33.78764372259581,30.364452901377952,188.29507291153058,184.26683610380508,8.536470083992562,755.1097397793778,0.9842750533049041,0.7007912883308258,0.10725949326458864,0.14468715265311835,0.06927648797954153,0.015189591121755204,0.01660126676004064,0.02521284014248799,0.015829336405278862,0.020592887153946395,0.034171360519625694,0.01516841595266072,0.0022409845882526923,0.009454288032461688,0.007539122832238752,0.0033528487465098607,0.0077354446739437335,0.0012886021784198132,0.012274627329334075,0.009452790155430147,0.0038016496266313577,0.01126325531854957,0.006446762929851237,0.008839916752798419,0.004216241844074556,0.004659609188256046,0.005604940668541378,0.009104895195485543,0.0031941556492220205,0.006030780521444078,0.0015853295154120192,0.0,0.0,1.1572032147747033,0.15937275967556377,4.311836308643307,0.0,0.3930287251626085,65.19661548343471,3.9408057134237002,0.9277283877567672,0.008429792214942545,0.09855717523669479,1.1040211607418766,0.7011450241026458,1.052487124096354,0.0,0.04747341,0.16908562,0.31440967,0.46903127,1.017523486852572,1.0125396488279994,0.9977785710914744,0.9953068413830605,0.05229204355619834,0.014141380438559852,0.025107664102854,0.03256229251287213,0.2078418734962566,0.1843767696759259,0.20625180386399367,0.1922753010587745,0.4412635189334219,0.6347777777777778,0.44940697322435946,0.5635857461024497,0.552643116222862,0.3570966129435545,0.545224490247546,0.42476035071024104,1.0590997957957913,1.2298633092268128,1.0670107493432819,1.172724094324509,0.04813180377438413,0.04187909394290124,0.04784440503049396,0.04384265207017822,2.7851701962066624,2.9474594966709526,2.795756400758033,2.891630515448199,-0.17099109092103634,-0.06527829976400049,-0.16529025571449804,-0.09493503181970922,0.637128231247719,0.4246947919133212,0.6290750905523067,0.5003859714152261,0.796794180289326,0.7424503267973857,0.7944825119018136,0.7608784226385432,6.097668243299312,6.099722222222223,6.103057321335205,6.0937082405345215,2.297579196332581,2.2366229594998908,2.2969514134552256,2.2575408369132095,1.5314948533430055,1.3399443672839482,1.526983415382901,1.3958958257895446,0.49318959306911303,0.4936805362654315,0.494097597151816,0.4898703929730033
2,3,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,15830,21452,427,1126,303,953,364.2916614024005,1042.7985470625395,1.2718878065022332,16334,0.6962325599410311,141.96965166245081,1,0.7379265336565355,0.7862328696664364,168.45378167625302,173.95401691251627,58.82176467941097,21.908616281299295,19.235384061671343,118.36955415710305,120.91886816383025,-8.086394486122577,503.00209204105306,0.9691441165666708,0.6660734300448654,0.07687235667231726,0.17509991747833853,0.06801281121670813,0.01919293891435317,0.014652379492222771,0.03360405211167086,0.017983203465736633,0.014394340269417046,0.030226792058713023,0.010509655009575092,0.003940014582280597,0.002980178721730535,0.016267342815688333,0.002576146382565385,0.009020625355290543,0.005731385552282275,0.014238807249954194,0.010048951488051877,0.007050207215206191,0.0009971208240337553,0.005587701758499507,0.0033707810609200344,0.0025881118804743654,0.007502680616466124,0.012150801636008422,0.008308938886023505,0.0019229964077472875,0.008350842620861552,0.00526408558788449,0.0,0.0,1.508301510516922,0.20523928015451737,5.1172416879664775,0.0,0.4406900875629486,54.1736108377501,4.461614119866257,1.7048105859208695,0.42638264510606355,4.681467840956031,2.5309254351985033,1.0455067577195156,1.464769200721617,0.0,0.046167564,0.16659358,0.31715974,0.47007912,0.994329976234707,0.9940355801600297,1.033904184042621,0.9809323138025291,0.15548769049732925,0.052634003653521375,0.057234816729642354,0.11571965966335108,0.12644773980061536,0.109693727476795,0.12314676109075379,0.11537354345948513,0.7139867913424444,1.1210262498351142,0.7528140768534092,0.9548505989206264,0.6017671936487023,0.37609633933764425,0.5786917290663994,0.4646998203586904,1.293844373437411,1.5305184583175764,1.3192323130405528,1.446450888246345,0.037282004244319086,0.030893518312861253,0.03622740097613256,0.0328512530436028,3.532917293011456,3.7417405478116104,3.5618586284720273,3.676054283886658,-0.17488907306972096,-0.06795794130508424,-0.1570514547251461,-0.09833513825751228,0.7013551608535983,0.48107289362879313,0.6745755931419832,0.5623700883346122,0.730405298848762,0.6636952207181961,0.7182053077408993,0.6851404192057235,5.801804747269994,5.805764411027569,5.80767240263941,5.804133210477821,2.766908455250742,2.67946970938196,2.755273595984323,2.70508821401829,2.871789066172447,2.4725614160714997,2.8208830413408634,2.612682666472409,0.8964439643787205,0.8983969164766545,0.893424279548567,0.8918833163482667
2,4,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,13466,17673,1336,1227,1207,1090,1271.3857864250706,1157.6021090152979,1.1295826040598216,13660,0.40343859200079524,130.94061138319043,1,0.7619532620381373,0.8852827552459732,136.9650492366115,138.32208789632983,61.35144660071187,21.633267831297136,19.1049731745428,125.84615384615384,125.32394081881851,-21.517259389299113,437.20310216782974,0.9857979502196194,0.8949396877250896,0.003557209822424542,0.08994041941084566,0.035553420787967104,0.0032052611765602287,0.009362136812291453,0.06457700285946164,0.021689226286642667,0.007736476219044221,0.0025823249342255194,0.00352882173461993,0.00621958681179102,0.03661184313468325,0.007282253990401298,0.007307202576627984,0.003280747240406303,0.001639656023796895,0.0020779292231181495,0.001725662067856998,0.002535237576895419,0.01330568371441568,0.003348180051195781,0.005486531683921871,0.0021920222900193797,0.0015473841381832547,0.0008758744698533152,0.0034287977338814998,0.005209397779938748,0.0006075140919816599,0.0030408204811111323,0.0,0.0,0.922605388632319,0.1259084367379795,3.7119661751962294,0.0,0.3513237403787002,66.94130971456761,4.58650398582637,0.9176704954464632,1.013146879786332,0.0,0.10781846027856018,0.6233632230650953,0.8827192280048686,0.0,0.057320602,0.17535725,0.3179732,0.4493489,1.0346906564870044,0.9843104461323661,1.016578125393288,0.9904947198438335,0.14210415287429515,0.07862998962853329,0.05649510855588116,0.06615769940072098,0.14774033964368113,0.131886626318294,0.14941678060654667,0.1403809765837294,0.6497127537342016,0.9711337006285402,0.6333052985702271,0.7734096889026465,0.4877589326146616,0.23804719851211942,0.5007632893686134,0.38904919089452583,1.2412324906063463,1.4449803606920024,1.2314670898261082,1.3265554429974715,0.041494678683166024,0.035375488671460974,0.04195353237795918,0.038918211790596416,3.1822755699185405,3.3378460886578214,3.1668904456787423,3.2536731353764923,-0.11603768721049072,-0.027924292244218513,-0.1253025379594905,-0.07313639907627396,0.5694744163860889,0.30032754802615,0.5874909290246497,0.4678190574393804,0.7387298082771983,0.6773358187966616,0.7445446899610062,0.7123055072516548,5.932899272309459,5.9339644603088395,5.932640110100161,5.93669710571119,2.465392404879387,2.3535778123097675,2.4698265775957333,2.4274434382316294,1.8870333023778798,1.5779315399800282,1.9037889698752366,1.7584134214882994,0.6341865140280163,0.6372663101521443,0.6342735671113662,0.6329557775977364
2,5,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,18663,24300,802,1312,640,1162,719.5001875368376,1235.5959920698708,1.2113412517461635,19281,0.5956063101014356,154.15080156584443,1,0.7680246913580246,0.825531202341609,172.73280158164295,179.20100446147057,67.0,24.1292056247594,21.37755832643195,138.54059792413915,138.75219899035685,56.90250711039064,533.0020920410531,0.9679477205539132,0.7398393290209146,0.025996150338071237,0.17267601156213397,0.0600014697164382,0.0015134195600721714,0.01119335499591888,0.06255392300138875,0.008541466852524139,0.022014013703612674,0.012136110532730598,0.005074213667525883,0.002536137327488065,0.0041251909351420505,0.021709665257736165,0.005527899555274166,0.013630109169045817,0.006612573395022718,0.00661439868387791,0.00394669504369887,0.0035348148338911973,0.014837826610563149,0.011197927755503722,0.0046013443666019435,0.005532907556561143,0.008329916403893177,0.00407665522282457,0.005224383765686131,0.002692826469004573,0.003282917726794636,0.005110482024059161,0.0,0.0,1.3365550219314832,0.18187466581536255,4.6326553905431656,0.0,0.40782759788002376,56.083601497616215,6.2191968849296035,1.9531518972224173,0.13106088978645208,3.8745754243895023,2.1977108938718244,0.9073444145602458,1.2829959481960262,0.0,0.05206333,0.16925444,0.32643348,0.45224875,1.0630830925618224,1.0037481917354227,1.0469544652422418,0.9609835432952859,0.19019227731159966,0.12196704259668889,0.03196326672720324,0.09542896257307201,0.10013076553114103,0.08484410394941172,0.09860886486529079,0.08901110978091076,0.8556049870928762,1.3690575248238752,0.8743187448389761,1.1815236818588026,0.624226103857751,0.40045172708993604,0.6159503031744755,0.481966233427202,1.3883072397711946,1.6327100554385465,1.3947120458374291,1.5605511132359202,0.032274247525336364,0.026866966458591667,0.03206348585075381,0.02817807149999082,3.8227628094578834,4.044912122839991,3.825479198618481,3.9837981377342366,-0.17345458871607694,-0.0691071796984298,-0.17173782034580898,-0.09720085826687973,0.7184570835547871,0.501387988720296,0.7159686164509375,0.5782405100557932,0.7038729820736742,0.6316457402545917,0.6969404889568099,0.654709632873566,6.021530180699731,6.020191934320742,6.014753647123589,6.017761394101877,2.940501066807851,2.8571227493000135,2.941165000680762,2.8898179483597097,3.6982237693835174,3.1979059264385157,3.6788354540363812,3.380046463174466,1.138457189119098,1.1417408628156007,1.1382885497188404,1.140392536258318
2,6,Mcf7,nan,0,0,10,nan,1,1,0,0,20240515,18537,24776,1419,1431,1267,1268,1340.9492366618115,1344.988347629066,1.1435187654285726,18767,0.4093428650664097,153.62955913741246,1,0.7481837261866322,0.8744937383036437,161.18650573081936,165.72265988693277,73.05477397131553,25.230277260723703,22.20360331117452,146.885012498048,147.0634460719506,-18.679543393123257,516.1147904132612,0.9877444450365003,0.8486502192138352,0.047587259763078246,0.11693688594315713,0.03581605550220311,0.027500609658471065,0.02197775216193923,0.06553259309903217,0.016746297833904866,0.0038183103896478657,0.00645963673745843,0.0004103706817683318,0.011127310120309647,0.02042733052628845,0.0004503395771876422,0.0032066784084866843,0.003756971670071981,0.007602998208973596,0.011464399805741153,0.004149086891250803,0.0025800308655855243,0.0035063458269636457,0.007581274027633721,0.003824782688844671,0.001555317837890581,0.0022439417881334888,0.009901220518062507,0.00964663664169556,0.0011679690015276535,0.003379902881726803,0.0017622903081359453,0.0,0.0,1.1543808750286404,0.159709321486297,4.15793984228029,0.0,0.3699356863584388,64.01469695713821,3.5535768724725085,2.831391320484431,1.2130682684260656,0.0,0.12664645715868525,0.7532621862149085,1.0878316491137874,0.0,0.057764627,0.17615828,0.32031795,0.44575915,1.0487589534083805,0.99860734592337,1.0249842758594794,0.9775271874432812,0.04954348285398334,0.04292518918264171,0.05928336195717653,0.09287184575385964,0.1476253342397028,0.13002939065634558,0.15182153647260946,0.13777467499650775,0.6059397163120568,0.8872277283162552,0.5595685840707966,0.7248854620628002,0.547872988724951,0.3389335778783804,0.5851685602602246,0.4579365013780099,1.212921496807589,1.3973940431746306,1.1756287405815835,1.2971867631853833,0.04605856884796653,0.039285099826328496,0.04757876080722445,0.04276508559150505,3.2196093449767997,3.386325013411498,3.1869555230342343,3.308426263617031,-0.15385369221622866,-0.05945199865426344,-0.1773578973757713,-0.10157780498679551,0.6444257891085172,0.4328741199113031,0.6798390177732057,0.5460366750710506,0.7517508865248227,0.6900251315039706,0.7640873893805309,0.7223041680634708,5.82635195035461,5.8209866173917915,5.822511061946902,5.829701642641637,2.544220475910644,2.461042103000563,2.5607050387959536,2.512962397836928,2.0744562839323635,1.7970039876701662,2.138243252090035,1.9496553026467538,0.6700990000611071,0.6710579289966017,0.6744529590402042,0.6686351911773922
3,1,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,26848,37324,892,644,675,472,778.419547079857,557.6045515494636,1.1694723527644502,27169,0.6182318083370509,184.8889810049524,1,0.7193226878148108,0.8550864820670245,208.86015448118448,216.27991122617004,80.60397012554654,29.71065151158205,26.40075756488817,162.1141433531113,164.16320866615408,79.34995041826227,628.1391770309007,0.9881850638595459,0.7306408156921397,0.033722747582913104,0.17651627446009371,0.06555168495063433,0.012039088534573063,0.004238883353643648,0.06078161432667393,0.00878869139760687,0.01812943844628633,0.009354377905491259,0.010705196197235336,0.0014761631324394673,0.00789565230263586,0.021727657196628603,0.009733112717457573,0.007341465847234709,0.0049366410562472025,0.0034919883505239173,0.005235059394324138,0.0028248120880009996,0.017545317376299014,0.011614238562553303,0.002478568920751223,0.004965150014351157,0.004305945168210432,0.006392429342473898,0.0049971530958394,0.006173735487528476,0.0025072893993371556,0.0031230051755066334,0.40420362667958815,1.724892010864229,0.9533724490714003,0.8364719803380241,0.7348912260169358,1.692052582720773,0.7932949505916097,69.0638365698049,3.9049520134331517,1.6955636926398931,0.04093278999644428,0.0,0.0,0.5596680072284436,0.1875415394611641,0.3435864244473549,0.05652096,0.1728208,0.33007678,0.44058144,1.1199075770993905,0.9918540002138697,1.0549882730983546,0.9527773279074065,0.1115228257197057,0.09527919226253186,0.06651213665826392,0.0840017355294929,0.18463663425711652,0.16322270258198734,0.18414381919917797,0.16468955457407833,0.43300926629196407,0.6027061213538274,0.4217658510516472,0.5548682087143626,0.6391953228243743,0.49788472216204754,0.6493735904947783,0.5399606090727175,1.057385332345666,1.2123208808590034,1.0377286309468319,1.1609061942266492,0.05313437318591498,0.04625592609171573,0.05343014536285429,0.04767806660292873,2.962622667064462,3.132202717175249,2.9531290476282726,3.098705547504441,-0.23194141197718535,-0.130779929601257,-0.23928609763579356,-0.15464333433887825,0.7350877876665696,0.5957018188617774,0.7428812216970235,0.6364696691476635,0.8026811484125779,0.7542051754965469,0.8029507195480398,0.7601437024513947,5.79295154185022,5.789413162635593,5.796427071802114,5.803158380081457,2.477249279129309,2.44846188456849,2.4879082139500635,2.4723222785323005,1.9672327132829892,1.7979622030556968,1.9840189935458667,1.8573956958870923,0.6000604948937358,0.6001670811023772,0.6014462111493746,0.6030659761503632
3,2,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,49411,68997,1122,1052,911,725,1016.9172046710247,897.0228086863249,1.27084150314819,50064,0.7787431448956356,250.8227245384858,1,0.7161325854747308,0.7868801872796501,318.3821020785602,326.2590994899606,102.42070103255493,37.62287833430783,33.83784863137726,205.87537791799366,199.73475125083786,-6.884586374527722,888.3056992722711,0.9869566954298498,0.5910285982893431,0.07811855593017779,0.17820672704161425,0.08120834284195438,0.02853222213327741,0.024444589095043222,0.0018193086837522809,0.017236664065838903,0.02564427899229277,0.020147164177917478,0.011158101053382751,0.01006982502297336,0.012934208911299894,0.01707125626015108,0.011024036347963352,0.011728984796973471,0.01728521286504362,0.012096881832598256,0.007891937725642558,0.004830602561124475,0.0069240979814383236,0.004297869811343193,0.0023079960784834676,0.007114122164328906,0.0073825955977420855,0.00273957975463856,0.002181440103117951,0.007021859580935207,0.0043737160100994306,0.001857376878080817,0.604100587933848,2.11826199243812,1.1366578958387283,1.0008771813611315,0.8442540310562898,1.886192602360579,0.8644824268937972,66.62637572023588,3.3081831415590917,1.318742260431707,0.4787894589400745,0.019412404305355818,0.07572454855257472,1.9797850427584838,0.3134646733043433,0.5778494573402364,0.045416605,0.15965703,0.3095728,0.4853536,1.0322354444299995,0.9980786403656172,0.9950107938352478,1.000910108052629,0.05028414813856483,0.049619193500424,0.030781667399996392,0.026764278832038697,0.24051830050541204,0.2098590163332842,0.23755444286791844,0.22039599323661868,0.36818303838767635,0.5350853539648629,0.3755586534913281,0.4576187028033515,0.5893599146922869,0.40118828075897683,0.5804188453593496,0.49070078780286674,0.980006919344313,1.1477809257724152,0.9879142772761339,1.077356049860833,0.047916447406695845,0.04124662986467172,0.04738061714834796,0.04373907973665289,2.6019831293297173,2.7737872229469485,2.613284465011123,2.712599155260648,-0.2102022377989921,-0.0889894799874752,-0.2010804016817517,-0.13596345608406538,0.6762314125876968,0.47713883472044105,0.6651752519098988,0.5716659937327315,0.8245069899023274,0.7680450031540276,0.8207081061134117,0.7921444088134891,6.507485493629587,6.504801808715852,6.50795440567469,6.506775628426606,2.2088126090563374,2.174543287614546,2.2079843351613118,2.2034722541647973,1.4250322445858572,1.2520719002153697,1.4146011253146469,1.3394337639741423,0.4483038207433836,0.4467893135450556,0.4475399447014947,0.44926311669437524
3,3,Mcf7,nan,0,0,1,nan,1,1,0,0,20240515,38093,51600,934,1334,694,1119,807.8309138161867,1218.0366996561047,1.2718836106293057,39189,0.6489479614285489,220.23059273769516,1,0.7382364341085271,0.7862354634047195,255.50888181772925,272.3692346796899,95.85927185202274,33.548103818955205,29.698484809834994,195.19625732914457,194.39953693750297,-49.746463867685414,780.2813126546316,0.9720329684350201,0.6537462131185369,0.04268789911004918,0.19405958703310963,0.06243959793974295,0.005851438408775807,0.02552690068737207,0.035304092996427075,0.00549545329467298,0.022234851844702034,0.020644143092942435,0.01922847305515461,0.00808633616952423,0.02082161134364013,0.022398192893359797,0.008665993245589634,0.013172622409068389,0.007818991612861622,0.00821776592327685,0.00327873506444581,0.004469568305845029,0.003823739954051502,0.005777218002075451,0.00209373998451305,0.0019651259380710846,0.007798321845866019,0.007927124933170987,0.011091407749735056,0.00469094313828808,0.002473396505137921,0.001859725682498533,0.5234846229351374,1.8593028209001725,1.0184726948880647,0.907215779142292,0.7684819595273222,1.733817810340691,0.8032903490890166,69.41213785536155,3.1336929470565216,0.8591689981225621,0.22966262079614888,2.8105369597465053e-07,0.018097962993004688,1.3699058365336212,0.2694535432965382,0.5011101986870103,0.04926643,0.16473138,0.3141167,0.4718855,1.0035861895145692,1.0190179579325318,1.0268297384355662,0.9762945057884543,0.07985508465756506,0.06551171236909108,0.050411835472471106,0.03893817501271006,0.2555809417185267,0.22376949848282462,0.2520830510210311,0.23340757288456146,0.33125884772563374,0.4554686019117766,0.34195517712266044,0.4211247180148244,0.6238866201074121,0.4841041890142394,0.6127221036281753,0.5223404790286931,0.9319816297713496,1.0698392598849902,0.9456100414716792,1.0396129308348971,0.059811857527074276,0.05164350539615681,0.05888018406911195,0.053559415524243856,2.5427422196226965,2.70285991030552,2.5618172597086386,2.6644901227739766,-0.24340373031183554,-0.1348370954310775,-0.23256513429494677,-0.16011240743573035,0.7111468225723458,0.5687525285947,0.7003061062279868,0.6091593617662228,0.8381847805764042,0.7903977903544641,0.8336492890995261,0.804262004511763,6.321750046742702,6.319640391020608,6.316678715827241,6.318965517241378,2.193808068643398,2.1982101840367867,2.1999115068801665,2.1983604596415276,1.4302251378759365,1.3102701081641186,1.4239869555228424,1.342159376724787,0.44037099640039123,0.44143467751897525,0.44148553316137296,0.4408210236849026
