loaded_B_feature,loaded_A_feature,common_indices
,Texture_Entropy_DD_3_03_256,
,Texture_InfoMeas1_AA_3_02_256,
,Texture_InfoMeas1_DD_3_00_256,
,Texture_InfoMeas2_AA_3_00_256,
,Texture_InfoMeas2_AA_3_01_256,
,Texture_InfoMeas2_AA_3_02_256,
,Texture_InfoMeas2_AA_3_03_256,
,Texture_InverseDifferenceMoment_AA_3_00_256,
,Texture_InverseDifferenceMoment_AA_3_01_256,
,Texture_InverseDifferenceMoment_AA_3_02_256,
,Texture_InverseDifferenceMoment_AA_3_03_256,
,Texture_InverseDifferenceMoment_DD_3_01_256,
,Texture_InverseDifferenceMoment_DD_3_02_256,
,Texture_InverseDifferenceMoment_DD_3_03_256,
,Texture_SumAverage_AA_3_02_256,
,Texture_SumAverage_AA_3_03_256,
,Texture_SumAverage_DD_3_00_256,
,Texture_SumAverage_DD_3_01_256,
,Texture_SumAverage_DD_3_02_256,
,Texture_SumAverage_DD_3_03_256,
,Texture_SumEntropy_AA_3_00_256,
,Texture_SumEntropy_AA_3_01_256,
,Texture_SumEntropy_AA_3_02_256,
,Texture_SumEntropy_AA_3_03_256,
,Texture_SumEntropy_DD_3_00_256,
,Texture_SumEntropy_DD_3_01_256,
,Texture_SumEntropy_DD_3_02_256,
,Texture_SumEntropy_DD_3_03_256,
,Texture_SumVariance_AA_3_00_256,
,Texture_SumVariance_AA_3_01_256,
,Texture_SumVariance_AA_3_02_256,
,Texture_SumVariance_AA_3_03_256,
,Texture_SumVariance_DD_3_00_256,
,Texture_SumVariance_DD_3_01_256,
,Texture_SumVariance_DD_3_02_256,
,Texture_SumVariance_DD_3_03_256,
,Texture_Variance_AA_3_00_256,
,Texture_Variance_AA_3_01_256,
,Texture_Variance_AA_3_02_256,
,Texture_Variance_AA_3_03_256,
,Texture_Variance_DD_3_00_256,
,Texture_Variance_DD_3_01_256,
,Texture_Variance_DD_3_02_256,
,Texture_Variance_DD_3_03_256,
